Date,Percentage
12/1/14,2.2
1/1/15,2.3
2/1/15,2.3
3/1/15,1.9
4/1/15,2.1
5/1/15,2.1
6/1/15,2.4
7/1/15,2.8
8/1/15,2.3
9/1/15,2
10/1/15,2.1
11/1/15,2.1
12/1/15,2
1/1/16,2.1
2/1/16,2
