Date,Year,Percentage
1-Jul,2010,4.9
1-Aug,2010,4.6
1-Sep,2010,4.3
1-Oct,2010,4.6
1-Nov,2010,4.9
1-Dec,2010,4.7
1-Jan,2011,4.8
1-Feb,2011,4.7
1-Mar,2011,4.4
1-Apr,2011,4.2
1-May,2011,4.3
1-Jun,2011,4.4
1-Jul,2011,4.3
1-Aug,2011,4.2
1-Sep,2011,4
1-Oct,2011,4.3
1-Nov,2011,4.2
1-Dec,2011,4.1
1-Jan,2012,4.4
1-Feb,2012,4.4
1-Mar,2012,4.3
1-Apr,2012,3.5
1-May,2012,3.8
1-Jun,2012,3.7
1-Jul,2012,3.7
1-Aug,2012,4
1-Sep,2012,3.7
1-Oct,2012,3.3
1-Nov,2012,3.4
1-Dec,2012,3.5
1-Jan,2013,3.6
1-Feb,2013,3.8
1-Mar,2013,3.8
1-Apr,2013,3.6
1-May,2013,3.7
1-Jun,2013,3.8
1-Jul,2013,3.9
1-Aug,2013,3.5
1-Sep,2013,3.6
1-Oct,2013,3.4
1-Nov,2013,3.2
1-Dec,2013,3.2
1-Jan,2014,3.5
1-Feb,2014,3.6
1-Mar,2014,3.3
1-Apr,2014,3
1-May,2014,3
1-Jun,2014,3.1
1-Jul,2014,2.9
1-Aug,2014,3.1
1-Sep,2014,2.7
1-Oct,2014,2.8
1-Nov,2014,2.9
1-Dec,2014,2.9
1-Jan,2015,2.8
1-Feb,2015,2.9
1-Mar,2015,2.6
1-Apr,2015,2.7
1-May,2015,2.5
1-Jun,2015,2.4
1-Jul,2015,2.3
1-Aug,2015,2.4
1-Sep,2015,2.4
1-Oct,2015,2.2
1-Nov,2015,2.3
1-Dec,2015,2.3
1-Jan,2016,2.5
1-Feb,2016,2.5
