Date,Percentage
12/1/2014,2.6
1/1/2015,2.5
2/1/2015,2.5
3/1/2015,1.9
4/1/2015,2.2
5/1/2015,2.1
6/1/2015,2
7/1/2015,2.3
8/1/2015,1.9
9/1/2015,2.3
10/1/2015,2
11/1/2015,2.2
12/1/2015,2.1
1/1/2016,2.2
2/1/2016,2.2
