Statistic,Value
Mean,26520.37255
Standard Error,437.5220626
Median,26463
Mode,26569
Standard Deviation,3124.532496
Sample Variance,9762703.318
Kurtosis,-0.074826519
Skewness,-0.086360691
Range,14139
Minimum,18656
Maximum,32795
Sum,1352539
Count,51
