Statistic,Value
Mean,22354
Standard Error,523.4192861
Median,22346
Mode,22354
Standard Deviation,3737.96137
Sample Variance,13972355.2
Kurtosis,-0.110925828
Skewness,0.060829233
Range,17173
Minimum,12860
Maximum,30033
Sum,1140054
Count,51
