Statistic,Value
Mean,20190.60784
Standard Error,389.7919104
Median,19777
Mode,#N/A
Standard Deviation,2783.67103
Sample Variance,7748824.403
Kurtosis,-0.131585801
Skewness,-0.011384472
Range,13435
Minimum,13251
Maximum,26686
Sum,1029721
Count,51
