Name,Year,AverageDebt
Alabama - Total,2008,24009
Alaska - Total,2008,26366
Arizona - Total,2008,17393
Arkansas - Total,2008,19883
California - Total,2008,17290
Colorado - Total,2008,20866
Connecticut - Total,2008,25038
Delaware - Total,2008,17200
District of Columbia - Total,2008,30033
Florida - Total,2008,20767
Georgia - Total,2008,16346
Hawaii - Total,2008,22354
Idaho - Total,2008,22354
Illinois - Total,2008,22049
Indiana - Total,2008,25246
Iowa - Total,2008,28883
Kansas - Total,2008,20447
Kentucky - Total,2008,19112
Louisiana - Total,2008,19677
Maine - Total,2008,29143
Maryland - Total,2008,19984
Massachusetts - Total,2008,24430
Michigan - Total,2008,25458
Minnesota - Total,2008,27467
Mississippi - Total,2008,22566
Missouri - Total,2008,21360
Montana - Total,2008,22346
Nebraska - Total,2008,22361
Nevada - Total,2008,16742
New Hampshire - Total,2008,29443
New Jersey - Total,2008,22731
New Mexico - Total,2008,21478
New York - Total,2008,25590
North Carolina - Total,2008,19984
North Dakota - Total,2008,22354
Ohio - Total,2008,25842
Oklahoma - Total,2008,20469
Oregon - Total,2008,22417
Pennsylvania - Total,2008,27066
Rhode Island - Total,2008,26573
South Carolina - Total,2008,22277
South Dakota - Total,2008,23581
Tennessee - Total,2008,20678
Texas - Total,2008,20015
Utah - Total,2008,12860
Vermont - Total,2008,27786
Virginia - Total,2008,19918
Washington - Total,2008,19780
West Virginia - Total,2008,22054
Wisconsin - Total,2008,22904
Wyoming - Total,2008,17084
