Name,Year,AverageDebt
Alabama - Total,2007,23620
Alaska - Total,2007,24488
Arizona - Total,2007,17336
Arkansas - Total,2007,18864
California - Total,2007,16944
Colorado - Total,2007,19168
Connecticut - Total,2007,25044
Delaware - Total,2007,16912
District of Columbia - Total,2007,25996
Florida - Total,2007,18693
Georgia - Total,2007,16225
Hawaii - Total,2007,16075
Idaho - Total,2007,20967
Illinois - Total,2007,20043
Indiana - Total,2007,23280
Iowa - Total,2007,28216
Kansas - Total,2007,20088
Kentucky - Total,2007,16677
Louisiana - Total,2007,18365
Maine - Total,2007,25372
Maryland - Total,2007,18803
Massachusetts - Total,2007,23193
Michigan - Total,2007,22727
Minnesota - Total,2007,25583
Mississippi - Total,2007,20167
Missouri - Total,2007,20929
Montana - Total,2007,20519
Nebraska - Total,2007,20605
Nevada - Total,2007,17921
New Hampshire - Total,2007,27420
New Jersey - Total,2007,20101
New Mexico - Total,2007,20967
New York - Total,2007,23580
North Carolina - Total,2007,18560
North Dakota - Total,2007,20967
Ohio - Total,2007,23896
Oklahoma - Total,2007,19482
Oregon - Total,2007,21182
Pennsylvania - Total,2007,25274
Rhode Island - Total,2007,25831
South Carolina - Total,2007,21084
South Dakota - Total,2007,22636
Tennessee - Total,2007,20188
Texas - Total,2007,19470
Utah - Total,2007,13448
Vermont - Total,2007,25047
Virginia - Total,2007,19983
Washington - Total,2007,19112
West Virginia - Total,2007,20502
Wisconsin - Total,2007,21447
Wyoming - Total,2007,16307
