Statistic,Value
Mean,17492.60784
Standard Error,337.1965216
Median,17267
Mode,18857
Standard Deviation,2408.064825
Sample Variance,5798776.203
Kurtosis,0.522524819
Skewness,0.32907842
Range,11842
Minimum,12362
Maximum,24204
Sum,892123
Count,51
