Statistic,Value
Mean,23101.64706
Standard Error,501.7810669
Median,23171
Mode,23012
Standard Deviation,3583.433576
Sample Variance,12840996.19
Kurtosis,-0.129483398
Skewness,-0.112403122
Range,15539
Minimum,15509
Maximum,31048
Sum,1178184
Count,51
