Statistic,Value
Mean,19256.5098
Standard Error,345.3995928
Median,19243
Mode,19256
Standard Deviation,2466.646471
Sample Variance,6084344.815
Kurtosis,0.752929002
Skewness,-0.00597141
Range,12066
Minimum,12884
Maximum,24950
Sum,982082
Count,51
