Name,Year,AverageDebt
Alabama - Total,2006,21466
Alaska - Total,2006,23439
Arizona - Total,2006,18500
Arkansas - Total,2006,19725
California - Total,2006,16294
Colorado - Total,2006,18731
Connecticut - Total,2006,23085
Delaware - Total,2006,17510
District of Columbia - Total,2006,23230
Florida - Total,2006,19407
Georgia - Total,2006,18384
Hawaii - Total,2006,14822
Idaho - Total,2006,21915
Illinois - Total,2006,18374
Indiana - Total,2006,21808
Iowa - Total,2006,26686
Kansas - Total,2006,19375
Kentucky - Total,2006,16720
Louisiana - Total,2006,20103
Maine - Total,2006,22412
Maryland - Total,2006,17581
Massachusetts - Total,2006,20972
Michigan - Total,2006,21683
Minnesota - Total,2006,24958
Mississippi - Total,2006,19278
Missouri - Total,2006,19572
Montana - Total,2006,17623
Nebraska - Total,2006,20104
Nevada - Total,2006,16591
New Hampshire - Total,2006,24483
New Jersey - Total,2006,21459
New Mexico - Total,2006,20190
New York - Total,2006,22277
North Carolina - Total,2006,17348
North Dakota - Total,2006,22493
Ohio - Total,2006,22399
Oklahoma - Total,2006,18984
Oregon - Total,2006,19614
Pennsylvania - Total,2006,24072
Rhode Island - Total,2006,23714
South Carolina - Total,2006,20807
South Dakota - Total,2006,22730
Tennessee - Total,2006,19777
Texas - Total,2006,18489
Utah - Total,2006,13251
Vermont - Total,2006,24693
Virginia - Total,2006,18125
Washington - Total,2006,18413
West Virginia - Total,2006,19669
Wisconsin - Total,2006,20381
Wyoming - Total,2006,16005
