Statistic,Value
Mean,20966.7451
Standard Error,455.1483635
Median,20519
Mode,20967
Standard Deviation,3250.409462
Sample Variance,10565161.67
Kurtosis,-0.385082926
Skewness,0.186627828
Range,14768
Minimum,13448
Maximum,28216
Sum,1069304
Count,51
