Statistic,Value
Mean,25863.72549
Standard Error,481.7811163
Median,25951
Mode,25863
Standard Deviation,3440.60536
Sample Variance,11837765.24
Kurtosis,-0.349167828
Skewness,0.044106215
Range,15655
Minimum,17994
Maximum,33649
Sum,1319050
Count,51
