Statistic,Value
Mean,24818.39216
Standard Error,435.5789189
Median,24818
Mode,24818
Standard Deviation,3110.655674
Sample Variance,9676178.723
Kurtosis,-0.027072882
Skewness,-0.029643676
Range,15213
Minimum,17227
Maximum,32440
Sum,1265738
Count,51
