Name,Year,AverageDebt
Alabama - Total,2009,24821
Alaska - Total,2009,23012
Arizona - Total,2009,18454
Arkansas - Total,2009,21408
California - Total,2009,18094
Colorado - Total,2009,22017
Connecticut - Total,2009,26392
Delaware - Total,2009,23012
District of Columbia - Total,2009,24191
Florida - Total,2009,21184
Georgia - Total,2009,18910
Hawaii - Total,2009,15550
Idaho - Total,2009,24178
Illinois - Total,2009,23884
Indiana - Total,2009,26722
Iowa - Total,2009,29635
Kansas - Total,2009,22291
Kentucky - Total,2009,19374
Louisiana - Total,2009,24548
Maine - Total,2009,26538
Maryland - Total,2009,21750
Massachusetts - Total,2009,25141
Michigan - Total,2009,25575
Minnesota - Total,2009,29058
Mississippi - Total,2009,22155
Missouri - Total,2009,22601
Montana - Total,2009,22768
Nebraska - Total,2009,21227
Nevada - Total,2009,16622
New Hampshire - Total,2009,31048
New Jersey - Total,2009,23504
New Mexico - Total,2009,16413
New York - Total,2009,26360
North Carolina - Total,2009,20959
North Dakota - Total,2009,26429
Ohio - Total,2009,27714
Oklahoma - Total,2009,20708
Oregon - Total,2009,23967
Pennsylvania - Total,2009,28599
Rhode Island - Total,2009,26340
South Carolina - Total,2009,23623
South Dakota - Total,2009,23171
Tennessee - Total,2009,19308
Texas - Total,2009,20919
Utah - Total,2009,15509
Vermont - Total,2009,28391
Virginia - Total,2009,23201
Washington - Total,2009,22101
West Virginia - Total,2009,23678
Wisconsin - Total,2009,24559
Wyoming - Total,2009,20571
