OPE_ID,NAME,CITY,STATE,Institution Type & Control, Total Recipients , Total Awards ,,,,,,,,,,,,,,,,,
105700,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,Public 4 Year,"4,790","$19,349,505 ",,,,,,,,,,,,,,,,,
105900,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"2,786","$9,867,607 ",,,,,,,,,,,,,,,,,
106000,FAULKNER STATE COMMUNITY COLLEGE,BAY MINETTE,AL,Public 2 Year,"2,580","$9,390,501 ",,,,,,,,,,,,,,,,,
106100,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,Private 4 Year,122,"$425,505 ",,,,,,,,,,,,,,,,,
106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,Public 4 Year,"2,140","$7,173,114 ",,,,,,,,,,,,,,,,,
106500,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,Public 4 Year,556,"$1,844,017 ",,,,,,,,,,,,,,,,,
106900,ISLANDS COLLEGE,SITKA,AK,Public 2 Year,1,"$1,995 ",,,,,,,,,,,,,,,,,
107100,ARIZONA WESTERN COLLEGE,YUMA,AZ,Public 2 Year,"5,286","$17,227,723 ",,,,,,,,,,,,,,,,,
107200,COCHISE COLLEGE,DOUGLAS,AZ,Public 2 Year,"1,838","$6,071,267 ",,,,,,,,,,,,,,,,,
107300,EASTERN ARIZONA COLLEGE,THATCHER,AZ,Public 2 Year,"1,387","$4,922,326 ",,,,,,,,,,,,,,,,,
107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,Proprietary 4 Year,"26,788","$100,380,422 ",,,,,,,,,,,,,,,,,
107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public 2 Year,"9,624","$31,779,085 ",,,,,,,,,,,,,,,,,
107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public 2 Year,"9,680","$30,940,919 ",,,,,,,,,,,,,,,,,
107800,PHOENIX COLLEGE,PHOENIX,AZ,Public 2 Year,"7,033","$22,488,704 ",,,,,,,,,,,,,,,,,
107900,YAVAPAI COLLEGE,PRESCOTT,AZ,Public 2 Year,"3,260","$10,713,345 ",,,,,,,,,,,,,,,,,
108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public 4 Year,"24,395","$97,291,826 ",,,,,,,,,,,,,,,,,
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public 4 Year,"8,893","$35,030,472 ",,,,,,,,,,,,,,,,,
108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public 4 Year,"11,231","$47,631,021 ",,,,,,,,,,,,,,,,,
108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public 4 Year,"2,228","$8,759,686 ",,,,,,,,,,,,,,,,,
108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public 4 Year,"2,018","$8,617,845 ",,,,,,,,,,,,,,,,,
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private 4 Year,968,"$4,081,764 ",,,,,,,,,,,,,,,,,
108800,LYON COLLEGE,BATESVILLE,AR,Private 4 Year,270,"$1,170,501 ",,,,,,,,,,,,,,,,,
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public 4 Year,"5,238","$20,591,963 ",,,,,,,,,,,,,,,,,
109000,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,Public 4 Year,"6,107","$24,541,184 ",,,,,,,,,,,,,,,,,
109100,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public 2 Year,"1,419","$5,497,526 ",,,,,,,,,,,,,,,,,
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public 4 Year,"4,280","$17,493,305 ",,,,,,,,,,,,,,,,,
109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private 4 Year,408,"$1,623,420 ",,,,,,,,,,,,,,,,,
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private 4 Year,244,"$1,060,972 ",,,,,,,,,,,,,,,,,
109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private 4 Year,84,"$356,467 ",,,,,,,,,,,,,,,,,
109700,HARDING UNIVERSITY,SEARCY,AR,Private 4 Year,"1,227","$4,922,226 ",,,,,,,,,,,,,,,,,
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public 4 Year,"1,813","$7,708,748 ",,,,,,,,,,,,,,,,,
109900,HENDRIX COLLEGE,CONWAY,AR,Private 4 Year,259,"$1,093,176 ",,,,,,,,,,,,,,,,,
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private 4 Year,697,"$2,661,546 ",,,,,,,,,,,,,,,,,
110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public 4 Year,"4,399","$16,443,153 ",,,,,,,,,,,,,,,,,
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private 4 Year,442,"$1,838,221 ",,,,,,,,,,,,,,,,,
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private 4 Year,428,"$1,957,427 ",,,,,,,,,,,,,,,,,
110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public 2 Year,885,"$3,271,726 ",,,,,,,,,,,,,,,,,
110500,SHORTER COLLEGE,NORTH LITTLE ROCK,AR,Private 2 Year,480,"$2,033,820 ",,,,,,,,,,,,,,,,,
110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private 4 Year,280,"$1,140,043 ",,,,,,,,,,,,,,,,,
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public 4 Year,"1,567","$6,735,313 ",,,,,,,,,,,,,,,,,
110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public 4 Year,"5,184","$20,967,076 ",,,,,,,,,,,,,,,,,
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN,LITTLE ROCK,AR,Public 4 Year,323,"$1,262,568 ",,,,,,,,,,,,,,,,,
111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public 4 Year,"3,916","$15,323,823 ",,,,,,,,,,,,,,,,,
111100,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,Public 2 Year,"3,244","$10,611,385 ",,,,,,,,,,,,,,,,,
111300,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,Public 2 Year,"9,619","$30,613,831 ",,,,,,,,,,,,,,,,,
111600,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,Private 4 Year,785,"$3,407,508 ",,,,,,,,,,,,,,,,,
111700,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,Private 4 Year,"2,995","$11,664,289 ",,,,,,,,,,,,,,,,,
111800,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,Public 2 Year,"8,776","$27,070,662 ",,,,,,,,,,,,,,,,,
111900,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,Public 2 Year,"2,272","$7,149,692 ",,,,,,,,,,,,,,,,,
112200,BIOLA UNIVERSITY,LA MIRADA,CA,Private 4 Year,"1,413","$5,761,446 ",,,,,,,,,,,,,,,,,
112300,BROOKS INSTITUTE,SANTA BARBARA,CA,Proprietary 4 Year,242,"$1,055,034 ",,,,,,,,,,,,,,,,,
112400,CABRILLO COLLEGE,APTOS,CA,Public 2 Year,"3,944","$13,288,242 ",,,,,,,,,,,,,,,,,
112500,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,Private 4 Year,"3,143","$12,580,507 ",,,,,,,,,,,,,,,,,
112700,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,Private 4 Year,531,"$2,280,659 ",,,,,,,,,,,,,,,,,
113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,Private 4 Year,108,"$430,475 ",,,,,,,,,,,,,,,,,
113200,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,Private 4 Year,331,"$1,521,184 ",,,,,,,,,,,,,,,,,
113300,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,Private 4 Year,904,"$3,611,831 ",,,,,,,,,,,,,,,,,
113400,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,Public 4 Year,364,"$1,654,418 ",,,,,,,,,,,,,,,,,
113700,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,Public 4 Year,"15,380","$65,060,762 ",,,,,,,,,,,,,,,,,
113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,Public 4 Year,"6,423","$26,883,406 ",,,,,,,,,,,,,,,,,
113900,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,Public 4 Year,"16,321","$69,622,432 ",,,,,,,,,,,,,,,,,
114000,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,Public 4 Year,"13,753","$59,722,098 ",,,,,,,,,,,,,,,,,
114100,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,Public 4 Year,"7,774","$32,947,680 ",,,,,,,,,,,,,,,,,
114200,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,Public 4 Year,"10,511","$45,906,135 ",,,,,,,,,,,,,,,,,
114300,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,Public 4 Year,"3,996","$16,446,537 ",,,,,,,,,,,,,,,,,
114400,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,Public 4 Year,"10,268","$44,156,079 ",,,,,,,,,,,,,,,,,
114600,CALIF STATE UNIV - CHICO,CHICO,CA,Public 4 Year,"7,030","$30,633,565 ",,,,,,,,,,,,,,,,,
114700,CALIF STATE UNIV - FRESNO,FRESNO,CA,Public 4 Year,"12,285","$54,662,341 ",,,,,,,,,,,,,,,,,
114900,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,Public 4 Year,"4,385","$19,371,207 ",,,,,,,,,,,,,,,,,
115000,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,Public 4 Year,"15,130","$62,709,501 ",,,,,,,,,,,,,,,,,
115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,Public 4 Year,"11,230","$49,138,427 ",,,,,,,,,,,,,,,,,
115300,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,Public 4 Year,"18,123","$80,024,944 ",,,,,,,,,,,,,,,,,
115400,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,Public 4 Year,"11,893","$50,208,367 ",,,,,,,,,,,,,,,,,
115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,Public 4 Year,"11,387","$47,264,906 ",,,,,,,,,,,,,,,,,
115600,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,Public 4 Year,"2,861","$11,845,200 ",,,,,,,,,,,,,,,,,
115700,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,Public 4 Year,"5,054","$21,182,849 ",,,,,,,,,,,,,,,,,
116100,CERRITOS COLLEGE,NORWALK,CA,Public 2 Year,"11,905","$36,872,012 ",,,,,,,,,,,,,,,,,
116200,CHABOT COLLEGE,HAYWARD,CA,Public 2 Year,"3,740","$11,795,410 ",,,,,,,,,,,,,,,,,
116300,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,Public 2 Year,"8,277","$24,425,101 ",,,,,,,,,,,,,,,,,
116400,CHAPMAN UNIVERSITY,ORANGE,CA,Private 4 Year,"1,245","$5,283,698 ",,,,,,,,,,,,,,,,,
116600,CITRUS COLLEGE,GLENDORA,CA,Public 2 Year,"5,049","$16,102,169 ",,,,,,,,,,,,,,,,,
117000,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,Private 4 Year,155,"$680,130 ",,,,,,,,,,,,,,,,,
117100,HARVEY MUDD COLLEGE,CLAREMONT,CA,Private 4 Year,113,"$463,564 ",,,,,,,,,,,,,,,,,
117200,PITZER COLLEGE,CLAREMONT,CA,Private 4 Year,173,"$718,472 ",,,,,,,,,,,,,,,,,
117300,POMONA COLLEGE,CLAREMONT,CA,Private 4 Year,289,"$1,294,349 ",,,,,,,,,,,,,,,,,
117400,SCRIPPS COLLEGE,CLAREMONT,CA,Private 4 Year,119,"$507,043 ",,,,,,,,,,,,,,,,,
117600,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,Public 2 Year,"1,175","$4,141,281 ",,,,,,,,,,,,,,,,,
117700,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,Proprietary 4 Year,275,"$1,105,334 ",,,,,,,,,,,,,,,,,
117800,COLLEGE OF MARIN,KENTFIELD,CA,Public 2 Year,"1,820","$5,843,463 ",,,,,,,,,,,,,,,,,
117900,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,Private 4 Year,641,"$2,406,549 ",,,,,,,,,,,,,,,,,
118100,COLLEGE OF SAN MATEO,SAN MATEO,CA,Public 2 Year,"1,604","$5,725,977 ",,,,,,,,,,,,,,,,,
118200,COLLEGE OF THE DESERT,PALM DESERT,CA,Public 2 Year,"4,829","$15,442,227 ",,,,,,,,,,,,,,,,,
118300,HOLY NAMES UNIVERSITY,OAKLAND,CA,Private 4 Year,472,"$1,855,633 ",,,,,,,,,,,,,,,,,
118500,COLLEGE OF THE REDWOODS,EUREKA,CA,Public 2 Year,"2,194","$7,130,691 ",,,,,,,,,,,,,,,,,
118600,COLLEGE OF THE SEQUOIAS,VISALIA,CA,Public 2 Year,"5,759","$18,872,075 ",,,,,,,,,,,,,,,,,
118700,COLLEGE OF THE SISKIYOUS,WEED,CA,Public 2 Year,964,"$3,598,308 ",,,,,,,,,,,,,,,,,
119701,COMPTON COMMUNITY COLLEGE,COMPTON,CA,Public 2 Year,"2,888","$9,278,865 ",,,,,,,,,,,,,,,,,
119000,CONTRA COSTA COLLEGE,SAN PABLO,CA,Public 2 Year,"2,216","$7,639,564 ",,,,,,,,,,,,,,,,,
119100,DIABLO VALLEY COLLEGE,PLEASANT HILL,CA,Public 2 Year,"3,707","$12,891,608 ",,,,,,,,,,,,,,,,,
119200,CUESTA COLLEGE,SAN LUIS OBISPO,CA,Public 2 Year,"1,898","$6,478,012 ",,,,,,,,,,,,,,,,,
119300,CYPRESS COLLEGE,CYPRESS,CA,Public 2 Year,"5,033","$17,786,311 ",,,,,,,,,,,,,,,,,
119600,DOMINICAN UNIVERSITY OF CALIFORNIA,SAN RAFAEL,CA,Private 4 Year,550,"$2,109,823 ",,,,,,,,,,,,,,,,,
119700,EL CAMINO COLLEGE,TORRANCE,CA,Public 2 Year,"8,285","$26,982,600 ",,,,,,,,,,,,,,,,,
119900,FOOTHILL COLLEGE,LOS ALTOS HILLS,CA,Public 2 Year,"1,547","$4,969,219 ",,,,,,,,,,,,,,,,,
120100,FULLERTON COLLEGE,FULLERTON,CA,Public 2 Year,"6,854","$24,379,629 ",,,,,,,,,,,,,,,,,
120200,GAVILAN COLLEGE,GILROY,CA,Public 2 Year,"1,857","$6,010,930 ",,,,,,,,,,,,,,,,,
120300,GLENDALE COMMUNITY COLLEGE,GLENDALE,CA,Public 2 Year,"7,493","$26,209,272 ",,,,,,,,,,,,,,,,,
120500,GOLDEN GATE UNIVERSITY,SAN FRANCISCO,CA,Private 4 Year,169,"$518,486 ",,,,,,,,,,,,,,,,,
120600,GOLDEN WEST COLLEGE,HUNTINGTON BEACH,CA,Public 2 Year,"3,812","$14,175,203 ",,,,,,,,,,,,,,,,,
120800,GROSSMONT COLLEGE,EL CAJON,CA,Public 2 Year,"4,920","$16,679,519 ",,,,,,,,,,,,,,,,,
120900,HARTNELL COMMUNITY COLLEGE,SALINAS,CA,Public 2 Year,"3,146","$10,920,944 ",,,,,,,,,,,,,,,,,
121200,HUMPHREYS COLLEGE,STOCKTON,CA,Private 4 Year,619,"$2,090,529 ",,,,,,,,,,,,,,,,,
121400,IMPERIAL VALLEY COLLEGE,IMPERIAL,CA,Public 2 Year,"4,720","$18,147,329 ",,,,,,,,,,,,,,,,,
121500,LA SIERRA UNIVERSITY,RIVERSIDE,CA,Private 4 Year,"1,136","$4,750,142 ",,,,,,,,,,,,,,,,,
121600,UNIVERSITY OF LA VERNE,LA VERNE,CA,Private 4 Year,"2,690","$9,716,807 ",,,,,,,,,,,,,,,,,
121700,LASSEN COLLEGE,SUSANVILLE,CA,Public 2 Year,445,"$1,657,973 ",,,,,,,,,,,,,,,,,
121800,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,Private 4 Year,463,"$1,915,771 ",,,,,,,,,,,,,,,,,
121900,LONG BEACH CITY COLLEGE,LONG BEACH,CA,Public 2 Year,"10,909","$38,080,846 ",,,,,,,,,,,,,,,,,
122000,MASTER'S COLLEGE & SEMINARY (THE),SANTA CLARITA,CA,Private 4 Year,407,"$1,540,267 ",,,,,,,,,,,,,,,,,
2226000,EAST LOS ANGELES COLLEGE,MONTEREY PARK,CA,Public 2 Year,"10,811","$37,544,244 ",,,,,,,,,,,,,,,,,
122300,LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,Public 2 Year,"8,115","$28,346,389 ",,,,,,,,,,,,,,,,,
122400,LOS ANGELES HARBOR COLLEGE,WILMINGTON,CA,Public 2 Year,"3,948","$13,268,706 ",,,,,,,,,,,,,,,,,
122600,LOS ANGELES PIERCE COLLEGE,WOODLAND HILLS,CA,Public 2 Year,"8,105","$27,920,030 ",,,,,,,,,,,,,,,,,
122700,LOS ANGELES TRADE TECH COLLEGE,LOS ANGELES,CA,Public 2 Year,"6,492","$22,076,150 ",,,,,,,,,,,,,,,,,
122800,LOS ANGELES VALLEY COLLEGE,VALLEY GLEN,CA,Public 2 Year,"7,143","$24,582,226 ",,,,,,,,,,,,,,,,,
122900,SO CA UNIV  HEALTH SCIENCES,WHITTIER,CA,Private 4 Year,6,"$13,385 ",,,,,,,,,,,,,,,,,
123200,AMERICAN RIVER COLLEGE,SACRAMENTO,CA,Public 2 Year,"10,173","$33,744,696 ",,,,,,,,,,,,,,,,,
123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,Public 2 Year,"7,654","$25,394,300 ",,,,,,,,,,,,,,,,,
1164900,LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,Private 4 Year,"1,277","$5,466,102 ",,,,,,,,,,,,,,,,,
123600,MENLO COLLEGE,ATHERTON,CA,Private 4 Year,248,"$1,075,634 ",,,,,,,,,,,,,,,,,
123700,MERCED COMMUNITY COLLEGE,MERCED,CA,Public 2 Year,"5,986","$20,694,145 ",,,,,,,,,,,,,,,,,
123800,MILLS COLLEGE,OAKLAND,CA,Private 4 Year,516,"$2,247,310 ",,,,,,,,,,,,,,,,,
123900,MIRACOSTA COLLEGE,OCEANSIDE,CA,Public 2 Year,"2,545","$8,988,139 ",,,,,,,,,,,,,,,,,
124000,MODESTO JUNIOR COLLEGE,MODESTO,CA,Public 2 Year,"8,495","$28,161,156 ",,,,,,,,,,,,,,,,,
369110,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE,MONTEREY,CA,Private 4 Year,7,"$30,946 ",,,,,,,,,,,,,,,,,
124200,MONTEREY PENINSULA COLLEGE,MONTEREY,CA,Public 2 Year,"1,576","$5,220,951 ",,,,,,,,,,,,,,,,,
124300,MOUNT ST MARYS COLLEGE,LOS ANGELES,CA,Private 4 Year,"1,634","$6,767,426 ",,,,,,,,,,,,,,,,,
124500,MT. SAN ANTONIO COLLEGE,WALNUT,CA,Public 2 Year,"12,359","$42,251,962 ",,,,,,,,,,,,,,,,,
124600,MT SAN JACINTO COLLEGE,SAN JACINTO,CA,Public 2 Year,"7,086","$20,610,739 ",,,,,,,,,,,,,,,,,
124700,NAPA VALLEY COLLEGE,NAPA,CA,Public 2 Year,"1,844","$6,307,293 ",,,,,,,,,,,,,,,,,
124900,OCCIDENTAL COLLEGE,LOS ANGELES,CA,Private 4 Year,457,"$1,942,503 ",,,,,,,,,,,,,,,,,
125000,ORANGE COAST COLLEGE - FIN AID OFF,COSTA MESA,CA,Public 2 Year,"5,617","$20,798,577 ",,,,,,,,,,,,,,,,,
125100,OTIS COLLEGE OF ART AND DESIGN,LOS ANGELES,CA,Private 4 Year,504,"$2,382,605 ",,,,,,,,,,,,,,,,,
125200,HOPE INTERNATIONAL UNIVERSITY,FULLERTON,CA,Private 4 Year,485,"$1,833,029 ",,,,,,,,,,,,,,,,,
125300,FRESNO PACIFIC UNIVERSITY,FRESNO,CA,Private 4 Year,"1,760","$6,546,985 ",,,,,,,,,,,,,,,,,
125500,PACIFIC OAKS COLLEGE,PASADENA,CA,Private 4 Year,342,"$997,035 ",,,,,,,,,,,,,,,,,
125800,PACIFIC UNION COLLEGE,ANGWIN,CA,Private 4 Year,737,"$3,014,194 ",,,,,,,,,,,,,,,,,
125900,PALO VERDE COLLEGE,BLYTHE,CA,Public 2 Year,373,"$1,231,719 ",,,,,,,,,,,,,,,,,
126000,PALOMAR COLLEGE,SAN MARCOS,CA,Public 2 Year,"4,885","$17,058,749 ",,,,,,,,,,,,,,,,,
126100,PASADENA CITY COLLEGE,PASADENA,CA,Public 2 Year,"7,717","$29,408,676 ",,,,,,,,,,,,,,,,,
126200,POINT LOMA NAZARENE UNIVERSITY,SAN DIEGO,CA,Private 4 Year,712,"$3,043,965 ",,,,,,,,,,,,,,,,,
1014900,PEPPERDINE UNIVERSITY,MALIBU,CA,Private 4 Year,870,"$3,661,990 ",,,,,,,,,,,,,,,,,
126600,LANEY COLLEGE,OAKLAND,CA,Public 2 Year,"3,633","$13,171,363 ",,,,,,,,,,,,,,,,,
126700,MERRITT COLLEGE,OAKLAND,CA,Public 2 Year,"1,949","$6,933,690 ",,,,,,,,,,,,,,,,,
126800,PORTERVILLE COLLEGE,PORTERVILLE,CA,Public 2 Year,"2,528","$8,839,776 ",,,,,,,,,,,,,,,,,
126900,RIO HONDO COLLEGE,WHITTIER,CA,Public 2 Year,"5,367","$17,854,588 ",,,,,,,,,,,,,,,,,
127000,RIVERSIDE CITY COLLEGE,RIVERSIDE,CA,Public 2 Year,"7,909","$23,721,722 ",,,,,,,,,,,,,,,,,
