OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
106100,1061,ALASKA PACIFIC UNIVERSITY,AK,private 4 year,141,"332,839"
3160300,31603,ALASKA VOCATIONAL TECHNICAL CENTER,AK,public 2 year,90,"211,055"
2541000,17066,CAREER ACADEMY,AK,proprietary,253,"564,801"
2576900,17377,CHARTER COLLEGE,AK,proprietary,222,"426,661"
3461300,34613,ILISAGVIK COLLEGE,AK,public 2 year,36,"88,746"
106200,1062,SHELDON JACKSON COLLEGE,AK,private 4 year,53,"144,749"
1146200,11462,UNIVERSITY OF ALASKA - ANCHORAGE,AK,public 4 year,"2,408","5,345,598"
106300,1063,UNIVERSITY OF ALASKA FAIRBANKS,AK,public 4 year,"1,272","2,911,951"
106500,1065,UNIVERSITY OF ALASKA SOUTHEAST,AK,public 4 year,338,"679,107"
100200,1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,public 4 year,"3,576","9,502,320"
103400,1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,public 2 year,895,"2,209,248"
3032500,30325,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,proprietary,22,"56,060"
100500,1005,ALABAMA STATE UNIVERSITY,AL,public 4 year,"3,501","10,203,724"
100800,1008,ATHENS STATE UNIVERSITY,AL,public 4 year,981,"2,225,983"
100900,1009,AUBURN UNIVERSITY,AL,public 4 year,"2,781","7,385,461"
831000,8310,AUBURN UNIVERSITY MONTGOMERY,AL,public 4 year,"1,610","3,850,659"
573300,5733,BEVILL STATE COMMUNITY COLLEGE,AL,public 2 year,"2,558","5,802,328"
101200,1012,BIRMINGHAM SOUTHERN COLLEGE,AL,private 4 year,156,"378,587"
103000,1030,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,public 2 year,"3,586","9,222,584"
3783300,37833,BLUE CLIFF CAREER COLLEGE,AL,proprietary,65,"127,860"
101300,1013,CALHOUN COMMUNITY COLLEGE-DECATUR,AL,public 2 year,"3,218","6,763,031"
2341000,16592,CAPPS COLLEGE,AL,proprietary,"1,028","2,595,993"
3361400,33614,CAPPS COLLEGE,AL,proprietary,370,"923,217"
100700,1007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,public 2 year,"1,379","3,243,185"
1218200,12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,public 2 year,"1,144","2,801,507"
1055400,10554,CONCORDIA COLLEGE,AL,private 4 year,757,"2,149,759"
