OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
105100,1051,UNIVERSITY OF ALABAMA,AL,public 4 year,"3,832","10,512,902"
105200,1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,public 4 year,"3,211","8,671,887"
105500,1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,public 4 year,"1,490","3,755,467"
102900,1029,UNIVERSITY OF MOBILE,AL,private 4 year,632,"1,679,969"
100400,1004,UNIVERSITY OF MONTEVALLO,AL,public 4 year,680,"1,806,797"
101600,1016,UNIVERSITY OF NORTH ALABAMA,AL,public 4 year,"1,565","4,254,403"
105700,1057,UNIVERSITY OF SOUTH ALABAMA,AL,public 4 year,"3,138","8,050,742"
102400,1024,UNIVERSITY OF WEST ALABAMA,AL,public 4 year,"1,079","3,192,943"
3010600,30106,VIRGINIA COLLEGE OF BIRMINGHAM,AL,proprietary,"7,005","16,091,653"
3010611,15609,VIRGINIA COLLEGE OF BIRMINGHAM - THE GOLF ACADEMY OF,AL,proprietary,278,"673,675"
3010608,31005,VIRGINIA COLLEGE OF BIRMINGHAM - VIRGINIA COLLEGE AT,AL,proprietary,"1,412","3,095,712"
3065100,30651,ARKADELPHIA BEAUTY COLLEGE,AR,proprietary,44,"105,740"
108700,1087,ARKANSAS BAPTIST COLLEGE,AR,private 4 year,319,"831,396"
3997300,39973,ARKANSAS BEAUTY COLLEGE,AR,proprietary,43,"97,282"
3005100,30051,ARKANSAS BEAUTY SCHOOL,AR,proprietary,72,"186,895"
3007600,30076,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,proprietary,56,"122,735"
3023400,30234,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,proprietary,102,"290,018"
1286000,12860,ARKANSAS NORTHEASTERN COLLEGE,AR,public 2 year,933,"2,152,680"
109000,1090,ARKANSAS STATE UNIVERSITY,AR,public 4 year,"5,487","14,233,809"
109100,1091,ARKANSAS STATE UNIVERSITY - BEEBE,AR,public 2 year,"1,411","3,444,467"
108900,1089,ARKANSAS TECH UNIVERSITY,AR,public 4 year,"2,863","7,602,613"
2363500,15099,ARTHUR'S BEAUTY COLLEGE,AR,proprietary,74,"129,434"
2538500,17020,ARTHUR'S BEAUTY COLLEGE,AR,proprietary,176,"374,021"
3127200,31272,ASKINS VO TECH,AR,proprietary,18,"22,100"
3105200,31052,BAPTIST HEALTH MEDICAL CENTER,AR,private 4 year,370,"778,598"
2260400,14554,BEE JAY'S HAIRSTYLING ACADEMY,AR,proprietary,27,"63,752"
2052200,11948,BLACK RIVER TECHNICAL COLLEGE,AR,public 2 year,"1,191","2,736,865"
