OPEID,NAME,CITY,STATE,Insttype,Recips,Awards
569200,REID STATE TECHNICAL COLLEGE,EVERGREEN,AL,Public 2 Year,650,"2,075,145"
2605500,REMINGTON COLLEGE - MOBILE CAMPUS,MOBILE,AL,Private 4 Year,"4,393","16,250,645"
103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,Private 4 Year,468,"1,811,314"
4067300,SELMA UNIVERSITY,SELMA,AL,Private 4 Year,506,"2,047,611"
569100,SHELTON STATE COMMUNITY CLG,TUSCALOOSA,AL,Public 2 Year,"3,640","11,790,028"
103800,SNEAD STATE COMMUNITY COLLEGE,BOAZ,AL,Public 2 Year,"1,672","6,126,940"
2270400,SOUTHEASTERN BIBLE COLLEGE,BIRIMINGHAM,AL,Private 4 Year,118,"459,405"
3459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY,MIDFIELD,AL,Private 2 Year,175,"719,476"
104000,SOUTHERN UNION STATE COMMUNITY CLG,WADLEY,AL,Public 2 Year,"2,811","10,721,403"
104100,SPRING HILL COLLEGE,MOBILE,AL,Private 4 Year,498,"2,064,753"
104400,STILLMAN COLLEGE,TUSCALOOSA,AL,Private 4 Year,809,"3,787,252"
104600,TALLADEGA COLLEGE,TALLADEGA,AL,Private 4 Year,543,"2,403,423"
104700,TROY UNIVERSITY,TROY,AL,Public 4 Year,"11,185","40,484,088"
105000,TUSKEGEE UNIVERSITY,TUSKEGEE,AL,Private 4 Year,"1,674","7,644,721"
2170600,UNITED STATES SPORTS ACADEMY,DAPHNE,AL,Private 4 Year,118,"351,693"
4197500,UNIVERSITY ACADEMY OF HAIR DESIGN,NORTHPORT,AL,Proprietary 2 Year,6,"19,720"
105100,UNIVERSITY OF ALABAMA (THE),TUSCALOOSA,AL,Public 4 Year,"6,285","25,035,944"
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Public 4 Year,"4,436","17,541,258"
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,Public 4 Year,"2,116","8,201,321"
102900,UNIVERSITY OF MOBILE,MOBILE,AL,Private 4 Year,842,"3,150,039"
100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,Public 4 Year,"1,110","4,579,233"
101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,Public 4 Year,"2,477","9,867,187"
105700,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,Public 4 Year,"4,608","17,891,651"
102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,Public 4 Year,"1,406","5,687,973"
3010600,VIRGINIA COLLEGE,BIRMINGHAM,AL,Proprietary 4 Year,"24,380","85,987,917"
4149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,HOOVER,AL,Proprietary 2 Year,131,"464,530"
3065100,ABC BEAUTY COLLEGE,ARKADELPHIA,AR,Proprietary 2 Year,55,"205,133"
108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private 4 Year,"1,233","4,919,921"
3997300,ARKANSAS BEAUTY COLLEGE,RUSSELLVILLE,AR,Proprietary 2 Year,34,"102,866"
3005100,ARKANSAS BEAUTY SCHOOL,LITTLE ROCK,AR,Proprietary 2 Year,61,"208,907"
3007600,ARKANSAS BEAUTY SCHOOL-CONWAY,CONWAY,AR,Proprietary 2 Year,60,"223,495"
3023400,ARKANSAS COLLEGE OF BARBERING,NORTH LITTLE ROCK,AR,Proprietary 2 Year,117,"459,805"
1286000,ARKANSAS NORTHEASTERN COLLEGE,BLYTHEVILLE,AR,Public 2 Year,"1,228","3,971,756"
109000,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,Public 4 Year,"7,136","28,403,452"
109100,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public 2 Year,"1,704","6,432,956"
108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public 4 Year,"5,065","19,817,460"
2363500,ARTHUR'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary 2 Year,59,"248,090"
2538500,ARTHUR'S BEAUTY COLLEGE,JACKSONVILLE,AR,Proprietary 2 Year,174,"649,522"
3105200,BAPTIST HEALTH SCHOOLS LITTLE ROCK,LITTLE ROCK,AR,Private 2 Year,512,"1,772,391"
2260400,BEE JAY'S HAIRSTYLING ACADEMY,LITTLE ROCK,AR,Proprietary 2 Year,10,"30,361"
2052200,BLACK RIVER TECHNICAL COLLEGE,POCAHONTAS,AR,Public 2 Year,"2,025","7,604,750"
2341700,CAREER ACADEMY OF HAIR DESIGN,SPRINGDALE,AR,Proprietary 2 Year,265,"977,083"
109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private 4 Year,425,"1,701,054"
2220900,COSSATOT COMMUNITY COLLEGE,DE QUEEN,AR,Public 2 Year,801,"2,893,070"
3912300,CROSSETT SCHOOL OF COSMETOLOGY,CROSSETT,AR,Proprietary 2 Year,32,"118,546"
109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private 4 Year,115,"436,668"
704400,CROWLEYS RIDGE TECHNICAL INSTITUTE,FORREST CITY,AR,Public 2 Year,289,"999,437"
1226000,EAST ARKANSAS COMMUNITY COLLEGE,FORREST CITY,AR,Public 2 Year,799,"2,999,013"
2272400,EASTERN COLLEGE OF HEALTH VOCATIONS,LITTLE ROCK,AR,Proprietary 2 Year,802,"2,454,218"
3855300,ECCLESIA COLLEGE,SPRINGDALE,AR,Private 4 Year,91,"315,464"
109700,HARDING UNIVERSITY,SEARCY,AR,Private 4 Year,"1,201","4,703,045"
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public 4 Year,"1,914","7,934,233"
109900,HENDRIX COLLEGE,CONWAY,AR,Private 4 Year,271,"1,102,515"
3007100,HOT SPRINGS BEAUTY COLLEGE,HOT SPRINGS,AR,Proprietary 2 Year,69,"245,239"
3124900,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,NORTH LITTLE ROCK,AR,Proprietary 2 Year,412,"1,468,048"
2330800,JEFFERSON SCHOOL OF NURSING,PINE BLUFF,AR,Private 2 Year,62,"279,116"
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private 4 Year,733,"2,660,238"
2525800,LEE'S SCHOOL OF COSMETOLOGY,NORTH LITTLE ROCK,AR,Proprietary 2 Year,25,"89,987"
3519400,LYNNDALE FUNDAMENTALS OF BEAUTY SCH,EL DORADO,AR,Proprietary 2 Year,16,"56,659"
108800,LYON COLLEGE,BATESVILLE,AR,Private 4 Year,275,"1,187,118"
3254300,MARGARET'S HAIR ACADEMY,MONTICELLO,AR,Proprietary 2 Year,60,"244,229"
2287400,MARSHA KAY BEAUTY COLLEGE,MOUNTAIN HOME,AR,Proprietary 2 Year,18,"69,863"
1074100,MELLIE'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary 2 Year,91,"307,752"
2348200,MID-SOUTH COMMUNITY COLLEGE,WEST MEMPHIS,AR,Public 2 Year,"1,526","4,897,892"
1210500,NATIONAL PARK COMMUNITY COLLEGE,HOT SPRINGS,AR,Public 2 Year,"2,889","10,700,888"
2284200,NEW TYLER BARBER COLLEGE INC,NORTH LITTLE ROCK,AR,Proprietary 2 Year,80,"305,879"
1226100,NORTH ARKANSAS COLLEGE,HARRISON,AR,Public 2 Year,"1,729","6,366,826"
3063300,NORTHWEST ARKANSAS COMMUNITY COLLEG,BENTONVILLE,AR,Public 2 Year,"4,139","13,571,430"
2073700,NORTHWEST TECHNICAL INSTITUTE,SPRINGDALE,AR,Public 2 Year,206,"587,233"
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private 4 Year,450,"1,755,609"
997600,OUACHITA TECHNICAL COLLEGE,MALVERN,AR,Public 2 Year,692,"2,467,718"
2087000,OZARKA COLLEGE,MELBOURNE,AR,Public 2 Year,"1,519","5,800,340"
792100,PAUL MITCHELL THE SCHOOL ARKANSAS,FAYETTEVILLE,AR,Proprietary 2 Year,85,"311,574"
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private 4 Year,611,"2,683,275"
110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public 2 Year,"1,059","3,775,092"
2202400,PROFESSIONAL COSMETOLOGY EDUC CTR,EL DORADO,AR,Proprietary 2 Year,56,"205,609"
2075300,PULASKI TECHNICAL COLLEGE,NORTH LITTLE ROCK,AR,Public 2 Year,"9,474","35,670,875"
2111100,RICH MOUNTAIN COMMUNITY COLLEGE,MENA,AR,Public 2 Year,558,"2,006,350"
4183400,SALON PROFESSIONAL ACADEMY (THE),NORTH LITTLE ROCK,AR,Proprietary 2 Year,50,"202,539"
2569600,SEARCY BEAUTY COLLEGE,SEARCY,AR,Proprietary 2 Year,67,"229,924"
570700,SEARK COLLEGE,PINE BLUFF,AR,Public 2 Year,"1,566","5,776,658"
2074600,SOUTH ARKANSAS COMMUNITY COLLEGE,EL DORADO,AR,Public 2 Year,"1,256","4,498,302"
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public 4 Year,"1,677","7,032,670"
773800,SOUTHERN ARKANSAS UNIVERSITY TECH,CAMDEN,AR,Public 2 Year,727,"2,584,855"
2339800,SOUTHERN INSTITUTE OF COSMETOLOGY,WEST MEMPHIS,AR,Proprietary 2 Year,106,"356,968"
524500,U OF A COMM COLLEGE AT MORRILTON,MORRILTON,AR,Public 2 Year,"1,626","5,741,807"
573200,UNIV AR COMMUNITY COLLEGE AT HOPE,HOPE,AR,Public 2 Year,"1,053","3,641,264"
110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public 4 Year,"5,095","19,981,106"
110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public 4 Year,"4,943","18,571,934"
108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public 4 Year,"2,605","10,110,784"
108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public 4 Year,"2,428","10,537,637"
2073500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE,BATESVILLE,AR,Public 2 Year,"1,241","4,425,879"
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN,LITTLE ROCK,AR,Public 4 Year,353,"1,436,038"
111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public 4 Year,"4,264","16,372,327"
109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public 4 Year,"3,914","15,400,584"
109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private 4 Year,253,"1,107,994"
3214300,VELVATEX COLLEGE OF BEAUTY CULTURE,LITTLE ROCK,AR,Proprietary 2 Year,14,"64,575"
4183100,WASHINGTON BARBER COLLEGE,LITTLE ROCK,AR,Proprietary 2 Year,71,"330,605"
110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private 4 Year,319,"1,325,178"
1001000,AMERICAN SAMOA CMNTY COLLEGE,PAGO PAGO,AS,Public 2 Year,"1,626","5,887,334"
4174200,ALL BEAUTY COLLEGE,FORT MOHAVE,AZ,Proprietary 2 Year,61,"230,851"
2199900,AMERICAN INDIAN CLG-ASSEMBLIES GOD,PHOENIX,AZ,Private 4 Year,75,"306,678"
4148700,AMERICAN INSTITUTE OF INTERIOR DESIGN,FOUNTAIN HILLS,AZ,Proprietary 2 Year,7,"31,564"
2317800,AMERICAN INSTITUTE OF TECHNOLOGY,PHOENIX,AZ,Proprietary 2 Year,"1,011","2,942,328"
2263100,ANTHEM COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"4,622","15,950,520"
886400,ARIZONA ACADEMY OF BEAUTY,TUCSON,AZ,Proprietary 2 Year,58,"190,769"
1180200,ARIZONA ACADEMY OF BEAUTY-NORTH,TUCSON,AZ,Proprietary 2 Year,68,"212,604"
1084700,ARIZONA AUTOMOTIVE INSTITUTE,GLENDALE,AZ,Proprietary 2 Year,"1,401","4,933,497"
711300,ARIZONA CHRISTIAN UNIVERSITY,PHOENIX,AZ,Private 4 Year,204,"789,138"
3115000,ARIZONA COLLEGE OF ALLIED HEALTH,GLENDALE,AZ,Proprietary 2 Year,925,"3,225,510"
4120900,ARIZONA CULINARY INSTITUTE,SCOTTSDALE,AZ,Proprietary 2 Year,96,"313,569"
108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public 4 Year,"25,686","100,792,915"
107100,ARIZONA WESTERN COLLEGE,YUMA,AZ,Public 2 Year,"5,904","18,643,706"
4051300,ART INSTITUTE OF PHOENIX (THE),PHOENIX,AZ,Proprietary 4 Year,"29,867","105,034,069"
1293700,ARTISTIC BEAUTY COLLEGES - PARADISE VALL,SCOTTSDALE,AZ,Proprietary 2 Year,188,"664,202"
1180800,ARTISTIC BEAUTY COLLEGES-FLAGSTAFF,FLAGSTAFF,AZ,Proprietary 2 Year,345,"1,283,161"
2220300,ARTISTIC BEAUTY COLLEGES-GLENDALE,PHOENIX,AZ,Proprietary 2 Year,226,"808,267"
1234300,ARTISTIC BEAUTY COLLEGES-PHOENIX,GLENDALE,AZ,Proprietary 2 Year,320,"1,176,340"
886500,ARTISTIC BEAUTY COLLEGES-TUCSON,TUCSON,AZ,Proprietary 2 Year,295,"1,059,461"
1085800,AVALON SCHOOL OF COSMETOLOGY,MESA,AZ,Proprietary 2 Year,684,"2,519,677"
4194500,AVEDA INSTITUTE TUCSON,TUCSON,AZ,Proprietary 2 Year,50,"186,603"
2561900,BRILLARE HAIRDRESSING ACADEMY,SCOTTSDALE,AZ,Proprietary 2 Year,140,"507,240"
2218800,BROOKLINE COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"3,935","12,598,452"
3076400,BRYMAN SCHOOL OF ARIZONA,PHOENIX,AZ,Proprietary 2 Year,"3,541","11,914,522"
2100600,CARRINGTON COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"3,398","12,290,263"
3097800,CARSTEN INSTITUTE OF HAIR & BEAUTY,TEMPE,AZ,Proprietary 2 Year,156,"558,393"
4172100,CCIC BEAUTY COLLEGE,PEORIA,AZ,Proprietary 2 Year,35,"127,016"
728300,CENTRAL ARIZONA COLLEGE,COOLIDGE,AZ,Public 2 Year,"4,397","14,519,758"
3072200,CHANDLER-GILBERT COMMUNITY COLLEGE,CHANDLER,AZ,Public 2 Year,"4,179","13,071,439"
2280500,CHARLES OF ITALY BEAUTY COLLEGE,LAKE HAVASU CITY,AZ,Proprietary 2 Year,83,"341,375"
4191200,CLASSIC COOKING ACADEMY,SCOTTSDALE,AZ,Private 2 Year,3,"7,131"
107200,COCHISE COLLEGE,DOUGLAS,AZ,Public 2 Year,"1,941","6,427,681"
3100400,COCONINO COUNTY COMMUNITY COLLEGE,FLAGSTAFF,AZ,Public 2 Year,"1,509","4,880,777"
3120300,COLLEGE AMERICA,FLAGSTAFF,AZ,Proprietary 4 Year,870,"3,317,829"
2160305,COLLINS COLLEGE,PHOENIX,AZ,Proprietary 4 Year,817,"3,082,132"
3034400,CONSERVATORY RECORDING ARTS & SCIS,TEMPE,AZ,Proprietary 2 Year,559,"1,799,973"
2623800,CORTIVA INSTITUTE - SCOTTSDALE,SCOTTSDALE,AZ,Proprietary 2 Year,82,"225,497"
2582700,CORTIVA INSTITUTE - TUCSON,TUCSON,AZ,Proprietary 2 Year,251,"779,312"
824600,DIN_ COLLEGE,TSAILE,AZ,Public 4 Year,"1,871","7,028,387"
3572300,EAST VALLEY INSTITUTE OF TECHNOLOGY,MESA,AZ,Public 2 Year,150,"433,910"
107300,EASTERN ARIZONA COLLEGE,THATCHER,AZ,Public 2 Year,"1,777","6,258,336"
3156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AVONDALE,AZ,Public 2 Year,"4,764","14,843,962"
2295000,EVEREST COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"2,431","8,903,451"
2533200,FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTUR,SCOTTSDALE,AZ,Private 4 Year,2,"8,300"
830300,GATEWAY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"3,410","9,668,193"
107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public 2 Year,"10,288","32,550,559"
107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,Proprietary 4 Year,"21,786","79,262,035"
3445300,HDS TRUCK DRIVING INSTITUTE,TUCSON,AZ,Proprietary 2 Year,80,"263,773"
1218400,INTERNATIONAL ACAD OF HAIR DESIGN,CHANDLER,AZ,Proprietary 2 Year,271,"918,993"
3347300,INTERNATIONAL BAPTIST COLLEGE,CHANDLER,AZ,Private 4 Year,34,"141,773"
732911,ITT TECHNICAL INSTITUTE,TEMPE,AZ,Proprietary 4 Year,"2,507","8,873,178"
732990,ITT TECHNICAL INSTITUTE,TUCSON,AZ,Proprietary 4 Year,"2,213","8,192,746"
2071200,KAPLAN COLLEGE,PHOENIX,AZ,Proprietary 2 Year,454,"1,736,035"
4175300,KOHLER ACADEMY,SCOTTSDALE,AZ,Proprietary 2 Year,123,"443,697"
2521500,LAMSON COLLEGE,TEMPE,AZ,Proprietary 2 Year,105,"422,902"
2616700,LE CORDON BLEU COLLEGE OF CULINARY ARTS,SCOTTSDALE,AZ,Proprietary 4 Year,"1,894","7,292,348"
2192300,MARICOPA BEAUTY COLLEGE,AVONDALE,AZ,Proprietary 2 Year,61,"222,736"
107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public 2 Year,"12,405","38,652,183"
1186400,MOHAVE COMMUNITY COLLEGE,KINGMAN,AZ,Public 2 Year,"3,708","11,469,489"
4157400,NATIONAL PARALEGAL COLLEGE,PHOENIX,AZ,Proprietary 4 Year,581,"2,276,047"
3813300,NORTHCENTRAL UNIVERSITY,PRESCOTT VALLEY,AZ,Proprietary 4 Year,220,"611,605"
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public 4 Year,"9,114","35,963,135"
1186200,NORTHLAND PIONEER COLLEGE,HOLBROOK,AZ,Public 2 Year,"1,226","3,374,922"
2623600,PARADISE VALLEY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"2,930","9,261,183"
4174100,PAUL MITCHELL THE SCHOOL PHOENIX,PHOENIX,AZ,Proprietary 2 Year,154,"585,125"
107800,PHOENIX COLLEGE,PHOENIX,AZ,Public 2 Year,"7,152","22,738,973"
726600,PIMA COUNTY COMMUNITY COLLEGE,TUCSON,AZ,Public 2 Year,"15,345","51,454,220"
2217100,PIMA MEDICAL INSTITUTE,TUCSON,AZ,Proprietary 4 Year,"8,181","30,290,017"
2065300,PRESCOTT COLLEGE,PRESCOTT,AZ,Private 4 Year,393,"1,542,913"
4177500,PURE AESTHETICS,TUCSON,AZ,Proprietary 2 Year,31,"87,683"
1168900,REFRIGERATION SCHOOL,PHOENIX,AZ,Proprietary 2 Year,794,"2,824,328"
2177500,RIO SALADO COMMUNITY COLLEGE,TEMPE,AZ,Public 2 Year,"12,171","31,104,202"
2113800,ROBERTO-VENN SCH OF LUTHIERY,PHOENIX,AZ,Proprietary 2 Year,29,"107,331"
3005000,SAFFORD COLLEGE OF BEAUTY CULTURE,SAFFORD,AZ,Proprietary 2 Year,73,"358,213"
830400,SCOTTSDALE COMMUNITY COLLEGE,SCOTTSDALE,AZ,Public 2 Year,"2,998","9,637,887"
2146600,SOUTH MOUNTAIN COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"2,953","10,084,173"
3593300,SOUTHWEST INSTITUTE OF HEALING ARTS,TEMPE,AZ,Proprietary 2 Year,525,"2,047,540"
4152900,STUDIO ACADEMY OF BEAUTY (THE),CHANDLER,AZ,Proprietary 2 Year,185,"644,387"
2491500,THE ART CENTER DESIGN COLLEGE,TUCSON,AZ,Proprietary 4 Year,362,"1,460,893"
3784400,TOHONO O'ODHAM COMMUNITY COLLEGE,SELLS,AZ,Public 2 Year,129,"438,351"
446700,TUCSON COLLEGE,TUCSON,AZ,Proprietary 2 Year,557,"2,156,727"
4059300,TUCSON COLLEGE OF BEAUTY,TUCSON,AZ,Proprietary 2 Year,77,"278,055"
3814300,TURNING POINT BEAUTY COLLEGE,CASA GRANDE,AZ,Proprietary 2 Year,70,"292,611"
4139200,UNIVERSAL BARBER COLLEGE,PHOENIX,AZ,Proprietary 2 Year,63,"236,837"
822100,UNIVERSAL TECHNICAL INSTITUTE,AVONDALE,AZ,Proprietary 2 Year,"8,473","31,253,595"
2100500,UNIVERSAL TECHNICAL INSTITUTE,PHOENIX,AZ,Proprietary 2 Year,"7,468","27,777,216"
2559000,UNIVERSITY OF ADVANCING TECHNOLOGY,TEMPE,AZ,Proprietary 4 Year,505,"1,853,878"
108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public 4 Year,"10,675","43,578,354"
2098800,UNIVERSITY OF PHOENIX,PHOENIX,AZ,Proprietary 4 Year,"259,998","945,602,843"
2171500,WESTERN INTERNATIONAL UNIVERSITY,PHOENIX,AZ,Proprietary 4 Year,"1,373","4,269,155"
107900,YAVAPAI COLLEGE,PRESCOTT,AZ,Public 2 Year,"3,079","9,656,676"
4189800,ACADEMY FOR SALON PROFESSIONALS,CANOGA PARK,CA,Proprietary 2 Year,63,"232,241"
