OPEID,Name,State,Type & Control,Recips,Awards
7549,COYNE AMERICAN INSTITUTE,IL,Proprietary 2 Year,"1,425","4,591,696"
1669,DANVILLE AREA COMMUNITY COLLEGE,IL,Public 2 Year,"1,566","5,010,553"
1671,DEPAUL UNIVERSITY,IL,Private 4 Year,"5,560","20,733,837"
10727,DEVRY UNIVERSITY,IL,Proprietary 4 Year,"57,339","207,064,910"
1750,DOMINICAN UNIVERSITY,IL,Private 4 Year,692,"2,783,076"
1674,EASTERN ILLINOIS UNIVERSITY,IL,Public 4 Year,"3,213","12,801,525"
21686,EAST-WEST UNIVERSITY,IL,Private 4 Year,933,"2,562,177"
8259,EDUCATORS OF BEAUTY,IL,Proprietary 2 Year,147,"621,706"
9475,EDUCATORS OF BEAUTY,IL,Proprietary 2 Year,52,"224,514"
1675,ELGIN COMMUNITY COLLEGE,IL,Public 2 Year,"3,102","8,606,858"
1676,ELMHURST COLLEGE,IL,Private 4 Year,812,"3,106,261"
25995,EMPIRE BEAUTY SCHOOL,IL,Proprietary 2 Year,142,"475,034"
25561,ENVIRONMENTAL TECHNICAL INSTITUTE,IL,Proprietary 2 Year,378,"1,286,427"
1678,EUREKA COLLEGE,IL,Private 4 Year,269,"949,793"
38814,EUROPEAN MASSAGE THERAPY SCHOOL,IL,Proprietary 2 Year,91,"250,759"
11858,EVEREST COLLEGE,IL,Proprietary 2 Year,"2,208","7,584,049"
25849,FIRST INSTITUTE,IL,Proprietary 2 Year,168,"483,144"
25228,FOX COLLEGE,IL,Proprietary 2 Year,301,"1,233,067"
24982,G SKIN & BEAUTY INSTITUTE,IL,Proprietary 2 Year,152,"472,832"
4560,GEM CITY COLLEGE,IL,Proprietary 2 Year,39,"151,100"
9145,GOVERNORS STATE UNIVERSITY,IL,Public 4 Year,"1,439","5,529,237"
8938,GRAHAM HOSPITAL SCHOOL OF NURSING,IL,Private 2 Year,47,"195,205"
1684,GREENVILLE COLLEGE,IL,Private 4 Year,603,"2,162,574"
22612,HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY,IL,Proprietary 2 Year,199,"614,027"
23322,HAIR PROFESSIONALS CAREER COLLEGE,IL,Proprietary 2 Year,54,"161,195"
25877,HAIR PROFESSIONALS CAREER COLLEGE,IL,Proprietary 2 Year,92,"287,322"
22621,HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY,IL,Proprietary 2 Year,74,"230,610"
30020,HAIRMASTERS INSTITUTE OF COSMETOLOGY,IL,Proprietary 2 Year,67,"201,100"
1652,HAROLD WASHINGTON COLLEGE,IL,Public 2 Year,"5,622","17,899,356"
3961,HARPER COLLEGE,IL,Public 2 Year,"3,474","10,809,178"
20552,HARRINGTON COLLEGE OF DESIGN,IL,Proprietary 4 Year,470,"1,485,228"
30838,HEARTLAND COMMUNITY COLLEGE,IL,Public 2 Year,"1,520","4,338,921"
1685,HEBREW THEOLOGICAL COLLEGE,IL,Private 4 Year,201,"882,835"
1681,HIGHLAND COMMUNITY COLLEGE,IL,Public 2 Year,"1,264","3,838,327"
31018,ILLINOIS CENTER FOR BROADCASTING,IL,Proprietary 2 Year,211,"748,816"
6753,ILLINOIS CENTRAL COLLEGE,IL,Public 2 Year,"4,973","14,811,840"
1688,ILLINOIS COLLEGE,IL,Private 4 Year,264,"1,031,446"
9786,ILLINOIS EASTERN COMMUNITY COLLEGES - LINCOLN TRAIL COLLEGE,IL,Public 2 Year,386,"1,363,351"
1742,ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE,IL,Public 2 Year,777,"2,546,634"
1779,ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE,IL,Public 2 Year,591,"2,066,259"
20744,ILLINOIS EASTERN COMMUNITY COLLEGES -FRONTIER COMMUNITY COLLEGE,IL,Public 2 Year,360,"1,162,462"
12584,ILLINOIS INSTITUTE OF ART (THE),IL,Proprietary 4 Year,"3,740","13,418,738"
1691,ILLINOIS INSTITUTE OF TECHNOLOGY,IL,Private 4 Year,763,"3,101,316"
30998,ILLINOIS SCHOOL OF HEALTH CAREERS,IL,Proprietary 2 Year,"1,088","3,511,304"
1692,ILLINOIS STATE UNIVERSITY,IL,Public 4 Year,"3,988","15,591,205"
1705,ILLINOIS VALLEY COMMUNITY COLLEGE,IL,Public 2 Year,"1,495","4,489,197"
1696,ILLINOIS WESLEYAN UNIVERSITY,IL,Private 4 Year,344,"1,273,221"
41678,INNOVATIONS DESIGN ACADEMY,IL,Proprietary 2 Year,3,"5,166"
21603,INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY,IL,Proprietary 4 Year,"2,826","12,475,467"
8076,JOHN A. LOGAN COLLEGE,IL,Public 2 Year,"2,551","8,571,424"
12813,JOHN WOOD COMMUNITY COLLEGE,IL,Public 2 Year,"1,566","4,622,375"
1699,JOLIET JUNIOR COLLEGE,IL,Public 2 Year,"3,662","10,177,155"
1700,JUDSON UNIVERSITY,IL,Private 4 Year,399,"1,440,613"
7690,KANKAKEE COMMUNITY COLLEGE,IL,Public 2 Year,"1,811","5,402,476"
1701,KASKASKIA COLLEGE,IL,Public 2 Year,"2,132","7,562,589"
1703,KENDALL COLLEGE,IL,Proprietary 4 Year,"1,242","4,211,681"
7684,KISHWAUKEE COLLEGE,IL,Public 2 Year,"1,766","5,649,217"
1704,KNOX COLLEGE,IL,Private 4 Year,325,"1,305,569"
23123,LA' JAMES INTERNATIONAL COLLEGE,IL,Proprietary 2 Year,35,"144,367"
1706,LAKE FOREST COLLEGE,IL,Private 4 Year,465,"1,946,674"
7644,LAKE LAND COLLEGE,IL,Public 2 Year,"2,284","8,094,580"
10501,LAKEVIEW COLLEGE OF NURSING,IL,Private 4 Year,95,"372,145"
23522,LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO,IL,Proprietary 2 Year,721,"3,180,995"
10020,LEWIS AND CLARK COMMUNITY COLLEGE,IL,Public 2 Year,"2,499","7,456,324"
1707,LEWIS UNIVERSITY,IL,Private 4 Year,"1,135","4,262,253"
25276,LEXINGTON COLLEGE,IL,Private 4 Year,39,"174,075"
1708,LINCOLN CHRISTIAN UNIVERSITY,IL,Private 4 Year,363,"1,184,439"
1709,LINCOLN COLLEGE,IL,Private 4 Year,834,"3,247,941"
10316,LINCOLN COLLEGE OF TECHNOLOGY,IL,Proprietary 2 Year,"1,980","8,228,731"
7170,LINCOLN LAND COMMUNITY COLLEGE,IL,Public 2 Year,"2,849","8,212,568"
1710,LOYOLA UNIVERSITY CHICAGO,IL,Private 4 Year,"3,010","12,431,908"
22281,MAC DANIELS BEAUTY SCHOOL,IL,Proprietary 2 Year,53,"181,043"
1716,MACCORMAC COLLEGE,IL,Private 2 Year,141,"523,226"
1717,MACMURRAY COLLEGE,IL,Private 4 Year,280,"1,118,274"
7691,MCHENRY COUNTY COLLEGE,IL,Public 2 Year,"1,471","4,045,473"
1722,MCKENDREE UNIVERSITY,IL,Private 4 Year,779,"2,968,794"
6228,METHODIST COLLEGE OF  NURSING,IL,Private 4 Year,122,"454,716"
4568,MIDSTATE COLLEGE,IL,Proprietary 4 Year,654,"2,074,054"
33683,MIDWEST TECHNICAL INSTITUTE,IL,Proprietary 2 Year,"1,915","6,654,869"
1657,MIDWESTERN UNIVERSITY,IL,Private 4 Year,6,"26,864"
1724,MILLIKIN UNIVERSITY,IL,Private 4 Year,840,"3,044,820"
1725,MONMOUTH COLLEGE,IL,Private 4 Year,455,"1,806,333"
7692,MORAINE VALLEY COMMUNITY COLLEGE,IL,Public 2 Year,"3,748","11,301,928"
8880,MORRISON INSTITUTE OF TECHNOLOGY,IL,Private 2 Year,50,"190,224"
1728,MORTON COLLEGE,IL,Public 2 Year,"2,126","6,406,008"
21924,"MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS",IL,Proprietary 2 Year,74,"303,926"
36433,"MR. JOHN'S SCHOOL OF JACKSONVILLE,  INC,",IL,Proprietary 2 Year,42,"145,717"
7937,MS ROBERTS ACADEMY OF BEAUTY CULTURE,IL,Proprietary 2 Year,86,"312,059"
31285,NATIONAL LATINO EDUCATION INSTITUTE,IL,Private 2 Year,132,"513,547"
1732,NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE),IL,Private 4 Year,46,"191,012"
1733,NATIONAL-LOUIS UNIVERSITY,IL,Private 4 Year,"1,018","3,140,598"
25566,NILES SCHOOL OF COSMETOLOGY,IL,Proprietary 2 Year,66,"240,771"
1734,NORTH CENTRAL COLLEGE,IL,Private 4 Year,650,"2,383,183"
1735,NORTH PARK UNIVERSITY,IL,Private 4 Year,668,"2,358,983"
1693,NORTHEASTERN ILLINOIS UNIVERSITY,IL,Public 4 Year,"4,163","15,404,925"
1737,NORTHERN ILLINOIS UNIVERSITY,IL,Public 4 Year,"6,318","25,278,642"
12362,NORTHWESTERN COLLEGE,IL,Proprietary 2 Year,"2,649","7,303,293"
1739,NORTHWESTERN UNIVERSITY,IL,Private 4 Year,"1,041","3,903,882"
9896,OAKTON COMMUNITY COLLEGE,IL,Public 2 Year,"2,403","6,991,124"
22975,OEHRLEIN SCHOOL OF COSMETOLOGY,IL,Proprietary 2 Year,79,"290,370"
9767,OLIVE HARVEY COLLEGE,IL,Public 2 Year,"2,877","9,295,807"
1741,OLIVET NAZARENE UNIVERSITY,IL,Private 4 Year,"1,011","3,831,718"
7118,PARKLAND COLLEGE,IL,Public 2 Year,"3,104","10,188,066"
41606,PAUL MITCHELL THE SCHOOL NORMAL,IL,Proprietary 2 Year,18,"55,302"
10836,PIVOT POINT INTERNATIONAL COSMETOLOGY RESEARCH CENTER,IL,Proprietary 2 Year,339,"1,247,586"
1640,PRAIRIE STATE COLLEGE,IL,Public 2 Year,"2,740","7,385,403"
23233,PROFESSIONALS CHOICE HAIR DESIGN ACADEMY,IL,Proprietary 2 Year,12,"48,250"
1745,QUINCY UNIVERSITY,IL,Private 4 Year,519,"1,990,461"
7119,REND LAKE COLLEGE,IL,Public 2 Year,"1,593","5,305,111"
1649,RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO,IL,Public 2 Year,"3,049","8,706,454"
10879,RICHLAND COMMUNITY COLLEGE,IL,Public 2 Year,"1,372","3,535,090"
1746,ROBERT MORRIS UNIVERSITY ILLINOIS,IL,Private 4 Year,"3,462","15,414,430"
1747,ROCK VALLEY COLLEGE,IL,Public 2 Year,"3,058","8,451,660"
8545,ROCKFORD CAREER  COLLEGE,IL,Proprietary 2 Year,820,"2,912,504"
1748,ROCKFORD COLLEGE,IL,Private 4 Year,398,"1,473,065"
1749,ROOSEVELT UNIVERSITY,IL,Private 4 Year,"1,759","6,039,408"
30829,ROSEL SCHOOL OF COSMETOLOGY,IL,Proprietary 2 Year,141,"569,179"
9800,RUSH UNIVERSITY,IL,Private 4 Year,17,"72,356"
9987,SAINT ANTHONY COLLEGE OF NURSING,IL,Private 4 Year,79,"259,318"
6240,SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING,IL,Private 4 Year,145,"469,386"
30980,SAINT JOHN'S COLLEGE,IL,Private 4 Year,24,"91,550"
1768,SAINT XAVIER UNIVERSITY,IL,Private 4 Year,"1,369","5,183,395"
1752,SAUK VALLEY COMMUNITY COLLEGE,IL,Public 2 Year,"1,271","3,728,460"
1753,SCHOOL OF THE ART INSTITUTE OF CHICAGO,IL,Private 4 Year,663,"2,596,546"
7693,SHAWNEE COMMUNITY COLLEGE,IL,Public 2 Year,"1,425","4,694,342"
1756,SHIMER COLLEGE,IL,Private 4 Year,58,"212,285"
41175,SOLEX MEDICAL ACADEMY,IL,Proprietary 2 Year,10,"22,752"
38913,SOMA INSTITUTE - THE NATIONAL SCHOOL OF CLINICAL MASSAGE THERAPY,IL,Proprietary 2 Year,191,"455,271"
1769,SOUTH SUBURBAN COLLEGE OF COOK COUNTY,IL,Public 2 Year,"5,195","14,753,542"
1757,SOUTHEASTERN ILLINOIS COLLEGE,IL,Public 2 Year,961,"3,470,247"
1758,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,IL,Public 4 Year,"6,031","25,335,128"
1759,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,IL,Public 4 Year,"3,526","13,134,450"
1636,SOUTHWESTERN ILLINOIS COLLEGE,IL,Public 2 Year,"4,904","14,742,158"
1643,SPOON RIVER COLLEGE,IL,Public 2 Year,655,"2,278,743"
1761,SPRINGFIELD COLLEGE ILLINOIS,IL,Private 2 Year,211,"742,238"
21854,ST. AUGUSTINE COLLEGE,IL,Private 4 Year,"1,225","4,746,568"
11810,TAYLOR BUSINESS INSTITUTE,IL,Proprietary 2 Year,347,"1,558,415"
20732,TELSHE YESHIVA-CHICAGO,IL,Private 4 Year,30,"141,887"
30653,TREND SETTERS COLLEGE OF COSMETOLOGY,IL,Proprietary 2 Year,173,"569,409"
10695,TRI COUNTY BEAUTY ACADEMY,IL,Proprietary 2 Year,23,"79,069"
41375,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,179,"655,449"
41471,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,64,"255,964"
41472,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,97,"391,052"
41473,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,51,"212,370"
41474,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,46,"173,770"
41475,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,Proprietary 2 Year,93,"341,412"
1771,TRINITY CHRISTIAN COLLEGE,IL,Private 4 Year,470,"1,585,849"
6225,TRINITY COLLEGE OF NURSING AND HEALTH SCIENCES,IL,Private 4 Year,82,"261,502"
1772,TRINITY INTERNATIONAL UNIVERSITY,IL,Private 4 Year,618,"2,170,903"
1773,TRITON COLLEGE,IL,Public 2 Year,"3,926","12,181,657"
41708,UNITY COSMETOLOGY COLLEGE,IL,Proprietary 2 Year,2,"5,275"
41369,UNIVERSITY OF AESTHETICS (THE),IL,Proprietary 2 Year,13,"36,374"
41370,UNIVERSITY OF AESTHETICS (THE),IL,Proprietary 2 Year,8,"27,199"
1774,UNIVERSITY OF CHICAGO (THE),IL,Private 4 Year,856,"3,445,554"
1776,UNIVERSITY OF ILLINOIS AT CHICAGO,IL,Public 4 Year,"7,231","30,299,087"
9333,UNIVERSITY OF ILLINOIS AT SPRINGFIELD,IL,Public 4 Year,"1,102","4,090,841"
1775,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,Public 4 Year,"5,715","23,552,327"
1664,UNIVERSITY OF SAINT FRANCIS,IL,Private 4 Year,483,"1,709,754"
21244,UNIVERSITY OF SPA & COSMETOLOGY ARTS,IL,Proprietary 2 Year,182,"592,851"
1778,VANDERCOOK COLLEGE OF MUSIC,IL,Private 4 Year,71,"283,220"
20693,VATTEROTT COLLEGE,IL,Proprietary 4 Year,"1,647","7,129,290"
36233,VEE'S SCHOOL OF BEAUTY CULTURE,IL,Proprietary 2 Year,31,"143,103"
6931,WAUBONSEE COMMUNITY COLLEGE,IL,Public 2 Year,"1,902","5,298,870"
22141,WEST SUBURBAN COLLEGE OF NURSING,IL,Private 4 Year,97,"335,060"
1780,WESTERN ILLINOIS UNIVERSITY,IL,Public 4 Year,"3,671","14,194,819"
30792,WESTWOOD COLLEGE - DUPAGE,IL,Proprietary 4 Year,"2,017","8,429,511"
23139,WESTWOOD COLLEGE - O'HARE AIRPORT,IL,Proprietary 4 Year,"2,580","11,226,278"
1781,WHEATON COLLEGE,IL,Private 4 Year,447,"1,775,727"
1655,WILBUR WRIGHT COLLEGE,IL,Public 2 Year,"4,177","12,003,076"
1783,WORSHAM COLLEGE OF MORTUARY SCIENCE,IL,Proprietary 2 Year,46,"147,412"
41184,ZAREM /GOLDE ORT TECHNICAL INSTITUTE,IL,Private 4 year,269,"794,188"
35383,ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS,IN,Proprietary 2 Year,30,"126,101"
1784,ANCILLA DOMINI COLLEGE,IN,Private 2 Year,450,"1,617,516"
1785,ANDERSON UNIVERSITY,IN,Private 4 Year,731,"2,650,799"
9612,APEX ACADEMY OF HAIR DESIGN,IN,Proprietary 2 Year,5,"13,403"
41559,AVEDA FREDRIC'S INSTITUTE,IN,Proprietary 2 Year,36,"146,918"
31763,AVIATION INSTITUTE OF MAINTENANCE,IN,Proprietary 2 Year,238,"1,022,326"
1786,BALL STATE UNIVERSITY,IN,Public 4 Year,"5,058","20,293,824"
1787,BETHEL COLLEGE,IN,Private 4 Year,960,"3,587,842"
4583,BROWN MACKIE COLLEGE-SOUTH BEND,IN,Proprietary 4 Year,"5,127","18,803,271"
1788,BUTLER UNIVERSITY,IN,Private 4 Year,584,"2,216,508"
1834,CALUMET COLLEGE OF SAINT JOSEPH,IN,Private 4 Year,512,"1,998,004"
26158,COLLEGE OF COURT REPORTING,IN,Proprietary 2 Year,141,"680,275"
11505,CREATIVE HAIR STYLING ACADEMY,IN,Proprietary 2 Year,72,"312,533"
34567,CROSSROADS BIBLE COLLEGE,IN,Private 4 Year,161,"567,565"
32623,DAVID DEMUTH INSTITUTE OF COSMETOLOGY,IN,Proprietary 2 Year,38,"114,382"
1792,DEPAUW UNIVERSITY,IN,Private 4 Year,432,"1,678,998"
21588,DON ROBERTS BEAUTY SCHOOL,IN,Proprietary 2 Year,30,"100,133"
21643,DON ROBERTS SCHOOL OF HAIR DESIGN,IN,Proprietary 2 Year,68,"232,087"
1793,EARLHAM COLLEGE,IN,Private 4 Year,272,"1,044,941"
23452,EMPIRE BEAUTY SCHOOL,IN,Proprietary 2 Year,403,"1,518,299"
1798,FRANKLIN COLLEGE OF INDIANA,IN,Private 4 Year,379,"1,435,189"
1799,GOSHEN COLLEGE,IN,Private 4 Year,298,"1,125,082"
1800,GRACE COLLEGE AND THEOLOGICAL SEMINARY,IN,Private 4 Year,417,"1,535,026"
26070,HAIR ARTS ACADEMY,IN,Proprietary 2 Year,38,"130,948"
24905,HAIR FASHIONS BY KAYE BEAUTY COLLEGE,IN,Proprietary 2 Year,157,"507,054"
24908,HAIR FASHIONS BY KAYE BEAUTY COLLEGE,IN,Proprietary 2 Year,72,"256,173"
1801,HANOVER COLLEGE,IN,Private 4 Year,258,"997,636"
21584,HARRISON COLLEGE,IN,Proprietary 4 Year,"5,692","19,023,904"
30097,HARRISON COLLEGE,IN,Proprietary 4 Year,743,"2,632,402"
9515,HARROLD BEAUTY ACADEMY,IN,Proprietary 2 Year,65,"265,876"
7263,HOLY CROSS COLLEGE,IN,Private 4 Year,143,"562,392"
41309,HONORS BEAUTY COLLEGE,IN,Proprietary 2 Year,110,"421,874"
1803,HUNTINGTON UNIVERSITY,IN,Private 4 Year,386,"1,348,333"
40387,IDEAL BEAUTY ACADEMY,IN,Proprietary 2 Year,89,"266,924"
1805,INDIANA INSTITUTE OF TECHNOLOGY,IN,Private 4 Year,"1,792","6,337,176"
1807,INDIANA STATE UNIVERSITY,IN,Public 4 Year,"3,269","12,337,609"
1809,INDIANA UNIVERSITY - BLOOMINGTON,IN,Public 4 Year,"5,887","24,226,385"
1811,INDIANA UNIVERSITY - EAST,IN,Public 4 Year,"1,527","5,454,724"
1814,INDIANA UNIVERSITY - KOKOMO,IN,Public 4 Year,"1,114","3,994,267"
1815,INDIANA UNIVERSITY - NORTHWEST,IN,Public 4 Year,"2,400","9,162,508"
1813,INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS,IN,Public 4 Year,"8,051","30,957,111"
1816,INDIANA UNIVERSITY - SOUTH BEND,IN,Public 4 Year,"3,233","11,655,872"
1828,INDIANA UNIVERSITY PURDUE UNIVERSITY FT WAYNE,IN,Public 4 Year,"5,284","19,381,028"
1817,INDIANA UNIVERSITY SOUTHEAST,IN,Public 4 Year,"2,448","9,224,449"
1822,INDIANA WESLEYAN UNIVERSITY,IN,Private 4 Year,"4,103","13,436,113"
4579,INTERNATIONAL BUSINESS COLLEGE,IN,Proprietary 4 Year,697,"2,945,875"
7327,ITT TECHNICAL INSTITUTE,IN,Proprietary 2 Year,"4,742","17,126,394"
8329,ITT TECHNICAL INSTITUTE,IN,Proprietary 2 Year,"4,324","15,543,983"
7329,ITT TECHNICAL INSTITUTE -,IN,Proprietary 4 Year,"14,269","36,050,080"
10040,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 1,IN,Public 2 Year,"6,438","18,670,447"
10038,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 10,IN,Public 2 Year,"3,024","9,164,336"
9923,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 11,IN,Public 2 Year,"1,975","6,027,418"
9925,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 12,IN,Public 2 Year,"3,612","10,754,376"
10109,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 13,IN,Public 2 Year,"2,522","7,990,404"
35213,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 14,IN,Public 2 Year,"3,434","10,181,713"
8423,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 2,IN,Public 2 Year,"6,182","17,036,624"
10039,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 4,IN,Public 2 Year,"4,462","13,748,237"
10041,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 5,IN,Public 2 Year,"3,904","11,787,027"
9924,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 6,IN,Public 2 Year,"6,157","18,504,529"
8547,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 7,IN,Public 2 Year,"3,585","11,617,331"
9917,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 8,IN,Public 2 Year,"11,636","33,107,214"
10037,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 9,IN,Public 2 Year,"3,295","9,437,034"
9926,IVY TECH COMMUNITY COLLEGE OF INDIANA- REGION 3,IN,Public 2 Year,"8,185","23,620,823"
23027,J. EVERETT LIGHT CAREER CENTER,IN,Public 2 Year,60,"256,588"
22018,KAPLAN COLLEGE,IN,Proprietary 2 Year,"2,414","7,236,261"
9777,KAPLAN COLLEGE,IN,Proprietary 2 Year,"1,898","5,530,836"
23513,KNOX BEAUTY COLLEGE,IN,Proprietary 2 Year,28,"121,013"
10409,LAFAYETTE BEAUTY ACADEMY,IN,Proprietary 2 Year,54,"200,086"
7938,LINCOLN COLLEGE OF TECHNOLOGY,IN,Proprietary 2 Year,"2,240","9,189,805"
1820,MANCHESTER COLLEGE,IN,Private 4 Year,454,"1,748,997"
1821,MARIAN UNIVERSITY,IN,Private 4 Year,906,"3,474,221"
21408,MARTIN UNIVERSITY,IN,Private 4 Year,910,"2,824,880"
23089,MASTERS OF COSMETOLOGY COLLEGE,IN,Proprietary 2 Year,61,"338,935"
7362,MEDTECH COLLEGE,IN,Proprietary 2 Year,"2,184","7,520,413"
9613,MERRILLVILLE BEAUTY COLLEGE,IN,Proprietary 2 Year,140,"573,531"
10618,MID AMERICA COLLEGE OF FUNERAL SERVICE,IN,Private 4 Year,85,"256,009"
10489,NATIONAL COLLEGE,IN,Proprietary 4 Year,"4,460","17,440,755"
1824,OAKLAND CITY UNIVERSITY,IN,Private 4 Year,380,"1,509,121"
22417,PJ'S COLLEGE OF COSMETOLOGY,IN,Proprietary 2 Year,169,"616,731"
23048,PJ'S COLLEGE OF COSMETOLOGY,IN,Proprietary 2 Year,58,"217,208"
1825,PURDUE UNIVERSITY,IN,Public 4 Year,"6,502","25,386,868"
1827,PURDUE UNIVERSITY - CALUMET,IN,Public 4 Year,"3,605","13,863,731"
1826,PURDUE UNIVERSITY - NORTH CENTRAL,IN,Public 4 Year,"1,548","5,536,390"
20848,RAVENSCROFT BEAUTY COLLEGE,IN,Proprietary 2 Year,235,"922,906"
23396,ROGERS ACADEMY OF HAIR DESIGN,IN,Proprietary 2 Year,178,"717,073"
1830,ROSE-HULMAN INSTITUTE OF TECHNOLOGY,IN,Private 4 Year,306,"1,121,114"
9673,RUDAE'S SCHOOL OF BEAUTY CULTURE,IN,Proprietary 2 Year,201,"819,725"
6257,SAINT ELIZABETH SCHOOL OF NURSING,IN,Private 2 Year,127,"539,272"
41667,SALON PROFESSIONAL ACADEMY (THE),IN,Proprietary 2 Year,29,"87,576"
1833,ST JOSEPH'S COLLEGE,IN,Private 4 Year,269,"1,050,342"
1835,ST MARY OF THE WOODS COLLEGE,IN,Private 4 Year,596,"1,818,187"
1836,ST MARYS COLLEGE,IN,Private 4 Year,323,"1,280,086"
41003,SUCCESS SCHOOLS LLC,IN,Proprietary 2 Year,121,"627,593"
1838,TAYLOR UNIVERSITY,IN,Private 4 Year,470,"1,748,407"
41210,TECHSKILLS - INDIANAPOLIS,IN,Proprietary 2 Year,99,"253,348"
1839,TRINE UNIVERSITY,IN,Private 4 Year,822,"3,174,765"
31006,TUCKER CAREER AND TECHNOLOGY CENTER,IN,Public 2 Year,28,"128,474"
1795,UNIVERSITY OF EVANSVILLE,IN,Private 4 Year,719,"2,836,945"
1804,UNIVERSITY OF INDIANAPOLIS,IN,Private 4 Year,"1,498","5,503,976"
1840,UNIVERSITY OF NOTRE DAME,IN,Private 4 Year,939,"3,616,170"
1832,UNIVERSITY OF SAINT FRANCIS,IN,Private 4 Year,796,"2,762,562"
1808,UNIVERSITY OF SOUTHERN INDIANA,IN,Public 4 Year,"2,900","11,013,907"
1842,VALPARAISO UNIVERSITY,IN,Private 4 Year,744,"2,777,959"
10151,VINCENNES BEAUTY COLLEGE,IN,Proprietary 2 Year,31,"110,865"
1843,VINCENNES UNIVERSITY,IN,Public 4 Year,"4,224","15,738,207"
1844,WABASH COLLEGE,IN,Private 4 Year,214,"845,180"
8682,ACADEMY OF HAIR DESIGN,KS,Proprietary 2 Year,85,"298,511"
1901,ALLEN COUNTY COMMUNITY COLLEGE,KS,Public 2 Year,"1,273","3,990,285"
1903,BAKER UNIVERSITY,KS,Private 4 Year,668,"2,518,066"
1917,BARCLAY COLLEGE,KS,Private 4 Year,123,"487,839"
4608,BARTON COUNTY COMMUNITY COLLEGE,KS,Public 2 Year,896,"2,743,510"
10256,BENEDICTINE COLLEGE,KS,Private 4 Year,360,"1,315,647"
1904,BETHANY COLLEGE,KS,Private 4 Year,237,"870,724"
1905,BETHEL COLLEGE,KS,Private 4 Year,150,"515,241"
6755,BROWN MACKIE COLLEGE (THE -),KS,Proprietary 2 Year,"1,329","4,478,411"
30662,BRYAN COLLEGE,KS,Proprietary 2 Year,191,"846,930"
8332,B-STREET DESIGN SCHOOL OF INTERNATIONAL HAIR STYLING,KS,Proprietary 2 Year,88,"381,582"
34503,B-STREET DESIGN SCHOOL OF INTERNATIONAL HAIR STYLING - TOPEKA,KS,Proprietary 2 Year,418,"1,665,788"
1906,BUTLER COUNTY COMMUNITY COLLEGE,KS,Public 2 Year,"3,308","10,035,888"
1908,CENTRAL CHRISTIAN COLLEGE OF KANSAS,KS,Private 4 Year,168,"645,252"
20907,CLEVELAND CHIROPRACTIC COLLEGE,KS,Private 4 Year,55,"219,224"
1909,CLOUD COUNTY COMMUNITY COLLEGE,KS,Public 2 Year,895,"2,806,564"
1910,COFFEYVILLE COMMUNITY COLLEGE,KS,Public 2 Year,763,"2,677,427"
1911,COLBY COMMUNITY COLLEGE,KS,Public 2 Year,417,"1,490,015"
1902,COWLEY COUNTY COMMUNITY COLLEGE & AREA VOCATIONAL TECHNICAL SCHOOL,KS,Public 2 Year,"1,871","6,109,075"
21964,CUTTING EDGE HAIRSTYLING ACADEMY,KS,Proprietary 2 Year,210,"752,643"
1913,DODGE CITY COMMUNITY COLLEGE,KS,Public 2 Year,619,"2,089,845"
