OPEID,Name,State,Type & Control,Recips,Awards
1047,TROY UNIVERSITY,AL,Public 4 Year,"11,631","41,360,419"
1050,TUSKEGEE UNIVERSITY,AL,Private 4 Year,"1,440","6,634,762"
21706,UNITED STATES SPORTS ACADEMY,AL,Private 4 Year,94,"232,939"
1051,UNIVERSITY OF ALABAMA,AL,Public 4 Year,"5,322","21,902,232"
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Public 4 Year,"3,476","14,605,719"
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,Public 4 Year,"1,921","7,687,108"
1029,UNIVERSITY OF MOBILE,AL,Private 4 Year,756,"2,719,113"
1004,UNIVERSITY OF MONTEVALLO,AL,Public 4 Year,958,"4,198,254"
1016,UNIVERSITY OF NORTH ALABAMA,AL,Public 4 Year,"2,222","9,213,120"
1057,UNIVERSITY OF SOUTH ALABAMA,AL,Public 4 Year,"4,022","15,508,277"
1024,UNIVERSITY OF WEST ALABAMA,AL,Public 4 Year,"1,313","5,764,332"
30106,VIRGINIA COLLEGE,AL,Proprietary 4 Year,"22,904","92,495,763"
41492,XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL,AL,Proprietary 2 Year,81,"379,592"
30651,ABC BEAUTY COLLEGE,AR,Proprietary 2 Year,69,"212,347"
10741,ACADEMY OF SALON AND SPA,AR,Proprietary 2 Year,88,"289,179"
1087,ARKANSAS BAPTIST COLLEGE,AR,Private 4 Year,740,"3,148,111"
39973,ARKANSAS BEAUTY COLLEGE,AR,Proprietary 2 Year,38,"182,397"
30051,ARKANSAS BEAUTY SCHOOL,AR,Proprietary 2 Year,72,"271,717"
30076,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,Proprietary 2 Year,69,"249,207"
30234,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,Proprietary 2 Year,161,"683,323"
12860,ARKANSAS NORTHEASTERN COLLEGE,AR,Public 2 Year,"1,150","3,618,433"
1090,ARKANSAS STATE UNIVERSITY,AR,Public 4 Year,"7,059","28,160,986"
1091,ARKANSAS STATE UNIVERSITY - BEEBE,AR,Public 2 Year,"1,605","5,897,848"
1089,ARKANSAS TECH UNIVERSITY,AR,Public 4 Year,"3,994","16,069,767"
23635,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary 2 Year,40,"156,740"
25385,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary 2 Year,136,"421,090"
31272,ASKINS VO TECH,AR,Proprietary 2 Year,48,"126,993"
31052,BAPTIST HEALTH SCHOOLS LITTLE ROCK,AR,Private 2 Year,501,"1,612,521"
22604,BEE JAY'S HAIRSTYLING ACADEMY,AR,Proprietary 2 Year,61,"207,644"
20522,BLACK RIVER TECHNICAL COLLEGE,AR,Public 2 Year,"1,795","6,511,413"
23417,CAREER ACADEMY OF HAIR DESIGN,AR,Proprietary 2 Year,221,"881,111"
1093,CENTRAL BAPTIST COLLEGE,AR,Private 4 Year,277,"1,015,433"
22209,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 Year,837,"2,986,063"
39123,CROSSETT SCHOOL OF COSMETOLOGY,AR,Proprietary 2 Year,34,"117,381"
1095,CROWLEY'S RIDGE COLLEGE,AR,Private 4 Year,97,"427,113"
7044,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,Public 2 Year,242,"944,306"
31168,DELUXE BEAUTY SCHOOL,AR,Proprietary 2 Year,3,"8,025"
12260,EAST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,971,"3,452,680"
22724,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,Proprietary 2 Year,812,"2,214,356"
38553,ECCLESIA COLLEGE,AR,Private 4 Year,51,"191,894"
1097,HARDING UNIVERSITY,AR,Private 4 Year,"1,160","4,622,363"
1098,HENDERSON STATE UNIVERSITY,AR,Public 4 Year,"1,616","6,315,960"
1099,HENDRIX COLLEGE,AR,Private 4 Year,279,"1,047,123"
30071,HOT SPRINGS BEAUTY COLLEGE,AR,Proprietary 2 Year,83,"386,292"
31249,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,AR,Proprietary 2 Year,181,"621,304"
1100,JOHN BROWN UNIVERSITY,AR,Private 4 Year,602,"2,132,681"
23308,JRMC SCHOOL OF NURSING,AR,Private 2 Year,56,"148,179"
25258,LEES SCHOOL OF COSMETOLOGY,AR,Proprietary 2 Year,25,"117,363"
35194,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,Proprietary 2 Year,20,"70,389"
1088,LYON COLLEGE,AR,Private 4 Year,269,"1,056,360"
32543,MARGARET'S HAIR ACADEMY,AR,Proprietary 2 Year,70,"231,361"
22874,MARSHA KAY BEAUTY COLLEGE,AR,Proprietary 2 Year,31,"143,828"
23482,MID-SOUTH COMMUNITY COLLEGE,AR,Public 2 Year,"1,642","5,222,372"
12105,NATIONAL PARK COMMUNITY COLLEGE,AR,Public 2 Year,"2,408","8,588,582"
22842,NEW TYLER BARBER COLLEGE,AR,Proprietary 2 Year,97,"433,695"
12261,NORTH ARKANSAS COLLEGE,AR,Public 2 Year,"1,719","6,104,711"
30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,"3,200","10,385,549"
20737,NORTHWEST TECHNICAL INSTITUTE,AR,Public 2 Year,227,"619,543"
1102,OUACHITA BAPTIST UNIVERSITY,AR,Private 4 Year,364,"1,468,487"
9976,OUACHITA TECHNICAL COLLEGE,AR,Public 2 Year,637,"2,260,360"
20870,OZARKA COLLEGE,AR,Public 2 Year,"1,145","4,195,937"
7921,PAUL MITCHELL THE SCHOOL ARKANSAS,AR,Proprietary 2 Year,65,"271,160"
1103,PHILANDER SMITH COLLEGE,AR,Private 4 Year,532,"2,243,699"
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 Year,"1,188","4,233,674"
22024,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,Proprietary 2 Year,56,"212,739"
20753,PULASKI TECHNICAL COLLEGE,AR,Public 2 Year,"7,513","26,193,636"
21111,RICH MOUNTAIN COMMUNITY COLLEGE,AR,Public 2 Year,517,"1,824,274"
25696,SEARCY BEAUTY COLLEGE,AR,Proprietary 2 Year,59,"201,792"
20746,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,"1,161","4,063,441"
5707,SOUTHEAST ARKANSAS COLLEGE,AR,Public 2 Year,"1,330","4,431,544"
1107,SOUTHERN ARKANSAS UNIVERSITY,AR,Public 4 Year,"1,606","6,598,702"
7738,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,Public 2 Year,709,"2,568,946"
1108,UNIVERSITY OF ARKANSAS,AR,Public 4 Year,"3,711","14,355,762"
1110,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,Public 4 Year,"3,920","14,283,913"
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,Public 4 Year,"4,220","15,947,568"
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,Public 4 Year,"2,327","8,873,057"
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,Public 4 Year,"2,739","11,889,521"
20735,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,Public 2 Year,"1,374","4,941,724"
5732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,Public 2 Year,"1,125","3,754,398"
5245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,Public 2 Year,"1,606","5,457,071"
1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,Public 4 Year,344,"1,449,397"
1092,UNIVERSITY OF CENTRAL ARKANSAS,AR,Public 4 Year,"3,799","15,343,011"
1094,UNIVERSITY OF THE OZARKS,AR,Private 4 Year,209,"839,038"
32143,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,Proprietary 2 Year,21,"79,203"
1106,WILLIAMS BAPTIST COLLEGE,AR,Private 4 Year,296,"1,147,442"
10010,AMERICAN SAMOA COMMUNITY COLLEGE,AS,Public 2 Year,"1,697","6,119,146"
21999,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,Private 4 Year,81,"331,488"
23178,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,Proprietary 2 Year,"1,022","3,113,060"
22631,ANTHEM COLLEGE,AZ,Proprietary 4 Year,"3,029","9,920,143"
21006,APOLLO COLLEGE,AZ,Proprietary 4 Year,"5,046","19,100,644"
8864,ARIZONA ACADEMY OF BEAUTY,AZ,Proprietary 2 Year,68,"233,951"
11802,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,Proprietary 2 Year,81,"260,857"
10847,ARIZONA AUTOMOTIVE INSTITUTE,AZ,Proprietary 2 Year,"1,626","7,063,194"
31150,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,Proprietary 2 Year,851,"2,887,209"
41209,ARIZONA CULINARY INSTITUTE,AZ,Proprietary 2 Year,75,"238,214"
36955,ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,AZ,Proprietary 4 Year,2,"13,933"
1081,ARIZONA STATE UNIVERSITY,AZ,Public 4 Year,"18,345","72,557,095"
1071,ARIZONA WESTERN COLLEGE,AZ,Public 2 Year,"5,253","17,164,064"
24915,ART CENTER DESIGN COLLEGE (THE),AZ,Proprietary 4 Year,362,"1,774,755"
40513,ART INSTITUTE OF PHOENIX (THE),AZ,Proprietary 4 Year,"1,213","4,599,472"
37405,ART INSTITUTE OF TUCSON (THE),AZ,Proprietary 4 Year,323,"1,193,499"
10858,AVALON SCHOOL OF COSMETOLOGY,AZ,Proprietary 2 Year,424,"1,659,525"
22188,BROOKLINE COLLEGE,AZ,Proprietary 4 Year,"4,433","15,542,841"
9451,BROWN MACKIE COLLEGE,AZ,Proprietary 4 Year,"3,607","12,376,164"
30764,BRYMAN SCHOOL OF ARIZONA (THE),AZ,Proprietary 2 Year,"4,062","13,235,716"
30978,CARSTEN AVEDA INSTITUTE,AZ,Proprietary 2 Year,129,"510,342"
7283,CENTRAL ARIZONA COLLEGE,AZ,Public 2 Year,"3,247","10,098,114"
30722,CHANDLER - GILBERT COMMUNITY COLLEGE,AZ,Public 2 Year,"2,419","7,235,262"
22805,CHARLES OF ITALY BEAUTY COLLEGE,AZ,Proprietary 2 Year,97,"392,002"
1072,COCHISE COLLEGE,AZ,Public 2 Year,"2,200","7,118,986"
31004,COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF,AZ,Public 2 Year,"1,320","3,990,026"
31203,COLLEGE AMERICA - FLAGSTAFF,AZ,Proprietary 4 Year,702,"3,524,062"
21749,COLLINS COLLEGE,AZ,Proprietary 4 Year,"1,044","4,583,129"
30344,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,Proprietary 2 Year,465,"1,531,008"
26238,CORTIVA INSTITUTE - SCOTTSDALE,AZ,Proprietary 2 Year,126,"355,417"
25827,CORTIVA INSTITUTE - TUCSON,AZ,Proprietary 2 Year,169,"490,073"
8246,DINE COLLEGE,AZ,Public 4 Year,"1,531","6,135,820"
35723,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,Public 2 Year,46,"139,314"
1073,EASTERN ARIZONA COLLEGE,AZ,Public 2 Year,"1,618","5,570,795"
12343,EMPIRE BEAUTY SCHOOL,AZ,Proprietary 2 Year,340,"1,336,975"
12937,EMPIRE BEAUTY SCHOOL,AZ,Proprietary 2 Year,99,"403,853"
22203,EMPIRE BEAUTY SCHOOL,AZ,Proprietary 2 Year,374,"1,380,961"
8865,EMPIRE BEAUTY SCHOOL,AZ,Proprietary 2 Year,443,"1,718,710"
11808,EMPIRE BEAUTY SCHOOL - FLAGSTAFF,AZ,Proprietary 2 Year,405,"1,620,136"
31563,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 Year,"3,460","9,912,287"
22950,EVEREST COLLEGE PHOENIX,AZ,Proprietary 4 Year,"9,152","30,933,898"
8303,GATEWAY COMMUNITY COLLEGE,AZ,Public 2 Year,"2,526","6,448,427"
1076,GLENDALE COMMUNITY COLLEGE,AZ,Public 2 Year,"6,710","19,781,407"
1074,GRAND CANYON UNIVERSITY,AZ,Proprietary 4 Year,"18,664","45,411,388"
34453,HDS TRUCK DRIVING INSTITUTE,AZ,Proprietary 2 Year,32,"126,903"
12184,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,Proprietary 2 Year,194,"667,262"
33473,INTERNATIONAL BAPTIST COLLEGE,AZ,Private 4 Year,33,"124,407"
20652,ITT TECHNICAL INSTITUTE -,AZ,Proprietary 2 Year,"2,481","10,056,044"
23611,ITT TECHNICAL INSTITUTE -,AZ,Proprietary 2 Year,"2,093","8,222,334"
20712,KAPLAN COLLEGE,AZ,Proprietary 2 Year,700,"2,479,847"
25215,LAMSON COLLEGE,AZ,Proprietary 2 Year,469,"1,688,585"
26167,LE CORDON BLEU COLLEGE OF CULINARY ARTS,AZ,Proprietary 4 Year,"1,532","6,756,424"
21923,MARICOPA BEAUTY COLLEGE,AZ,Proprietary 2 Year,103,"450,676"
1077,MESA COMMUNITY COLLEGE,AZ,Public 2 Year,"8,698","26,160,381"
41388,MODERN TECHNIQUES BEAUTY COLLEGE,AZ,Proprietary 2 Year,35,"129,355"
11864,MOHAVE COMMUNITY COLLEGE,AZ,Public 2 Year,"3,887","11,615,645"
38133,NORTHCENTRAL UNIVERSITY,AZ,Proprietary 2 Year,36,"86,021"
1082,NORTHERN ARIZONA UNIVERSITY,AZ,Public 4 Year,"6,596","25,942,528"
11862,NORTHLAND PIONEER COLLEGE,AZ,Public 2 Year,"1,273","3,403,141"
26236,PARADISE VALLEY COMMUNITY COLLEGE,AZ,Public 2 Year,"2,170","6,526,611"
