PELLID,OPEID,GAPSID,Name,State,Type & Control,Recipients,Awards,,,,,,,
31168,3116800,4786,DELUXE BEAUTY SCHOOL,AR,Proprietary,7,"19,386",,,,,,,
12260,1226000,0649,EAST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 year,815,"2,452,192",,,,,,,
16041,2272400,4076,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,Proprietary,731,"1,707,629",,,,,,,
38553,3855300,5650,ECCLESIA COLLEGE,AR,Private 4 Year,38,"111,082",,,,,,,
1097,109700,1080,HARDING UNIVERSITY,AR,Private 4 Year,"1,052","3,424,926",,,,,,,
1098,109800,1081,HENDERSON STATE UNIVERSITY,AR,Public 4 year,"1,415","4,741,397",,,,,,,
1099,109900,1082,HENDRIX COLLEGE,AR,Private 4 Year,229,"780,676",,,,,,,
30071,3007100,4545,HOT SPRINGS BEAUTY COLLEGE,AR,Proprietary,61,"185,313",,,,,,,
31249,3124900,4802,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,AR,Proprietary,81,"230,703",,,,,,,
1100,110000,1083,JOHN BROWN UNIVERSITY,AR,Private 4 Year,461,"1,376,976",,,,,,,
16498,2330800,4199,JRMC SCHOOL OF NURSING,AR,Private 2 Year,48,"119,247",,,,,,,
16925,2525800,4342,LEES SCHOOL OF COSMETOLOGY,AR,Proprietary,28,"85,339",,,,,,,
35194,3519400,5502,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,Proprietary,21,"59,755",,,,,,,
1088,108800,1074,LYON COLLEGE,AR,Private 4 Year,149,"474,154",,,,,,,
32543,3254300,4891,MARGARET'S HAIR ACADEMY,AR,Proprietary,59,"190,292",,,,,,,
16123,2287400,4112,MARSHA KAY BEAUTY COLLEGE,AR,Proprietary,27,"81,330",,,,,,,
10741,1074100,3378,MELLIE'S BEAUTY COLLEGE,AR,Proprietary,94,"283,853",,,,,,,
15862,2348200,4240,MID-SOUTH COMMUNITY COLLEGE,AR,Public 2 year,"1,214","2,707,334",,,,,,,
12105,1210500,3508,NATIONAL PARK COMMUNITY COLLEGE,AR,Public 2 year,"1,812","5,156,016",,,,,,,
16053,2284200,4103,NEW TYLER BARBER COLLEGE,AR,Proprietary,77,"242,316",,,,,,,
12261,1226100,3519,NORTH ARKANSAS COLLEGE,AR,Public 2 year,"1,335","3,996,175",,,,,,,
30633,3063300,4630,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 year,"2,165","5,404,945",,,,,,,
14044,2073700,3691,NORTHWEST TECHNICAL INSTITUTE,AR,Public 2 year,119,"237,280",,,,,,,
1102,110200,1085,OUACHITA BAPTIST UNIVERSITY,AR,Private 4 Year,314,"1,052,412",,,,,,,
9976,997600,3275,OUACHITA TECHNICAL COLLEGE,AR,Public 2 year,557,"1,525,310",,,,,,,
13217,2087000,3713,OZARKA COLLEGE,AR,Public 2 year,952,"2,920,944",,,,,,,
8070,792100,5256,PAUL MITCHELL THE SCHOOL ARKANSAS,AR,Proprietary,58,"116,135",,,,,,,
1103,110300,0014,PHILANDER SMITH COLLEGE,AR,Private 4 Year,457,"1,599,485",,,,,,,
1104,110400,1086,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 year,"1,019","2,934,586",,,,,,,
15585,2202400,3941,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,Proprietary,29,"97,415",,,,,,,
14167,2075300,3698,PULASKI TECHNICAL COLLEGE,AR,Public 2 year,"5,893","16,826,107",,,,,,,
12435,2111100,3753,RICH MOUNTAIN COMMUNITY COLLEGE,AR,Public 2 year,435,"1,207,733",,,,,,,
17262,2569600,4437,SEARCY BEAUTY COLLEGE,AR,Proprietary,57,"152,138",,,,,,,
13858,2074600,3695,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,Public 2 year,900,"2,659,435",,,,,,,
14893,570700,2773,SOUTHEAST ARKANSAS COLLEGE,AR,Public 2 year,"1,303","3,680,141",,,,,,,
1107,110700,1087,SOUTHERN ARKANSAS UNIVERSITY,AR,Public 4 year,"1,369","4,716,341",,,,,,,
7738,773800,2997,SOUTHERN ARKANSAS UNIVERSITY TECHNICAL,AR,Public 2 year,489,"1,487,180",,,,,,,
1108,110800,1088,UNIVERSITY OF ARKANSAS,AR,Public 4 year,"3,098","9,770,041",,,,,,,
1110,111000,1090,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,Public 4 year,"3,012","8,686,367",,,,,,,
1101,110100,1084,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,Public 4 year,"3,646","10,676,809",,,,,,,
1085,108500,1071,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,Public 4 year,"1,916","5,936,053",,,,,,,
1086,108600,1072,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,Public 4 year,"2,438","8,688,906",,,,,,,
14042,2073500,3689,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,Public 2 year,"1,032","3,004,659",,,,,,,
5732,573200,2774,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,Public 2 year,891,"2,573,086",,,,,,,
5245,524500,2608,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,Public 2 year,"1,160","3,171,129",,,,,,,
1109,110900,1089,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,Public 4 year,292,"967,858",,,,,,,
1092,109200,0013,UNIVERSITY OF CENTRAL ARKANSAS,AR,Public 4 year,"3,526","11,373,365",,,,,,,
1094,109400,1078,UNIVERSITY OF THE OZARKS,AR,Private 4 Year,206,"700,869",,,,,,,
32143,3214300,4874,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,Proprietary,20,"67,629",,,,,,,
1106,110600,0015,WILLIAMS BAPTIST COLLEGE,AR,Private 4 Year,270,"865,613",,,,,,,
10010,1001000,5393,AMERICAN SAMOA COMMUNITY COLLEGE,AS,Public 2 year,"1,596","4,929,007",,,,,,,
15550,2199900,3934,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,Private 4 Year,78,"276,429",,,,,,,
16405,2317800,4178,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,Proprietary,749,"1,555,139",,,,,,,
15988,2263100,0753,ANTHEM COLLEGE,AZ,Proprietary,"2,916","7,741,288",,,,,,,
14550,2100600,0684,APOLLO COLLEGE,AZ,Proprietary,"4,954","13,971,738",,,,,,,
8864,886400,0558,ARIZONA ACADEMY OF BEAUTY,AZ,Proprietary,45,"117,902",,,,,,,
11802,1180200,0635,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,Proprietary,73,"208,830",,,,,,,
10847,1084700,3389,ARIZONA AUTOMOTIVE INSTITUTE,AZ,Proprietary,"1,151","3,159,490",,,,,,,
31150,3115000,4775,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,Proprietary,460,"1,041,866",,,,,,,
41209,4120900,5910,ARIZONA CULINARY INSTITUTE,AZ,Proprietary,74,"206,183",,,,,,,
36955,3695500,6285,ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,AZ,Proprietary,1,"3,670",,,,,,,
1081,108100,0011,ARIZONA STATE UNIVERSITY,AZ,Public 4 year,"13,453","42,373,119",,,,,,,
1071,107100,1062,ARIZONA WESTERN COLLEGE,AZ,Public 2 year,"4,219","11,161,964",,,,,,,
16730,2491500,0823,ART CENTER DESIGN COLLEGE (THE),AZ,Proprietary,367,"1,073,725",,,,,,,
40513,4051300,5834,ART INSTITUTE OF PHOENIX (THE),AZ,Proprietary,758,"2,077,709",,,,,,,
37405,3740500,5452,ART INSTITUTE OF TUCSON (THE),AZ,Proprietary,169,"429,195",,,,,,,
15681,2218800,0736,BROOKLINE COLLEGE,AZ,Proprietary,"2,385","6,866,070",,,,,,,
9451,945100,0574,BROWN MACKIE COLLEGE,AZ,Proprietary,"2,576","6,806,874",,,,,,,
30764,3076400,0967,BRYMAN SCHOOL OF ARIZONA (THE),AZ,Proprietary,"4,017","10,150,577",,,,,,,
30978,3097800,4710,CARSTEN AVEDA INSTITUTE,AZ,Proprietary,119,"319,059",,,,,,,
7283,728300,2910,CENTRAL ARIZONA COLLEGE,AZ,Public 2 year,"1,973","5,072,965",,,,,,,
30722,3072200,0964,CHANDLER-GILBERT COMMUNITY COLLEGE,AZ,Public 2 year,"1,449","3,428,779",,,,,,,
16098,2280500,4097,CHARLES OF ITALY BEAUTY COLLEGE,AZ,Proprietary,89,"283,737",,,,,,,
1072,107200,1063,COCHISE COLLEGE,AZ,Public 2 year,"1,692","4,492,588",,,,,,,
31004,3100400,4719,COCONINO COUNTY COMTY COLLEGE-FLAGSTAFF LONE TREE CAMPUS ,AZ,Public 2 year,920,"2,176,866",,,,,,,
31203,3120300,4788,COLLEGE AMERICA - FLAGSTAFF,AZ,Proprietary,491,"1,500,911",,,,,,,
15333,2174900,3880,COLLINS COLLEGE,AZ,Proprietary,899,"2,754,620",,,,,,,
30344,3034400,0942,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,Proprietary,340,"948,859",,,,,,,
26238,2623800,4530,CORTIVA INSTITUTE - SCOTTSDALE,AZ,Proprietary,96,"174,246",,,,,,,
25827,2582700,0872,CORTIVA INSTITUTE - TUCSON,AZ,Proprietary,129,"263,018",,,,,,,
8246,824600,3060,DINE COLLEGE,AZ,Public 4 year,"1,129","3,470,964",,,,,,,
10858,1085800,3391,EARL'S ACADEMY OF BEAUTY,AZ,Proprietary,255,"660,553",,,,,,,
35723,3572300,5060,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,Public 2 year,26,"67,724",,,,,,,
1073,107300,1064,EASTERN ARIZONA COLLEGE,AZ,Public 2 year,"1,052","2,894,241",,,,,,,
31563,3156300,4842,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 year,"2,054","4,618,224",,,,,,,
16203,2295000,0769,EVEREST COLLEGE,AZ,Proprietary,"5,870","13,975,832",,,,,,,
8303,830300,3067,GATEWAY COMMUNITY COLLEGE,AZ,Public 2 year,"1,882","3,907,269",,,,,,,
1076,107600,1066,GLENDALE COMMUNITY COLLEGE,AZ,Public 2 year,"4,243","10,095,265",,,,,,,
1074,107400,1065,GRAND CANYON UNIVERSITY,AZ,Proprietary,"8,857","19,014,349",,,,,,,
34453,3445300,4995,HDS TRUCK DRIVING INSTITUTE,AZ,Proprietary,97,"331,932",,,,,,,
14283,1218400,0648,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,Proprietary,138,"387,818",,,,,,,
33473,3347300,4937,INTERNATIONAL BAPTIST COLLEGE,AZ,Private 4 Year,32,"99,322",,,,,,,
13884,2071200,5154,KAPLAN COLLEGE,AZ,Proprietary,557,"1,604,064",,,,,,,
5186,2521500,4333,LAMSON COLLEGE,AZ,Proprietary,557,"1,585,966",,,,,,,
15491,2192300,3921,MARICOPA BEAUTY COLLEGE,AZ,Proprietary,58,"183,939",,,,,,,
1077,107700,1067,MESA COMMUNITY COLLEGE,AZ,Public 2 year,"5,344","13,101,917",,,,,,,
41388,4138800,6319,MODERN TECHNIQUES BEAUTY COLLEGE,AZ,Proprietary,14,"45,105",,,,,,,
11864,1186400,3483,MOHAVE COMMUNITY COLLEGE,AZ,Public 2 year,"3,367","7,556,686",,,,,,,
1082,108200,0012,NORTHERN ARIZONA UNIVERSITY,AZ,Public 4 year,"5,041","15,826,699",,,,,,,
11862,1186200,3482,NORTHLAND PIONEER COLLEGE,AZ,Public 2 year,965,"2,209,158",,,,,,,
26236,2623600,0912,PARADISE VALLEY COMMUNITY COLLEGE,AZ,Public 2 year,"1,584","3,772,352",,,,,,,
1078,107800,1068,PHOENIX COLLEGE,AZ,Public 2 year,"3,124","6,706,975",,,,,,,
7266,726600,0512,PIMA COUNTY COMMUNITY COLLEGE,AZ,Public 2 year,"7,883","18,946,796",,,,,,,
15666,2217100,3966,PIMA MEDICAL INSTITUTE,AZ,Proprietary,"5,771","17,508,241",,,,,,,
13659,2065300,3669,PRESCOTT COLLEGE,AZ,Private 4 Year,341,"994,538",,,,,,,
14483,2177500,3887,RIO SALADO COMMUNITY COLLEGE,AZ,Public 2 year,"4,114","7,893,530",,,,,,,
14740,2113800,3758,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,Proprietary,10,"27,069",,,,,,,
30050,3005000,4542,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,Proprietary,54,"194,202",,,,,,,
8304,830400,3068,SCOTTSDALE COMMUNITY COLLEGE,AZ,Public 2 year,"1,413","3,330,138",,,,,,,
26167,2616700,4518,SCOTTSDALE CULINARY INSTITUTE,AZ,Proprietary,984,"3,255,106",,,,,,,
15001,2146600,3821,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 year,"1,683","3,963,065",,,,,,,
35933,3593300,5357,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,Proprietary,196,"533,999",,,,,,,
7113,711300,2893,SOUTHWESTERN COLLEGE,AZ,Private 4 Year,139,"423,622",,,,,,,
41529,4152900,6463,STUDIO ACADEMY OF BEAUTY (THE),AZ,Proprietary,6,"13,921",,,,,,,
14127,1168900,3462,THE REFRIGERATION SCHOOL,AZ,Proprietary,438,"1,330,245",,,,,,,
37844,3784400,5518,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,Public 2 year,74,"173,087",,,,,,,
25619,2561900,0862,TONI AND GUY HAIRDRESSING ACADEMY,AZ,Proprietary,142,"430,519",,,,,,,
14212,446700,2507,TUCSON COLLEGE,AZ,Proprietary,612,"1,749,570",,,,,,,
40593,4059300,5825,TUCSON COLLEGE OF BEAUTY,AZ,Proprietary,61,"170,885",,,,,,,
38143,3814300,5591,TURNING POINT BEAUTY COLLEGE,AZ,Proprietary,47,"128,560",,,,,,,
8221,822100,3057,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary,"4,998","15,063,371",,,,,,,
14518,2100500,3733,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary,"5,098","15,426,256",,,,,,,
17188,2559000,4415,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,Proprietary,401,"1,270,127",,,,,,,
1083,108300,1070,UNIVERSITY OF ARIZONA (THE),AZ,Public 4 year,"6,839","22,835,957",,,,,,,
14593,2098800,3726,UNIVERSITY OF PHOENIX,AZ,Proprietary,"243,314","655,691,247",,,,,,,
14970,2171500,3872,WESTERN INTERNATIONAL UNIVERSITY,AZ,Proprietary,635,"1,449,561",,,,,,,
1079,107900,1069,YAVAPAI COLLEGE,AZ,Public 2 year,"1,725","4,038,682",,,,,,,
31505,3150500,0997,A - TECHNICAL COLLEGE,CA,Proprietary,82,"277,244",,,,,,,
7531,753100,0526,ACADEMY OF ART UNIVERSITY,CA,Proprietary,"3,874","9,524,217",,,,,,,
41093,4109300,5869,ACADEMY OF BARBERING ARTS (THE),CA,Proprietary,155,"459,365",,,,,,,
41324,4132400,6274,ACADEMY OF ESTHETICS AND COSMETOLOGY,CA,Proprietary,10,"39,889",,,,,,,
23424,2342400,4230,ACADEMY OF RADIO & TV BROADCASTING,CA,Proprietary,107,"262,590",,,,,,,
33274,3327400,5763,"ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY",CA,Private 4 Year,5,"15,106",,,,,,,
30199,3019900,0929,ADELANTE CAREER INSTITUTE,CA,Proprietary,110,"298,854",,,,,,,
16897,2520400,4330,ADRIANS BEAUTY COLLEGE OF TURLOCK,CA,Proprietary,193,"625,984",,,,,,,
37363,3736300,5458,ADVANCE BEAUTY COLLEGE,CA,Proprietary,317,"925,762",,,,,,,
37863,3786300,5546,ADVANCED COLLEGE,CA,Proprietary,239,"703,397",,,,,,,
35324,3532400,5735,ADVANCED TRAINING ASSOCIATES,CA,Proprietary,38,"123,312",,,,,,,
14046,2258600,4050,ALAMEDA BEAUTY COLLEGE,CA,Proprietary,143,"356,344",,,,,,,
