OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
2296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,MONTGOMERY,AL,Proprietary 2 Year,98,"440,945"
569200,REID STATE TECHNICAL COLLEGE,EVERGREEN,AL,Public 2 Year,690,"3,067,752"
2605500,REMINGTON COLLEGE - MOBILE CAMPUS,MOBILE,AL,Proprietary 4 Year,"4,565","18,506,209"
103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,Private 4 Year,510,"2,013,531"
4067300,SELMA UNIVERSITY,SELMA,AL,Private 4 Year,597,"2,784,284"
569100,SHELTON STATE COMMUNITY CLG,TUSCALOOSA,AL,Public 2 Year,"3,694","13,050,880"
103800,SNEAD STATE COMMUNITY COLLEGE,BOAZ,AL,Public 2 Year,"1,620","6,245,363"
2270400,SOUTHEASTERN BIBLE COLLEGE,BIRIMINGHAM,AL,Private 4 Year,111,"401,064"
3459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY,MIDFIELD,AL,Private 2 Year,155,"697,855"
104000,SOUTHERN UNION STATE COMMUNITY CLG,WADLEY,AL,Public 2 Year,"2,577","10,335,322"
104100,SPRING HILL COLLEGE,MOBILE,AL,Private 4 Year,524,"2,156,071"
104400,STILLMAN COLLEGE,TUSCALOOSA,AL,Private 4 Year,836,"4,285,925"
104600,TALLADEGA COLLEGE,TALLADEGA,AL,Private 4 Year,597,"2,977,347"
104700,TROY UNIVERSITY,TROY,AL,Public 4 Year,"12,121","45,343,084"
105000,TUSKEGEE UNIVERSITY,TUSKEGEE,AL,Private 4 Year,"1,593","7,492,750"
2170600,UNITED STATES SPORTS ACADEMY,DAPHNE,AL,Private 4 Year,99,"287,343"
105100,UNIVERSITY OF ALABAMA (THE),TUSCALOOSA,AL,Public 4 Year,"5,904","24,818,325"
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Public 4 Year,"4,097","18,029,994"
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,Public 4 Year,"2,048","8,561,260"
102900,UNIVERSITY OF MOBILE,MOBILE,AL,Private 4 Year,807,"3,152,162"
100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,Public 4 Year,"1,059","4,807,937"
101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,Public 4 Year,"2,402","10,332,977"
105700,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,Public 4 Year,"4,520","18,546,725"
102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,Public 4 Year,"1,369","6,457,433"
3010600,VIRGINIA COLLEGE,BIRMINGHAM,AL,Proprietary 4 Year,"23,870","95,191,979"
