OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
1162600,PRACTICAL SCHOOLS,ANAHEIM,CA,Proprietary 4 Year,"2,028","11,583,422"
4150500,"PREFERRED COLLEGE OF NURSING, LOS ANGELE",LOS ANGELES,CA,Proprietary 2 Year,150,"829,345"
3125800,PREMIERE CAREER COLLEGE,IRWINDALE,CA,Proprietary 2 Year,480,"2,175,337"
3479300,PROFESSIONAL CAREER INSTITUTE,CERRITOS,CA,Proprietary 2 Year,122,"441,839"
3367300,PROFESSIONAL GOLFERS CAREER COLLEGE,TEMECULA,CA,Proprietary 2 Year,230,"1,029,769"
1298400,PROFESSIONAL INSTITUTE OF BEAUTY,EL MONTE,CA,Proprietary 2 Year,206,"873,490"
4023400,PROTEUS,VISALIA,CA,Private 2 Year,10,"35,581"
4153900,PROVIDENCE CHRISTIAN COLLEGE,PASADENA,CA,Private 4 Year,27,"102,250"
4177200,REAL BARBERS COLLEGE (THE),ANAHEIM,CA,Proprietary 2 Year,67,"275,721"
130800,REEDLEY COLLEGE,REEDLEY,CA,Public 2 Year,"5,673","19,281,001"
126900,RIO HONDO COLLEGE,WHITTIER,CA,Public 2 Year,"5,802","18,442,496"
127000,RIVERSIDE CITY COLLEGE,RIVERSIDE,CA,Public 2 Year,"13,658","44,279,214"
1294200,ROSEMEAD BEAUTY SCHOOL,ROSEMEAD,CA,Proprietary 2 Year,394,"1,887,493"
3054100,ROYALE COLLEGE OF BEAUTY,TEMECULA,CA,Proprietary 2 Year,97,"394,037"
4150300,RWM FIBER OPTICS,CARSON,CA,Proprietary 2 Year,33,"135,679"
4162800,S.I.C.E PAUL MITCHELL PARTNER SCHOOL,MODESTO,CA,Proprietary 2 Year,202,"843,211"
123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,Public 2 Year,"8,880","26,970,098"
891800,SADDLEBACK COLLEGE,MISSION VIEJO,CA,Public 2 Year,"2,371","8,498,774"
3069500,SAGE COLLEGE,MORENO VALLEY,CA,Proprietary 2 Year,403,"1,275,009"
130200,SAINT MARY'S COLLEGE OF CALIFORNIA,MORAGA,CA,Private 4 Year,983,"3,904,943"
4185200,SALINAS BEAUTY COLLEGE,SALINAS,CA,Proprietary 2 Year,17,"61,391"
720300,SALON SUCCESS ACADEMY,UPLAND,CA,Proprietary 2 Year,171,"706,106"
1309500,SALON SUCCESS ACADEMY,CORONA,CA,Proprietary 2 Year,359,"1,548,288"
2211000,SALON SUCCESS ACADEMY,SAN BERNARDINO,CA,Proprietary 2 Year,64,"310,471"
701200,SAMUEL MERRITT COLLEGE,OAKLAND,CA,Private 4 Year,155,"585,787"
127200,SAN BERNARDINO VALLEY COLLEGE,SAN BERNARDINO,CA,Public 2 Year,"5,385","17,001,102"
1203100,SAN DIEGO CHRISTIAN COLLEGE,EL CAJON,CA,Private 4 Year,302,"1,051,196"
127300,SAN DIEGO CITY COLLEGE,SAN DIEGO,CA,Public 2 Year,"7,321","25,022,530"
2241600,SAN DIEGO CONTINUING EDUCATION,SAN DIEGO,CA,Public 2 Year,206,"654,456"
4145000,SAN DIEGO CULINARY INSTITUTE,SAN DIEGO,CA,Proprietary 2 Year,76,"210,759"
127500,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,Public 2 Year,"4,507","15,716,696"
1182000,SAN DIEGO MIRAMAR COLLEGE,SAN DIEGO,CA,Public 2 Year,"2,293","7,812,912"
115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,Public 4 Year,"10,833","48,096,431"
394800,SAN FRANCISCO ART INSTITUTE,SAN FRANCISCO,CA,Private 4 Year,138,"575,246"
127800,SAN FRANCISCO CONSERVATORY OF MUSIC,SAN FRANCISCO,CA,Private 4 Year,58,"228,123"
4141300,SAN FRANCISCO INSTITUTE OF ESTHETICS,SAN FRANCISCO,CA,Proprietary 2 Year,107,"480,661"
115400,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,Public 4 Year,"10,610","43,109,719"
128000,SAN JOAQUIN DELTA COLLEGE,STOCKTON,CA,Public 2 Year,"8,988","32,615,270"
2120700,SAN JOAQUIN VALLEY COLLEGE,VISALIA,CA,Proprietary 2 Year,"8,397","42,747,945"
128200,SAN JOSE CITY COLLEGE,SAN JOSE,CA,Public 2 Year,"2,752","9,263,796"
115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,Public 4 Year,"9,160","37,198,187"
4173400,SANTA ANA BEAUTY ACADEMY,SANTA ANA,CA,Proprietary 2 Year,23,"108,484"
128400,SANTA ANA COLLEGE,SANTA ANA,CA,Public 2 Year,"3,801","13,041,707"
998900,SANTA BARBARA BUSINESS COLLEGE,SANTA BARBARA,CA,Proprietary 2 Year,588,"2,506,237"
2577900,SANTA BARBARA BUSINESS COLLEGE,BAKERSFIELD,CA,Proprietary 4 Year,"1,295","6,202,882"
2578000,SANTA BARBARA BUSINESS COLLEGE,SANTA MARIA,CA,Proprietary 4 Year,447,"1,999,351"
128500,SANTA BARBARA CITY COLLEGE,SANTA BARBARA,CA,Public 2 Year,"4,605","14,823,336"
132600,SANTA CLARA UNIVERSITY,SANTA CLARA,CA,Private 4 Year,776,"3,285,167"
128600,SANTA MONICA COLLEGE,SANTA MONICA,CA,Public 2 Year,"7,444","25,966,781"
128700,SANTA ROSA JUNIOR COLLEGE,SANTA ROSA,CA,Public 2 Year,"4,392","15,243,465"
3695700,SANTIAGO CANYON COLLEGE,ORANGE,CA,Public 2 Year,"1,466","4,842,130"
117400,SCRIPPS COLLEGE,CLAREMONT,CA,Private 4 Year,127,"524,923"
2359300,SHASTA BIBLE COLLEGE,REDDING,CA,Private 4 Year,43,"177,788"
128900,SHASTA COLLEGE,REDDING,CA,Public 2 Year,"3,869","12,751,135"
4161700,SHASTA SCHOOL OF COSMETOLOGY,REDDING,CA,Proprietary 2 Year,64,"324,972"
129000,SIERRA COLLEGE,ROCKLIN,CA,Public 2 Year,"6,545","22,394,696"
2064300,SIERRA COLLEGE OF BEAUTY,MERCED,CA,Proprietary 2 Year,129,"565,651"
2188400,SIERRA VALLEY COLLEGE OF COURT REPORTING,FRESNO,CA,Proprietary 2 Year,161,"627,374"
129100,SIMPSON UNIVERSITY,REDDING,CA,Private 4 Year,678,"2,649,847"
950900,SKILLS & BUSINESS EDUCATION CENTER,SACRAMENTO,CA,Public 2 Year,617,"2,438,021"
771300,SKYLINE COLLEGE,SAN BRUNO,CA,Public 2 Year,"2,181","7,683,425"
122900,SO CA UNIV  HEALTH SCIENCES,WHITTIER,CA,Private 4 Year,15,"36,634"
3814400,SOKA UNIVERSITY OF AMERICA,ALISO VIEJO,CA,Private 4 Year,118,"526,926"
129200,SOLANO COMMUNITY COLLEGE,FAIRFIELD,CA,Public 2 Year,"3,283","10,545,910"
115600,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,Public 4 Year,"2,312","9,243,733"
2597300,SOUTH BAYLO UNIVERSITY,ANAHEIM,CA,Private 4 Year,55,"219,537"
2277400,SOUTH COAST COLLEGE,ORANGE,CA,Proprietary 2 Year,314,"1,438,381"
3332300,SOUTHERN CA BIBLE CLG & SEMINARY,EL CAJON,CA,Private 4 Year,42,"181,630"
2075800,SOUTHERN CA INST OF ARCHITECTURE,LOS ANGELES,CA,Private 4 Year,143,"654,583"
3113600,SOUTHERN CALIFORNIA INST OF TECHNOL,ANAHEIM,CA,Proprietary 4 Year,838,"3,858,159"
4172000,SOUTHERN CALIFORNIA UNIVERSITY SOMA,LOS ANGELES,CA,Proprietary 4 Year,2,"4,589"
129400,SOUTHWESTERN COLLEGE,CHULA VISTA,CA,Public 2 Year,"5,586","21,414,510"
3359300,ST. FRANCIS CAREER COLLEGE,LYNWOOD,CA,Private 2 Year,172,"652,209"
3889300,STANBRIDGE COLLEGE,IRVINE,CA,Proprietary 4 Year,495,"1,758,003"
130500,STANFORD UNIVERSITY,STANFORD,CA,Private 4 Year,"1,230","5,140,625"
3108100,SUMMIT CAREER COLLEGE,COLTON,CA,Proprietary 2 Year,"1,592","7,208,415"
130900,TAFT COLLEGE,TAFT,CA,Public 2 Year,968,"3,424,373"
4057300,TECHSKILLS OF CALIFORNIA,SACRAMENTO,CA,Proprietary 2 Year,412,"1,271,730"
2236400,"THANH LE COLG, SCH OF COSMETOLOGY",GARDEN GROVE,CA,Proprietary 2 Year,84,"328,673"
2518400,THE NATIONAL HISPANIC UNIVERSITY,SAN JOSE,CA,Proprietary 4 Year,393,"1,438,809"
2358000,THOMAS AQUINAS COLLEGE,SANTA PAULA,CA,Private 4 Year,111,"445,727"
4004300,THUY PRINCESS BEAUTY COLLEGE,POMONA,CA,Proprietary 2 Year,110,"490,609"
4142500,TOURO COLLEGE LOS ANGELES,WEST HOLLYWOOD,CA,Private 4 Year,36,"160,630"
4142600,TOURO UNIVERSITY,VALLEJO,CA,Private 4 Year,38,"192,703"
4169200,TRAMY BEAUTY SCHOOL,SAN DIEGO,CA,Proprietary 2 Year,156,"584,363"
2497300,TRINITY COLLEGE,VISALIA,CA,Proprietary 2 Year,788,"3,290,574"
3403300,TRINITY LIFE BIBLE COLLEGE,SACRAMENTO,CA,Private 4 Year,293,"1,082,333"
4160100,TRINITY VOCATIONAL CENTER,GARDENA,CA,Proprietary 2 Year,102,"353,892"
4127900,TUI UNIVERSITY,CYPRESS,CA,Proprietary 4 Year,885,"3,247,010"
1231700,TULARE BEAUTY COLLEGE,TULARE,CA,Proprietary 2 Year,72,"289,058"
4176200,TWIN RIVERS ADULT SCHOOL,NORTH HIGHLANDS,CA,Public 2 Year,144,"430,929"
3113300,UEI COLLEGE,FRESNO,CA,Proprietary 2 Year,723,"2,726,075"
3614300,UNITED BEAUTY COLLEGE,SOUTH EL MONTE,CA,Proprietary 2 Year,105,"443,572"
2559300,UNITED EDUCATION INSTITUTE,LOS ANGELES,CA,Proprietary 2 Year,"15,663","59,465,441"
4169700,UNITEK COLLEGE,FREMONT,CA,Proprietary 2 Year,276,"1,134,340"
1244600,UNIVERSAL COLLEGE OF BEAUTY,LOS ANGELES,CA,Proprietary 2 Year,100,"444,795"
131500,UNIVERSITY OF CALIFORNIA (UCLA),LOS ANGELES,CA,Public 4 Year,"10,165","49,900,126"
4127100,"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,CA,Public 4 Year,"2,390","11,647,791"
131200,UNIVERSITY OF CALIFORNIA-BERKELEY,BERKELEY,CA,Public 4 Year,"9,742","45,375,156"
131300,UNIVERSITY OF CALIFORNIA-DAVIS,DAVIS,CA,Public 4 Year,"10,335","49,098,552"
131400,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,Public 4 Year,"8,322","39,792,703"
131600,UNIVERSITY OF CALIFORNIA-RIVERSIDE,RIVERSIDE,CA,Public 4 Year,"10,353","51,895,899"
131700,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,Public 4 Year,"11,071","53,479,126"
132000,UNIVERSITY OF CALIFORNIA-SANTA BARB,SANTA BARBARA,CA,Public 4 Year,"7,069","33,961,345"
132100,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,SANTA CRUZ,CA,Public 4 Year,"6,048","27,263,749"
3995300,UNIVERSITY OF EAST-WEST MEDICINE,SUNNYVALE,CA,Proprietary 4 Year,10,"71,194"
121600,UNIVERSITY OF LA VERNE,LA VERNE,CA,Private 4 Year,"2,152","7,409,697"
132200,UNIVERSITY OF REDLANDS,REDLANDS,CA,Private 4 Year,"1,039","3,717,841"
1039500,UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,Private 4 Year,958,"3,643,306"
132500,UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,Private 4 Year,"1,750","6,990,898"
132800,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,Private 4 Year,"3,945","16,570,936"
132900,UNIVERSITY OF THE PACIFIC,STOCKTON,CA,Private 4 Year,"1,599","6,981,855"
3696300,UNIVERSITY OF THE WEST,ROSEMEAD,CA,Private 4 Year,12,"49,049"
3441400,VALLEY CAREER COLLEGE,EL CAJON,CA,Proprietary 2 Year,397,"1,430,401"
4114500,VALLEY COLLEGE OF MEDICAL CAREERS,WEST HILLS,CA,Proprietary 2 Year,191,"841,280"
129300,VANGUARD UNIVERSITY OF SOUTHERN CA,COSTA MESA,CA,Private 4 Year,773,"2,928,109"
3084700,VENTURA ADULT\CONTINUING EDUCATION,VENTURA,CA,Public 2 Year,186,"617,107"
133400,VENTURA COLLEGE,VENTURA,CA,Public 2 Year,"3,663","12,970,696"
2128200,"VICTOR VALLEY BEAUTY COLLEGE, INC",VICTORVILLE,CA,Proprietary 2 Year,179,"821,349"
133500,VICTOR VALLEY COLLEGE,VICTORVILLE,CA,Public 2 Year,"6,066","21,129,318"
4116000,VIDEO SYMPHONY ENTERTRAINING,BURBANK,CA,Proprietary 2 Year,144,"744,844"
3010611,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI,CARLSBAD,CA,Proprietary 4 Year,1,"5,550"
3150500,VIRGINIA SEWING MACHINES & SCH CTR,LOS ANGELES,CA,Proprietary 2 Year,95,"391,053"
3639300,WEST COAST ULTRASOUND INSTITUTE,BEVERLY HILLS,CA,Proprietary 2 Year,820,"3,654,537"
3698300,WEST COAST UNIVERSITY,LOS ANGELES,CA,Proprietary 4 Year,"1,479","7,551,176"
4111300,WEST HILLS COLLEGE LEMOORE,LEMOORE,CA,Public 2 Year,"2,100","6,488,790"
117600,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,Public 2 Year,"1,333","4,946,345"
859600,WEST LOS ANGELES COLLEGE,CULVER CITY,CA,Public 2 Year,"3,979","13,879,220"
133800,WEST VALLEY COLLEGE,SARATOGA,CA,Public 2 Year,"2,052","6,907,939"
3062300,WESTECH COLLEGE,ONTARIO,CA,Proprietary 2 Year,950,"3,363,473"
722900,WESTERN BEAUTY INSTITUTE,PANORAMA CITY,CA,Proprietary 2 Year,993,"4,008,976"
134100,WESTMONT COLLEGE,SANTA BARBARA,CA,Private 4 Year,285,"1,136,633"
3072700,WESTWOOD COLLEGE - LOS ANGELES,LOS ANGELES,CA,Proprietary 4 Year,"7,648","36,947,490"
134200,WHITTIER COLLEGE,WHITTIER,CA,Private 4 Year,534,"2,315,592"
128100,WILLIAM JESSUP UNIVERSITY,ROCKLIN,CA,Private 4 Year,326,"1,325,791"
134300,WOODBURY UNIVERSITY,BURBANK,CA,Private 4 Year,723,"3,233,393"
4143800,WOODLAND COMMUNITY COLLEGE,WOODLAND,CA,Public 2 Year,"1,180","3,873,161"
3868300,WORLD MISSION UNIVERSITY,LOS ANGELES,CA,Private 4 Year,52,"189,548"
719000,WYOTECH,FREMONT,CA,Proprietary 2 Year,"1,858","7,465,464"
1287300,WYOTECH,LONG BEACH,CA,Proprietary 2 Year,"3,938","14,228,986"
2262400,YESHIVA OHR ELCHONON CHABAD,LOS ANGELES,CA,Private 4 Year,88,"460,350"
134400,YUBA COLLEGE,MARYSVILLE,CA,Public 2 Year,"4,047","13,275,376"
4140400,ACADEMY OF MEDICAL & HEALTH SCIENCE,PUEBLO,CO,Proprietary 2 Year,6,"28,957"
4093300,ACADEMY OF NATURAL THERAPY,GREELEY,CO,Proprietary 2 Year,75,"253,968"
134500,ADAMS STATE COLLEGE,ALAMOSA,CO,Public 4 Year,"1,720","7,192,274"
758200,AIMS COMMUNITY COLLEGE,GREELEY,CO,Public 2 Year,"2,374","8,378,682"
4127700,AMERICAN SENTINEL UNIVERSITY,AURORA,CO,Proprietary 4 Year,93,"259,898"
134600,ARAPAHOE COMMUNITY COLLEGE,LITTLETON,CO,Public 2 Year,"3,362","10,176,285"
2078900,ART INSTITUTE OF COLORADO (THE),DENVER,CO,Proprietary 4 Year,"1,442","4,979,265"
4080300,ASPEN UNIVERSITY,DENVER,CO,Proprietary 4 Year,19,"62,249"
4167100,AVEDA INSTITUTE DENVER,DENVER,CO,Proprietary 2 Year,185,"994,844"
1267000,BEL-REA INST OF ANIMAL TECH,DENVER,CO,Proprietary 2 Year,548,"2,339,511"
3013100,BOULDER COLLEGE OF MASSAGE THERAPY,BOULDER,CO,Private 2 Year,72,"253,037"
2594300,COLLEGE AMERICA - DENVER,DENVER,CO,Proprietary 4 Year,"2,450","13,268,753"
4185000,COLORADO ACADEMY OF VETERINARY TECHNOLOG,COLORADO SPRINGS,CO,Proprietary 2 Year,5,"12,904"
940100,COLORADO CHRISTIAN UNIVERSITY,LAKEWOOD,CO,Private 4 Year,"1,102","3,809,162"
134700,COLORADO COLLEGE,COLORADO SPRINGS,CO,Private 4 Year,220,"922,806"
3289300,COLORADO HEIGHTS UNIVERSITY,DENVER,CO,Private 4 Year,143,"567,543"
450600,COLORADO MOUNTAIN COLLEGE,GLENWOOD SPRINGS,CO,Public 4 Year,"1,041","3,696,981"
135900,COLORADO NORTHWESTERN COMMUNITY COLLEGE,RANGELY,CO,Public 2 Year,340,"1,291,953"
3584400,COLORADO SCHOOL OF HEALING ARTS,LAKEWOOD,CO,Proprietary 2 Year,156,"523,553"
134800,COLORADO SCHOOL OF MINES,GOLDEN,CO,Public 4 Year,769,"3,184,909"
1157200,COLORADO SCHOOL OF TRADES,LAKEWOOD,CO,Proprietary 2 Year,114,"470,918"
135000,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,Public 4 Year,"5,496","22,449,463"
136500,COLORADO STATE UNIVERSITY-PUEBLO,PUEBLO,CO,Public 4 Year,"3,239","13,091,016"
1014800,COLORADO TECHNICAL UNIVERSITY,COLORADO SPRINGS,CO,Proprietary 4 Year,"32,490","114,630,000"
2276900,COMMUNITY COLLEGE OF AURORA,AURORA,CO,Public 2 Year,"3,513","10,384,434"
954200,COMMUNITY COLLEGE OF DENVER,DENVER,CO,Public 2 Year,"7,472","24,322,307"
887100,CONCORDE CAREER INSTITUTE,DENVER,CO,Proprietary 2 Year,"1,031","4,260,698"
3776300,CULINARY SCHOOL OF THE ROCKIES,BOULDER,CO,Proprietary 2 Year,28,"104,156"
3972300,CUTTIN' UP BEAUTY ACADEMY,DENVER,CO,Proprietary 2 Year,26,"81,329"
2156200,DELTA - MONTROSE TECHNICAL COLLEGE,DELTA,CO,Public 2 Year,100,"305,956"
2188700,DENVER ACAD OF COURT REPORTING,WESTMINSTER,CO,Proprietary 2 Year,114,"434,574"
4148300,DENVER SCHOOL OF NURSING,DENVER,CO,Proprietary 4 Year,201,"779,588"
559600,EMILY GRIFFITH OPPORTUNITY SCH,DENVER,CO,Public 2 Year,484,"1,616,457"
2072200,EMPIRE BEAUTY SCHOOL -ARVADA,DENVER,CO,Proprietary 2 Year,96,"382,886"
2160600,EMPIRE BEAUTY SCHOOL -THORNTON,THORNTON,CO,Proprietary 2 Year,180,"712,592"
1070900,EMPIRE BEAUTY SCHOOL-LAKEWOOD,LAKEWOOD,CO,Proprietary 2 Year,138,"567,212"
2141100,EMPIRE BEAUTY SCHOOL-LITTLETON,WESTMINSTER,CO,Proprietary 2 Year,245,"1,051,639"
450300,EVEREST COLLEGE,COLORADO SPRINGS,CO,Proprietary 2 Year,"2,242","8,525,343"
450700,EVEREST COLLEGE,THORNTON,CO,Proprietary 2 Year,"2,389","8,414,958"
135300,FORT LEWIS COLLEGE,DURANGO,CO,Public 4 Year,"1,357","5,683,906"
793300,FRONT RANGE COMMUNITY COLLEGE,WESTMINSTER,CO,Public 2 Year,"8,551","26,607,785"
2267500,GLENWOOD BEAUTY ACADEMY,GLENWOOD SPRINGS,CO,Proprietary 2 Year,64,"256,631"
2518500,HAIR DYNAMICS EDUCATION CENTER,FORT COLLINS,CO,Proprietary 2 Year,154,"650,142"
2611000,HERITAGE COLLEGE,DENVER,CO,Proprietary 2 Year,"2,256","8,717,120"
3006300,INST OF BUSINESS & MEDICAL CAREERS,FORT COLLINS,CO,Proprietary 2 Year,"1,244","5,466,786"
2253700,INTELLITEC COLLEGE,COLORADO SPRINGS,CO,Proprietary 2 Year,650,"3,357,773"
3066900,INTELLITEC COLLEGE,GRAND JUNCTION,CO,Proprietary 2 Year,929,"4,417,549"
863500,INTELLITEC MEDICAL INSTITUTE,COLORADO SPRINGS,CO,Proprietary 2 Year,558,"2,710,688"
1285000,INTERNATIONAL SALON AND SPA ACADEMY,COLORADO SPRINGS,CO,Proprietary 2 Year,243,"897,261"
732912,ITT TECHNICAL INSTITUTE,THORNTON,CO,Proprietary 4 Year,"2,283","10,438,975"
3534300,JONES INTERNATIONAL UNIVERSITY,CENTENNIAL,CO,Proprietary 4 Year,"2,624","7,571,111"
2167600,KAPLAN COLLEGE,THORNTON,CO,Proprietary 2 Year,240,"932,592"
135500,LAMAR COMMUNITY COLLEGE,LAMAR,CO,Public 2 Year,447,"1,740,593"
754700,LINCOLN COLLEGE OF TECHNOLOGY,DENVER,CO,Proprietary 2 Year,"1,072","4,916,547"
3976300,MASSAGE THERAPY INSTITUTE OF COLORADO,DENVER,CO,Proprietary 2 Year,34,"120,369"
135800,MESA STATE COLLEGE,GRAND JUNCTION,CO,Public 4 Year,"3,679","13,334,020"
136000,METROPOLITAN STATE CLG OF DENVER,DENVER,CO,Public 4 Year,"10,257","37,033,571"
4125100,MONTESSORI CASA INTERNATIONAL,GREENWOOD VILLAGE,CO,Private 2 Year,3,"12,480"
3306300,MONTESSORI EDUC CRT OF THE ROCKIES,BOULDER,CO,Private 2 Year,7,"36,100"
998100,MORGAN COMMUNITY COLLEGE,FORT MORGAN,CO,Public 2 Year,833,"2,780,604"
2117500,NAROPA UNIVERSITY,BOULDER,CO,Private 4 Year,243,"935,524"
4139300,NATIONAL BEAUTY COLLEGE,DENVER,CO,Proprietary 2 Year,103,"665,297"
1300700,NAZARENE BIBLE COLLEGE,COLORADO SPRINGS,CO,Private 4 Year,411,"1,247,768"
136100,NORTHEASTERN JUNIOR COLLEGE,STERLING,CO,Public 2 Year,818,"3,049,769"
136200,OTERO JUNIOR COLLEGE,LA JUNTA,CO,Public 2 Year,"1,009","3,625,458"
4170200,PAUL MITCHELL THE SCHOOL COLORADO SPRING,COLORADO SPRINGS,CO,Proprietary 2 Year,181,"835,929"
1287500,PICKENS TECHNICAL COLLEGE,AURORA,CO,Public 2 Year,369,"1,144,877"
889600,PIKES PEAK COMMUNITY COLLEGE,COLORADO SPRINGS,CO,Public 2 Year,"8,017","25,933,600"
4177100,PIMA MEDICAL INSTITUTE-SOUTH DENVER,DENVER,CO,Proprietary 2 Year,2,"10,074"
3014900,PLATT COLLEGE,AURORA,CO,Proprietary 4 Year,107,"581,120"
2116300,PUEBLO COMMUNITY COLLEGE,PUEBLO,CO,Public 2 Year,"4,910","16,953,828"
954300,RED ROCKS COMMUNITY COLLEGE,LAKEWOOD,CO,Public 2 Year,"3,717","11,755,305"
729700,REDSTONE COLLEGE,BROOMFIELD,CO,Proprietary 2 Year,814,"4,203,894"
136300,REGIS UNIVERSITY,DENVER,CO,Private 4 Year,"1,626","5,627,806"
3012100,REMINGTON COLLEGE - COLORADO SPRINGS CAM,LAKEWOOD,CO,Proprietary 4 Year,189,"711,143"
764900,ROCKY MOUNTAIN COLG OF ART & DESIGN,DENVER,CO,Proprietary 4 Year,295,"1,245,122"
4172500,ROLF INSTITUTE OF STRUCTURAL INTEGRATION,BOULDER,CO,Private 2 Year,7,"13,048"
2165200,SALON PROFESSIONAL ACADEMY (THE),GRAND JUNCTION,CO,Proprietary 2 Year,71,"366,912"
4173800,SALON PROFESSIONAL ACADEMY (THE),COLORADO SPRINGS,CO,Proprietary 2 Year,70,"318,796"
1073200,SAN JUAN BASIN TECHNICAL COLLEGE,MANCOS,CO,Public 2 Year,1,775
4151100,SUMMIT SALON & BEAUTY SCHOOL,WOODLAND PARK,CO,Proprietary 2 Year,18,"113,775"
3670300,TONI & GUY HAIRDRESSING ACADEMY,COLORADO SPRINGS,CO,Proprietary 2 Year,149,"770,103"
136800,TRINIDAD STATE JR COLLEGE,TRINIDAD,CO,Public 2 Year,"1,245","4,759,871"
4179700,UNITED BEAUTY COLLEGE,DENVER,CO,Proprietary 2 Year,11,"21,245"
450900,UNIV OF COLORADO AT COLO SPRINGS,COLORADO SPRINGS,CO,Public 4 Year,"2,574","10,300,140"
450800,UNIVERSITY OF COLORADO DENVER,DENVER,CO,Public 4 Year,"3,717","14,731,932"
137000,UNIVERSITY OF COLORADO-BOULDER,BOULDER,CO,Public 4 Year,"4,866","20,022,923"
137100,UNIVERSITY OF DENVER,DENVER,CO,Private 4 Year,"1,121","4,206,223"
134900,UNIVERSITY OF NORTHERN COLORADO,GREELEY,CO,Public 4 Year,"3,234","13,256,021"
137200,WESTERN STATE COLLEGE,GUNNISON,CO,Public 4 Year,628,"2,422,198"
754800,WESTWOOD COLLEGE - DENVER NORTH,DENVER,CO,Proprietary 4 Year,"4,164","24,018,318"
3027400,XENON INTERNATIONAL ACADEMY III,AURORA,CO,Proprietary 2 Year,117,"496,734"
4104300,ACADEMY DI CAPELLI - SCHOOL OF COSMETOLO,WALLINGFORD,CT,Proprietary 2 Year,46,"204,698"
982200,ALBERT I PRINCE TECHNICAL HIGH SCHOOL,HARTFORD,CT,Public 2 Year,29,"96,645"
3927300,ALBERT SCHOOL (THE),NIANTIC,CT,Proprietary 2 Year,266,"878,761"
137400,ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,Private 4 Year,751,"2,874,649"
2106600,AMERICAN INSTITUTE,WEST HARTFORD,CT,Proprietary 4 Year,"1,108","3,555,842"
1115000,ASNUNTUCK COMMUNITY COLLEGE,ENFIELD,CT,Public 2 Year,687,"2,192,621"
4128800,BRANFORD ACADEMY OF HAIR & COSMETOLOGY,BRANFORD,CT,Proprietary 2 Year,52,"196,290"
2074000,BRANFORD HALL CAREER INSTITUTE,BRANFORD,CT,Proprietary 2 Year,"4,383","14,941,868"
618100,BRIDGEPORT HOSP SCHL OF NURSING,BRIDGEPORT,CT,Private 2 Year,53,"141,157"
887400,BRIO ACADEMY OF COSMETOLOGY,MERIDEN,CT,Proprietary 2 Year,518,"1,858,521"
1041700,BRIO ACADEMY OF EAST HARTFORD,EAST HARTFORD,CT,Proprietary 2 Year,191,"607,054"
1149600,BULLARD HAVENS VOC TECH SCHOOL,BRIDGEPORT,CT,Public 2 Year,13,"20,048"
2115100,BUTLER BUSINESS SCHOOL,BRIDGEPORT,CT,Proprietary 2 Year,282,"985,291"
763500,CAPITAL COMMUNITY COLLEGE,HARTFORD,CT,Public 2 Year,"3,006","9,124,741"
137800,CENTRAL CONNECTICUT STATE UNIV,NEW BRITAIN,CT,Public 4 Year,"3,180","11,700,879"
3234300,CHARTER OAK STATE COLLEGE,NEW BRITAIN,CT,Public 4 Year,516,"1,532,784"
137900,CONNECTICUT COLLEGE,NEW LONDON,CT,Private 4 Year,232,"936,415"
2316600,CONNECTICUT CTR FOR MASSAGE THERAPY,NEWINGTON,CT,Proprietary 2 Year,402,"730,455"
2148700,CONNECTICUT INST OF HAIR DESIGN,WOLCOTT,CT,Proprietary 2 Year,54,"204,179"
3381300,CONNECTICUT TRAINING CENTER,EAST HARTFORD,CT,Private 2 Year,164,"485,523"
927700,E C GOODWIN TECHNICAL HIGH SCHOOL,NEW BRITAIN,CT,Public 2 Year,13,"44,300"
142500,EASTERN CONNECTICUT STATE UNIV,WILLIMANTIC,CT,Public 4 Year,"1,375","5,166,225"
730000,ELI WHITNEY TECHNICAL HIGH SCHOOL,HAMDEN,CT,Public 2 Year,22,"60,770"
4148400,EUROPEAN ACADEMY OF COSMETOLOGY AND HAIR,GUILFORD,CT,Proprietary 2 Year,14,"58,375"
138500,FAIRFIELD UNIVERSITY,FAIRFIELD,CT,Private 4 Year,626,"2,505,700"
