PELLID,OPEID,Name,City,State,Type & Control,Recips,Awards
31272,3127200,ASKINS VO-TECH,FORT SMITH,AR,Proprietary,12,"14,310"
31052,3105200,BAPTIST HEALTH SCHOOLS LITTLE ROCK,LITTLE ROCK,AR,Private 2 Year,329,"699,201"
14554,2260400,BEE JAY'S HAIRSTYLING ACADEMY,LITTLE ROCK,AR,Proprietary,36,"90,348"
11948,2052200,BLACK RIVER TECHNICAL COLLEGE,POCAHONTAS,AR,Public 2 Year,"1,180","3,104,424"
32123,3212300,BLYTHEVILLE ACADEMY OF COSMETOLOGY,BLYTHEVILLE,AR,Proprietary,16,"50,390"
16596,2341700,CAREER ACADEMY OF HAIR DESIGN,SPRINGDALE,AR,Proprietary,53,"144,255"
1093,109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private 4 Year,215,"603,911"
12432,2220900,COSSATOT COMMUNITY COLLEGE,DE QUEEN,AR,Public 2 Year,659,"1,758,083"
39123,3912300,CROSSETT SCHOOL OF COSMETOLOGY,CROSSETT,AR,Proprietary,29,"69,744"
1095,109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private 2 Year,75,"209,541"
13583,704400,CROWLEYS RIDGE TECHNICAL INSTITUTE,FORREST CITY,AR,Public 2 Year,212,"526,520"
12260,1226000,EAST ARKANSAS COMMUNITY COLLEGE,FORREST CITY,AR,Public 2 Year,784,"2,158,419"
16041,2272400,EASTERN COLLEGE OF HEALTH VOCATIONS,LITTLE ROCK,AR,Proprietary,609,"1,319,547"
38553,3855300,ECCLESIA COLLEGE,SPRINGDALE,AR,Private 4 Year,39,"106,665"
8070,792100,FAYETTEVILLE BEAUTY COLLEGE,FAYETTEVILLE,AR,Proprietary,59,"146,838"
1097,109700,HARDING UNIVERSITY,SEARCY,AR,Private 4 Year,"1,103","3,211,373"
1098,109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public 4 Year,"1,514","4,403,694"
1099,109900,HENDRIX COLLEGE,CONWAY,AR,Private 4 Year,217,"662,893"
30071,3007100,HOT SPRINGS BEAUTY COLLEGE,HOT SPRINGS,AR,Proprietary,62,"175,537"
31249,3124900,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,NORTH LITTLE ROCK,AR,Proprietary,18,"47,413"
16498,2330800,JEFFERSON SCHOOL OF NURSING,PINE BLUFF,AR,Private 2 Year,57,"106,487"
1100,110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private 4 Year,429,"1,030,564"
16925,2525800,LEE'S SCHOOL OF COSMETOLOGY,NORTH LITTLE ROCK,AR,Proprietary,31,"72,663"
35194,3519400,LYNNDALE FUNDAMENTALS OF BEAUTY SCH,EL DORADO,AR,Proprietary,15,"47,262"
1088,108800,LYON COLLEGE,BATESVILLE,AR,Private 4 Year,180,"520,329"
32543,3254300,MARGARET'S HAIR ACADEMY,MORRILTON,AR,Proprietary,45,"127,148"
16123,2287400,MARSHA KAY BEAUTY COLLEGE,MOUNTAIN HOME,AR,Proprietary,16,"54,434"
10741,1074100,MELLIE'S BEAUTY COLLEGE,FORT SMITH,AR,Proprietary,81,"179,105"
15862,2348200,MID-SOUTH COMMUNITY COLLEGE,WEST MEMPHIS,AR,Public 2 Year,937,"1,834,979"
12105,1210500,NATIONAL PARK COMMUNITY COLLEGE,HOT SPRINGS,AR,Public 2 Year,"1,506","3,710,965"
16053,2284200,NEW TYLER BARBER COLLEGE INC,NORTH LITTLE ROCK,AR,Proprietary,95,"270,426"
12261,1226100,NORTH ARKANSAS COLLEGE,HARRISON,AR,Public 2 Year,"1,172","3,104,066"
30633,3063300,NORTHWEST ARKANSAS COMMUNITY COLLEG,BENTONVILLE,AR,Public 2 Year,"1,689","3,759,440"
14044,2073700,NORTHWEST TECHNICAL INSTITUTE,SPRINGDALE,AR,Public 2 Year,129,"222,724"
1102,110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private 4 Year,325,"969,525"
9976,997600,OUACHITA TECHNICAL COLLEGE,MALVERN,AR,Public 2 Year,514,"1,345,842"
13217,2087000,OZARKA COLLEGE,MELBOURNE,AR,Public 2 Year,834,"2,404,988"
1103,110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private 4 Year,445,"1,429,030"
1104,110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public 2 Year,"1,030","2,763,538"
15585,2202400,PROFESSIONAL COSMETOLOGY EDUC CTR,EL DORADO,AR,Proprietary,33,"78,039"
14167,2075300,PULASKI TECHNICAL COLLEGE,NORTH LITTLE ROCK,AR,Public 2 Year,"5,788","15,288,696"
12435,2111100,RICH MOUNTAIN COMMUNITY COLLEGE,MENA,AR,Public 2 Year,415,"1,040,664"
17262,2569600,SEARCY BEAUTY COLLEGE,SEARCY,AR,Proprietary,58,"139,279"
14893,570700,SEARK COLLEGE,PINE BLUFF,AR,Public 2 Year,"1,242","3,195,379"
13858,2074600,SOUTH ARKANSAS COMMUNITY COLLEGE,EL DORADO,AR,Public 2 Year,775,"1,964,759"
1107,110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public 4 Year,"1,417","4,210,397"
7738,773800,SOUTHERN ARKANSAS UNIVERSITY TECH,CAMDEN,AR,Public 2 Year,360,"1,031,566"
16595,2339800,SOUTHERN INSTITUTE OF COSMETOLOGY,WEST MEMPHIS,AR,Proprietary,81,"211,860"
5245,524500,U OF A COMM COLLEGE AT MORRILTON,MORRILTON,AR,Public 2 Year,"1,011","2,408,233"
5732,573200,UNIV AR COMMUNITY COLLEGE AT HOPE,HOPE,AR,Public 2 Year,789,"2,124,323"
1108,110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public 4 Year,"3,061","8,615,154"
1101,110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public 4 Year,"3,750","9,973,438"
1085,108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public 4 Year,"1,862","5,195,068"
14042,2073500,UNIV OF AR CMNTY CLG-BATESVILLE,BATESVILLE,AR,Public 2 Year,966,"2,528,753"
1086,108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public 4 Year,"2,195","7,047,986"
1109,110900,UNIV OF ARKANSAS FOR MEDCL SCIENCES,LITTLE ROCK,AR,Public 4 Year,300,"870,079"
1110,111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public 4 Year,"2,771","7,220,579"
1092,109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public 4 Year,"3,488","10,074,172"
1094,109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private 4 Year,172,"524,737"
32143,3214300,VELVATEX COLLEGE OF BEAUTY CULTURE,LITTLE ROCK,AR,Proprietary,27,"59,320"
1106,110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private 4 Year,263,"734,578"
10010,1001000,AMERICAN SAMOA CMNTY COLLEGE,PAGO PAGO,AS,Public 2 Year,"1,490","4,169,480"
15550,2199900,AMERICAN INDIAN CLG-ASSEMBLIES GOD,PHOENIX,AZ,Private 4 Year,53,"162,135"
16405,2317800,AMERICAN INSTITUTE OF TECHNOLOGY,PHOENIX,AZ,Proprietary,487,"918,971"
15988,2263100,ANTHEM COLLEGE,PHOENIX,AZ,Proprietary,"5,398","14,765,598"
14550,2100600,APOLLO COLLEGE,PHOENIX,AZ,Proprietary,"3,826","10,377,526"
8864,886400,ARIZONA ACADEMY OF BEAUTY,TUCSON,AZ,Proprietary,50,"145,043"
11802,1180200,ARIZONA ACADEMY OF BEAUTY-NORTH,TUCSON,AZ,Proprietary,47,"117,901"
10847,1084700,ARIZONA AUTOMOTIVE INSTITUTE,GLENDALE,AZ,Proprietary,823,"2,049,587"
31150,3115000,ARIZONA COLLEGE OF ALLIED HEALTH,GLENDALE,AZ,Proprietary,322,"753,634"
41209,4120900,ARIZONA CULINARY INSTITUTE,SCOTTSDALE,AZ,Proprietary,47,"96,586"
1081,108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public 4 Year,"11,508","32,299,159"
1071,107100,ARIZONA WESTERN COLLEGE,YUMA,AZ,Public 2 Year,"3,698","8,995,437"
40513,4051300,ART INSTITUTE OF PHOENIX (THE),PHOENIX,AZ,Proprietary,626,"1,605,442"
37405,3740500,ART INSTITUTE OF TUCSON (THE),TUCSON,AZ,Proprietary,86,"207,375"
12937,1293700,ARTISTIC BEAUTY COLLEGES - PARADISE VALL,SCOTTSDALE,AZ,Proprietary,50,"127,790"
11808,1180800,ARTISTIC BEAUTY COLLEGES-FLAGSTAFF,FLAGSTAFF,AZ,Proprietary,297,"690,828"
15694,2220300,ARTISTIC BEAUTY COLLEGES-GLENDALE,PHOENIX,AZ,Proprietary,188,"421,961"
12343,1234300,ARTISTIC BEAUTY COLLEGES-PHOENIX,GLENDALE,AZ,Proprietary,221,"516,416"
8865,886500,ARTISTIC BEAUTY COLLEGES-TUCSON,TUCSON,AZ,Proprietary,322,"762,650"
9451,945100,BROWN MACKIE COLLEGE,TUCSON,AZ,Proprietary,444,"979,934"
30764,3076400,BRYMAN SCHOOL OF ARIZONA,PHOENIX,AZ,Proprietary,"3,917","9,675,907"
30978,3097800,CARSTEN INSTITUTE OF HAIR & BEAUTY,TEMPE,AZ,Proprietary,102,"260,371"
7283,728300,CENTRAL ARIZONA COLLEGE,COOLIDGE,AZ,Public 2 Year,"1,357","3,104,718"
30722,3072200,CHANDLER-GILBERT COMMUNITY COLLEGE,CHANDLER,AZ,Public 2 Year,"1,242","2,597,872"
16098,2280500,CHARLES OF ITALY BEAUTY COLLEGE,LAKE HAVASU CITY,AZ,Proprietary,100,"296,510"
1072,107200,COCHISE COLLEGE,DOUGLAS,AZ,Public 2 Year,"1,470","3,640,569"
31004,3100400,COCONINO COUNTY COMMUNITY COLLEGE,FLAGSTAFF,AZ,Public 2 Year,688,"1,563,640"
31203,3120300,COLLEGE AMERICA,FLAGSTAFF,AZ,Proprietary,321,"884,204"
15333,2174900,COLLINS COLLEGE,TEMPE,AZ,Proprietary,"1,112","3,151,470"
30344,3034400,CONSERVATORY RECORDING ARTS & SCIS,TEMPE,AZ,Proprietary,291,"764,405"
26238,2623800,CORTIVA INSTITUTE - SCOTTSDALE,SCOTTSDALE,AZ,Proprietary,63,"118,043"
25827,2582700,CORTIVA INSTITUTE - TUCSON,TUCSON,AZ,Proprietary,70,"121,780"
15324,2173300,DEVOE COLLEGE OF BEAUTY,SIERRA VISTA,AZ,Proprietary,10,"27,621"
8246,824600,DIN? COLLEGE,TSAILE,AZ,Public 2 Year,"1,101","3,075,321"
10858,1085800,EARLS ACADEMY OF BEAUTY,MESA,AZ,Proprietary,142,"343,294"
35723,3572300,EAST VALLEY INSTITUTE OF TECHNOLOGY,MESA,AZ,Public 2 Year,25,"53,479"
1073,107300,EASTERN ARIZONA COLLEGE,THATCHER,AZ,Public 2 Year,847,"2,153,572"
31563,3156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AVONDALE,AZ,Public 2 Year,"1,535","3,300,922"
16203,2295000,EVEREST COLLEGE,PHOENIX,AZ,Proprietary,"3,129","6,588,946"
8303,830300,GATEWAY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"1,787","3,558,920"
1076,107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public 2 Year,"4,027","8,915,506"
1074,107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,Proprietary,"3,464","6,915,219"
34453,3445300,HDS TRUCK DRIVING INSTITUTE,TUCSON,AZ,Proprietary,108,"293,743"
15681,2218800,IIA COLLEGE,PHOENIX,AZ,Proprietary,"1,923","5,763,930"
14283,1218400,INTERNATIONAL ACAD OF HAIR DESIGN,CHANDLER,AZ,Proprietary,121,"269,367"
33473,3347300,INTERNATIONAL BAPTIST COLLEGE,TEMPE,AZ,Private 4 Year,19,"58,970"
13928,2065200,ITT TECHNICAL INSTITUTE,TEMPE,AZ,Proprietary,"1,603","3,835,568"
16776,2361100,ITT TECHNICAL INSTITUTE,TUCSON,AZ,Proprietary,937,"2,251,004"
13884,2071200,KAPLAN COLLEGE,PHOENIX,AZ,Proprietary,396,"1,006,326"
5186,2521500,LAMSON COLLEGE,TEMPE,AZ,Proprietary,590,"1,596,053"
15491,2192300,MARICOPA BEAUTY COLLEGE,AVONDALE,AZ,Proprietary,81,"235,165"
1077,107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public 2 Year,"5,071","11,103,446"
11864,1186400,MOHAVE COMMUNITY COLLEGE,KINGMAN,AZ,Public 2 Year,"2,660","5,812,819"
1082,108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public 4 Year,"4,681","13,298,318"
11862,1186200,NORTHLAND PIONEER COLLEGE,HOLBROOK,AZ,Public 2 Year,800,"1,694,167"
26236,2623600,PARADISE VALLEY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"1,347","2,849,509"
1078,107800,PHOENIX COLLEGE,PHOENIX,AZ,Public 2 Year,"2,619","5,781,150"
7266,726600,PIMA COUNTY COMMUNITY COLLEGE,TUCSON,AZ,Public 2 Year,"6,613","15,265,769"
15666,2217100,PIMA MEDICAL INSTITUTE,TUCSON,AZ,Proprietary,"4,325","11,486,880"
13659,2065300,PRESCOTT COLLEGE,PRESCOTT,AZ,Private 4 Year,318,"820,851"
14127,1168900,REFRIGERATION SCHOOL,PHOENIX,AZ,Proprietary,348,"877,709"
14483,2177500,RIO SALADO COMMUNITY COLLEGE,TEMPE,AZ,Public 2 Year,"3,573","6,388,057"
14740,2113800,ROBERTO-VENN SCH OF LUTHIERY,PHOENIX,AZ,Proprietary,18,"43,231"
30050,3005000,SAFFORD COLLEGE OF BEAUTY CULTURE,SAFFORD,AZ,Proprietary,50,"183,320"
8304,830400,SCOTTSDALE COMMUNITY COLLEGE,SCOTTSDALE,AZ,Public 2 Year,"1,385","3,080,817"
26167,2616700,SCOTTSDALE CULINARY INSTITUTE,SCOTTSDALE,AZ,Proprietary,"1,111","3,097,872"
15001,2146600,SOUTH MOUNTAIN COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"1,354","2,922,519"
35933,3593300,SOUTHWEST INSTITUTE OF HEALING ARTS,TEMPE,AZ,Proprietary,127,"312,731"
7113,711300,SOUTHWESTERN COLLEGE,PHOENIX,AZ,Private 4 Year,114,"307,813"
16730,2491500,THE ART CENTER DESIGN COLLEGE,TUCSON,AZ,Proprietary,348,"1,061,013"
37844,3784400,TOHONO O'ODHAM COMMUNITY COLLEGE,SELLS,AZ,Private 2 Year,59,"148,881"
25619,2561900,TONI AND GUY HAIRDRESSING ACADEMY,SCOTTSDALE,AZ,Proprietary,126,"339,114"
14212,446700,TUCSON COLLEGE,TUCSON,AZ,Proprietary,528,"1,313,749"
40593,4059300,TUCSON COLLEGE OF BEAUTY,TUCSON,AZ,Proprietary,43,"113,905"
38143,3814300,TURNING POINT BEAUTY COLLEGE,CASA GRANDE,AZ,Proprietary,33,"98,559"
8221,822100,UNIVERSAL TECHNICAL INSTITUTE,AVONDALE,AZ,Proprietary,"4,327","11,046,990"
14518,2100500,UNIVERSAL TECHNICAL INSTITUTE,PHOENIX,AZ,Proprietary,"3,880","10,223,611"
17188,2559000,UNIVERSITY OF ADVANCING TECHNOLOGY,TEMPE,AZ,Proprietary,411,"1,146,659"
1083,108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public 4 Year,"6,602","19,446,102"
14593,2098800,UNIVERSITY OF PHOENIX,PHOENIX,AZ,Proprietary,"159,800","394,933,731"
14970,2171500,WESTERN INTERNATIONAL UNIVERSITY,PHOENIX,AZ,Proprietary,"1,346","2,767,326"
1079,107900,YAVAPAI COLLEGE,PRESCOTT,AZ,Public 2 Year,"1,348","2,924,844"
1141,114100,"""CALIF STATE UNIV, DOMINGUEZ HILLS""",CARSON,CA,Public 4 Year,"4,426","12,107,865"
30113,3011300,"""CALIF STATE UNIV, SAN MARCOS""",SAN MARCOS,CA,Public 4 Year,"2,196","6,064,312"
1138,113800,"""CALIFORNIA STATE UNIVERSITY, EAST BAY""",HAYWARD,CA,Public 4 Year,"3,306","9,553,060"
15453,2187500,"""HEALD COLLEGE, SCH OF BUS & TECH""",CONCORD,CA,Proprietary,813,"1,858,495"
7477,747700,"""HEALD COLLEGE,SCHOOLS OF BUS & TECH""",RANCHO CORDOVA,CA,Proprietary,782,"1,617,413"
15180,2304300,"""PLATT COLLEGE, SAN DIEGO""",SAN DIEGO,CA,Proprietary,180,"548,513"
15795,2236400,"""THANH LE COLG, SCH OF COSMETOLOGY""",GARDEN GROVE,CA,Proprietary,72,"195,062"
13637,2128200,"""VICTOR VALLEY BEAUTY COLLEGE, INC""",VICTORVILLE,CA,Proprietary,132,"371,514"
7531,753100,ACADEMY OF ART UNIVERSITY,SAN FRANCISCO,CA,Proprietary,"3,054","7,170,379"
41093,4109300,ACADEMY OF BARBERING ARTS (THE),NORTHRIDGE,CA,Proprietary,91,"276,279"
23424,2342400,ACADEMY OF RADIO BROADCASTING,HUNTINGTON BEACH,CA,Proprietary,69,"171,913"
33274,3327400,ACUPUNCTURE AND INTEGRATIVE MEDICINE COL,BERKELEY,CA,Private 4 Year,4,"12,930"
