PELLID,Institution,City,State,Recipients,Awards
001862,Ellsworth Community College,Iowa Falls,IA,414,"775,423"
016487,Emmaus Bible College,Dubuque,IA,108,"187,130"
007121,Faith Baptist Bible College & Theological Seminary,Ankeny,IA,147,"255,867"
001866,Graceland College,Lamoni,IA,471,"905,931"
001867,GRAND VIEW COLLEGE,Des Moines,IA,378,"691,651"
001868,Grinnell College,Grinnell,IA,167,"313,886"
004595,Hawkeye Community College,Waterloo,IA,"1,610","2,635,809"
008298,Indian Hills Community College,Ottumwa,IA,"1,421","2,442,060"
004597,Iowa Central Community College,Fort Dodge,IA,"1,123","2,091,792"
001864,Iowa Lakes Community College,Estherville,IA,844,"1,508,658"
006267,Iowa Methodist Medical Center Schools,Des Moines,IA,2,"3,481"
001869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,AMES,IA,"4,905","8,931,246"
001871,Iowa Wesleyan College,Mount Pleasant,IA,284,"492,128"
004598,IOWA WESTERN COMMUNITY COLLEGE,Council Bluffs,IA,"1,068","1,812,595"
004076,Kirkwood Community College,Cedar Rapids,IA,"2,887","4,859,162"
001873,Loras College,Dubuque,IA,388,"690,074"
001874,Luther College,Decorah,IA,496,"864,566"
011113,Maharishi University of Management,Fairfield,IA,96,"204,127"
001875,Marshalltown Community College,Marshalltown,IA,427,"732,033"
001876,Marycrest International University,Davenport,IA,147,"307,001"
006273,MERCY COLLEGE OF HEALTH SCIENCES,Des Moines,IA,117,"199,106"
001879,Morningside College,Sioux City,IA,355,"628,639"
001880,Mount Mercy College,Cedar Rapids,IA,314,"539,638"
001881,Mount Saint Clare College,Clinton,IA,212,"412,092"
001877,North Iowa Area Community College,Mason City,IA,819,"1,351,543"
004587,Northeast Iowa Community College,Calmar,IA,"1,283","2,180,364"
001883,Northwestern College,Orange City,IA,448,"805,439"
004600,NW Iowa Community College,Sheldon,IA,271,"439,818"
012300,Palmer College of Chiropractic,Davenport,IA,64,"118,771"
007291,Saint Lukes College of Nursing and Health Sciences,Sioux City,IA,36,"60,104"
001887,Simpson College,Indianola,IA,443,"759,601"
004603,Southeastern Community College,West Burlington,IA,868,"1,508,137"
001857,Southwestern Community College,Creston,IA,569,"1,065,055"
001889,St Ambrose University,Davenport,IA,433,"776,487"
014918,St Lukes Methodist Hospital School of Radiologic Technology,Cedar Rapids,IA,9,"19,041"
001891,University of Dubuque,Dubuque,IA,281,"479,791"
001892,University of Iowa,Iowa City,IA,"3,205","5,545,478"
001890,University of Northern Iowa,Cedar Falls,IA,"2,835","4,917,676"
001893,Upper Iowa University,Fayette,IA,"1,116","1,737,416"
001894,Vennard College,University Park,IA,46,"83,292"
001895,Waldorf College,Forest City,IA,183,"318,090"
001896,Wartburg College,Waverly,IA,411,"767,727"
004590,Western Iowa Tech Community College,Sioux City,IA,"1,341","2,238,756"
001900,William Penn College,Oskaloosa,IA,562,"1,036,220"
001617,Albertson College of Idaho,Caldwell,ID,171,"330,411"
015783,Boise Bible College,Boise,ID,43,"91,448"
001616,Boise State University,Boise,ID,"4,177","7,687,398"
001619,College of Southern Idaho,Twin Falls,ID,"2,076","3,261,760"
011133,Eastern Idaho Technical College,Idaho Falls,ID,250,"485,496"
001620,Idaho State University,Pocatello,ID,"5,219","10,183,519"
001621,Lewis-Clark State College,Lewiston,ID,"1,045","2,114,992"
001623,North Idaho College,Coeur d'Alene,ID,"1,214","2,264,119"
001624,Northwest Nazarene University -,Nampa,ID,311,"558,339"
001625,Ricks College,Rexburg,ID,"3,120","5,825,327"
001626,University of Idaho,Moscow,ID,"2,833","5,761,178"
001633,Augustana College,Rock Island,IL,340,"578,696"
001634,Aurora University,Aurora,IL,323,"616,988"
001635,Barat College,Lake Forest,IL,186,"342,725"
013949,Beck Area Career Center,Red Bud,IL,38,"90,279"
001767,Benedictine University,Lisle,IL,359,"672,093"
001638,Black Hawk College,Moline,IL,"1,835","2,802,289"
001639,Blackburn University,Carlinville,IL,221,"392,062"
006214,Blessing Hospital,Quincy,IL,16,"21,558"
001641,Bradley University,Peoria,IL,740,"1,355,776"
016426,Capital Area Vocational Center,Springfield,IL,102,"182,319"
007265,Carl Sandburg College,Galesburg,IL,946,"1,559,442"
031554,Chicago Manufacturing Institute,Chicago,IL,15,"33,771"
001694,Chicago State University,Chicago,IL,"4,199","8,853,834"
031993,Christian Life College,Mount Prospect,IL,25,"38,272"
001647,City Colleges of Chicago System Office,Chicago,IL,"14,516","24,177,785"
006656,College of Du Page,Glen Ellyn,IL,"1,214","1,764,475"
007694,College of Lake County,Grayslake,IL,"1,086","1,570,424"
001665,Columbia College,Chicago,IL,"2,589","4,781,025"
001666,Concordia University,River Forest,IL,295,"512,307"
001669,Danville Area Community College,Danville,IL,795,"1,238,643"
005190,Decatur Area Technical Academy-School of Practical Nursing,Decatur,IL,26,"50,452"
001671,DePaul University,Chicago,IL,"2,811","5,076,122"
001750,Dominican University,River Forest,IL,259,"478,979"
001674,EASTERN ILLINOIS UNIVERSITY,Charleston,IL,"1,951","3,513,311"
015310,East-West University,Chicago,IL,733,"1,368,391"
004181,EHS Trinity Hospital School of Radiologic Technology,Chicago,IL,11,"29,225"
001675,Elgin Community College,Elgin,IL,739,"1,054,662"
001676,Elmhurst College,Elmhurst,IL,420,"752,862"
001678,Eureka College,Eureka,IL,179,"334,033"
009145,Governors State University,University Park,IL,694,"1,248,232"
008938,Graham Hospital School of Nursing,Canton,IL,17,"34,329"
001684,Greenville College,Greenville,IL,422,"709,449"
030838,Heartland Community College,Bloomington,IL,751,"1,031,667"
001685,Hebrew Theological College,Skokie,IL,44,"93,068"
001659,Herman M Finch University of Health Science Chicago Medical School,North Chicago,IL,2,"3,119"
001681,Highland Community College,Freeport,IL,577,"842,361"
006753,Illinois Central College,East Peoria,IL,"1,465","2,285,846"
001688,Illinois College,Jacksonville,IL,256,"447,052"
016295,ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE,OLNEY,IL,"1,369","2,452,187"
001691,Illinois Institute of Technology,Chicago,IL,393,"662,630"
001692,Illinois State University,Normal,IL,"3,679","6,901,005"
001705,Illinois Valley Community College,Oglesby,IL,571,"913,218"
001696,Illinois Wesleyan University,Bloomington,IL,310,"525,119"
008076,John A. Logan College,Carterville,IL,"1,888","3,330,251"
012813,John Wood Community College,Quincy,IL,945,"1,341,197"
001699,Joliet Junior College,Joliet,IL,"1,004","1,341,453"
001700,Judson College,Elgin,IL,323,"563,956"
007690,Kankakee Community College,Kankakee,IL,685,"975,225"
001701,Kaskaskia College,Centralia,IL,742,"1,265,903"
001703,Kendall College,Evanston,IL,204,"333,072"
007684,Kishwaukee College,Malta,IL,756,"1,207,918"
001704,Knox College,Galesburg,IL,235,"425,906"
001706,LAKE FOREST COLLEGE,Lake Forest,IL,268,"524,363"
007644,Lake Land College,Mattoon,IL,"1,077","1,805,416"
010501,Lakeview College of Nursing,Danville,IL,27,"50,764"
010020,Lewis & Clark Community College,Godfrey,IL,"1,356","1,994,849"
001707,Lewis University,Romeoville,IL,662,"1,270,439"
016942,Lexington College,Chicago,IL,33,"77,397"
001708,Lincoln Christian College and Seminary,Lincoln,IL,266,"503,840"
001709,Lincoln College,Lincoln,IL,397,"693,968"
007170,Lincoln Land Community College,Springfield,IL,"1,041","1,557,838"
001710,Loyola University Chicago,Chicago,IL,"1,728","3,368,637"
001716,MacCormac College,Chicago,IL,374,"650,706"
001717,MacMurray College,Jacksonville,IL,329,"627,439"
007691,McHenry County College,Crystal Lake,IL,471,"649,382"
001722,McKendree College,Lebanon,IL,564,"985,334"
006228,Methodist Hospital of Central Illinois School of Nursing,Peoria,IL,68,"152,554"
001657,Midwestern University,Downers Grove,IL,114,"242,311"
001724,Millikin University,Decatur,IL,640,"1,157,454"
001725,Monmouth College,Monmouth,IL,278,"509,606"
007692,Morain Valley Community College,Palos Hills,IL,"1,350","2,136,945"
008880,Morrison Institute of Technology,Morrison,IL,50,"83,169"
001728,Morton College,Cicero,IL,780,"1,138,257"
016088,Naes College,Chicago,IL,30,"52,623"
001732,National College of Chiropractic (The),Lombard,IL,1,"1,042"
001733,National-Louis University,Evanston,IL,"1,736","3,019,156"
001734,North Central College,Naperville,IL,321,"544,148"
001735,North Park University,Chicago,IL,416,"782,234"
001693,Northeastern Illinois University,Chicago,IL,"3,046","5,957,171"
001737,NORTHERN ILLINOIS UNIVERSITY,DeKalb,IL,"4,101","8,182,704"
001739,Northwestern University,Evanston,IL,917,"1,747,602"
009896,Oakton Community College,Des Plaines,IL,826,"960,184"
001741,Olivet Nazarene University-,Bourbonnais,IL,553,"1,063,653"
007118,Parkland College,Champaign,IL,"1,679","2,916,403"
001640,Prairie State College,Chicago Heights,IL,"1,080","1,587,458"
014271,PROVENA UNITED SAMARITANS MEDICAL CENTER SCHOOL OF RAD. TECH. -,Danville,IL,4,"8,300"
001745,Quincy University,Quincy,IL,340,"629,193"
007119,Rend Lake College,Ina,IL,934,"1,545,051"
010879,Richland Community College,Decatur,IL,780,"1,000,314"
001746,Robert Morris College,Chicago,IL,"3,368","6,413,218"
001747,Rock Valley College,Rockford,IL,895,"1,245,357"
001748,Rockford College,Rockford,IL,333,"627,375"
001749,Roosevelt University,Chicago,IL,"1,178","1,975,775"
009800,Rush University,Chicago,IL,45,"84,604"
009987,Saint Anthony College of Nursing,Rockford,IL,21,"31,168"
006240,Saint Francis Medical Center College of Nursing,Peoria,IL,40,"63,790"
001768,Saint Xavier University,Chicago,IL,822,"1,503,320"
001752,Sauk Valley Community College,Dixon,IL,560,"870,948"
001753,School of the Art Institute of Chicago,Chicago,IL,414,"787,593"
007693,Shawnee Community College,Ullin,IL,752,"1,301,516"
001756,Shimer College,Waukegan,IL,57,"108,942"
001769,South Suburban College,South Holland,IL,"2,097","3,107,309"
001757,Southeastern Illinois College,Harrisburg,IL,742,"1,357,909"
001758,Southern Illinois University at Carbondale,Carbondale,IL,"6,454","12,920,108"
001759,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,Edwardsville,IL,"2,678","5,124,140"
001636,Southwestern Illinois College,Belleville,IL,"2,529","3,978,454"
031285,Spanish Coalition for Jobs,Chicago,IL,59,"63,424"
001643,Spoon River College,Canton,IL,463,"751,681"
001761,Springfield College Illinois,Springfield,IL,172,"300,133"
030980,St Johns College,Springfield,IL,24,"56,451"
015415,St. Augustine College,Chicago,IL,"1,345","2,300,125"
013816,Telshe Yeshiva-Chicago,Chicago,IL,23,"52,326"
001774,The University of Chicago,Chicago,IL,599,"1,210,434"
001771,Trinity Christian College,Palos Heights,IL,161,"284,674"
001772,Trinity International University,Deerfield,IL,514,"954,786"
001773,Triton College,River Grove,IL,"1,658","2,701,688"
001776,University of Illinois at Chicago,Chicago,IL,"5,358","11,007,697"
009333,University of Illinois at Springfield,Springfield,IL,534,"927,182"
001775,University of Illinois at Urbana - Champaign,Champaign,IL,"4,602","9,321,920"
001664,University of Saint Francis,Joliet,IL,299,"493,003"
001778,VanderCook College of Music,Chicago,IL,33,"74,582"
006931,Waubonsee Community College,Sugar Grove,IL,409,"587,175"
001780,WESTERN ILLINOIS UNIVERSITY,Macomb,IL,"2,762","5,158,029"
001781,Wheaton College,Wheaton,IL,402,"715,478"
003961,William Rainey Harper College,Palatine,IL,922,"1,478,821"
010618,  Mid America College of Funeral Service,Jeffersonville,IN,43,"71,524"
001784,Ancilla Domini College,Donaldson,IN,239,"381,252"
001785,Anderson University,Anderson,IN,565,"1,021,418"
001786,Ball State University,Muncie,IN,"3,425","6,251,137"
001787,Bethel College,Mishawaka,IN,469,"779,401"
001788,Butler University,Indianapolis,IN,408,"750,703"
001834,Calumet College of St. Joseph,Whiting,IN,447,"819,081"
001792,Depauw University,Greencastle,IN,291,"539,779"
001793,Earlham College,Richmond,IN,249,"502,282"
013528,Ebberrt Education Center -- Anderson Community School Corporation,Anderson,IN,11,"17,727"
001798,Franklin College of Indiana,Franklin,IN,182,"331,586"
015028,Good Samaritan Hospital School of Radiologic Technology,Vincennes,IN,5,"11,225"
001799,Goshen College,Goshen,IN,219,"368,503"
001800,Grace College Seminary,Winona Lake,IN,225,"405,712"
001801,Hanover College,Hanover,IN,143,"239,754"
007263,Holy Cross College,Notre Dame,IN,124,"235,325"
001803,Huntington College,Huntington,IN,176,"308,742"
001805,Indiana Institute of Technology,Fort Wayne,IN,288,"485,586"
001807,Indiana State University,Terre Haute,IN,"2,444","4,564,362"
001814,INDIANA UNIVERSITY - KOKOMO,Kokomo,IN,502,"789,814"
001815,INDIANA UNIVERSITY - NORTHWEST,Gary,IN,"1,465","2,798,602"
001813,INDIANA UNIVERSITY - PURDUE UNIVERSITY AT INDIANAPOLIS,Indianapolis,IN,"5,418","9,451,900"
001811,INDIANA UNIVERSITY - RICHMOND,Richmond,IN,912,"1,461,752"
001816,INDIANA UNIVERSITY - SOUTH BEND,South Bend,IN,"1,359","2,257,364"
001809,Indiana University Bloomington,Bloomington,IN,"4,417","8,499,665"
001828,INDIANA UNIVERSITY PURDUE UNIVERSITY FT WAYNE,Fort Wayne,IN,"1,834","3,033,952"
001817,INDIANA UNIVERSITY SOUTHEAST,New Albany,IN,"1,219","2,032,841"
001822,Indiana Wesleyan University,Marion,IN,"1,040","1,525,245"
009916,Ivy Tech State College - System Office,Indianapolis,IN,"16,445","25,268,953"
016285,J Everett Light Career Center,Indianapolis,IN,41,"78,724"
001820,Manchester College,North Manchester,IN,284,"491,465"
001821,Marian College,Indianapolis,IN,368,"642,892"
031006,Marion Community Tucker Area Vocational School,Marion,IN,17,"40,573"
014975,Martin University,Indianapolis,IN,362,"635,565"
001824,Oakland City University,Oakland City,IN,353,"726,776"
001825,Purdue University,West Lafayette,IN,"4,904","8,748,150"
001827,PURDUE UNIVERSITY - CALUMET,Hammond,IN,"2,007","3,316,575"
001826,PURDUE UNIVERSITY - NORTH CENTRAL,Westville,IN,851,"1,270,623"
001830,Rose-Hulman Institute of Technology,Terre Haute,IN,226,"389,554"
006257,Saint Elizabeth School of Nursing,Lafayette,IN,44,"82,606"
001833,St Joseph's College,Rensselaer,IN,225,"414,049"
001835,St Mary of the Woods College,Saint Mary of the Woods,IN,443,"601,273"
001836,St Marys College,Notre Dame,IN,183,"315,694"
001838,Taylor University,Upland,IN,430,"756,794"
001839,Tri State University,Angola,IN,347,"572,407"
001795,University of Evansville,Evansville,IN,497,"893,289"
001804,University of Indianapolis,Indianapolis,IN,655,"1,034,294"
001840,University of Notre Dame,Notre Dame,IN,639,"1,264,456"
001832,University of Saint Francis,Fort Wayne,IN,396,"648,852"
001808,University of Southern Indiana,Evansville,IN,"1,843","3,241,794"
001842,Valparaiso University,Valparaiso,IN,454,"839,390"
001843,Vincennes University,Vincennes,IN,"2,037","3,762,282"
001844,Wabash College,Crawfordsville,IN,177,"308,679"
001901,Allen County Community College,Iola,KS,445,"697,210"
001903,Baker University,Baldwin City,KS,323,"534,643"
001917,Barclay College,Haviland,KS,103,"183,613"
004608,Barton County Community College,Great Bend,KS,795,"1,222,552"
010256,Benedictine College,Atchison,KS,271,"531,777"
001904,Bethany College,Lindsborg,KS,203,"370,205"
001905,Bethel College,North Newton,KS,129,"232,154"
001906,Butler County Community College,El Dorado,KS,"1,439","2,131,461"
001908,Central Christian College of Kansas,McPherson,KS,128,"263,825"
001909,Cloud County Community College,Concordia,KS,653,"1,084,467"
001910,Coffeyville Community College,Coffeyville,KS,357,"599,356"
001911,Colby Community College,Colby,KS,467,"803,896"
001902,Cowley County Community Junior College,Arkansas City,KS,757,"1,230,355"
001913,Dodge City Community College,Dodge City,KS,503,"858,076"
001914,Donnelly College,Kansas City,KS,495,"685,647"
001927,Emporia State University,Emporia,KS,"1,331","2,399,395"
005264,Flint Hills Technical College,Emporia,KS,123,"212,774"
001918,Friends University,Wichita,KS,777,"1,137,297"
001915,Ft Hays State University,Hays,KS,"1,536","2,739,953"
001916,Ft Scott Community College,Fort Scott,KS,461,"842,356"
001919,Garden City Community College,Garden City,KS,570,"958,767"
010438,HASKELL INDIAN NATIONS UNIVERSITY,Lawrence,KS,451,"808,299"
001920,Hesston College,Hesston,KS,119,"230,569"
001921,Highland Community College,Highland,KS,451,"756,528"
001923,Hutchinson Community College,Hutchinson,KS,836,"1,319,871"
001924,Independence Community College,Independence,KS,353,"631,807"
008244,Johnson County Community College,Overland Park,KS,"1,627","2,344,346"
013564,Kansas City Kansas Area Vocational Technical School,Kansas City,KS,236,"347,100"
001925,Kansas City Kansas Community College,Kansas City,KS,"1,484","2,294,247"
001928,Kansas State University,Manhattan,KS,"4,413","7,975,851"
001929,Kansas Wesleyan University,Salina,KS,287,"511,619"
010689,Kaw Area Technical School,Topeka,KS,112,"168,449"
001930,Labette Community College,Parsons,KS,316,"559,641"
005500,Manhattan Area Technical College,Manhattan,KS,169,"245,297"
001931,Manhattan Christian College,Manhattan,KS,164,"317,811"
001933,McPherson College,McPherson,KS,213,"394,530"
007032,MidAmerica Nazarene University,Olathe,KS,395,"612,405"
001936,Neosho County Community College,Chanute,KS,297,"482,284"
001939,Newman University,Wichita,KS,369,"652,655"
005265,North Central Kansas Area Technical College -,Beloit,KS,216,"394,067"
014427,Northeast Kansas Area Technical School,Atchison,KS,87,"148,381"
005267,Northwest Kansas Technical School,Goodland,KS,264,"493,968"
001937,Ottawa University,Ottawa,KS,544,"793,360"
001926,Pittsburgh State University,Pittsburgh,KS,"1,708","3,104,385"
001938,Pratt Community College & Area Vocational School,Pratt,KS,291,"471,962"
005499,Salina Area Technical School,Salina,KS,95,"162,375"
008228,Seward County Community College,Liberal,KS,364,"662,172"
013817,Southeast Kansas Area Vocational Technical School,Coffeyville,KS,92,"127,478"
008172,Southwest Kansas Technical School,Liberal,KS,108,"189,734"
001940,Southwestern College,Winfield,KS,277,"529,735"
001943,St Mary College,Leavenworth,KS,159,"250,658"
001945,Sterling College,Sterling,KS,162,"310,609"
001946,Tabor College,Hillsboro,KS,173,"303,009"
001948,University of Kansas,Lawrence,KS,"2,939","5,269,267"
004605,University Of Kansas Medical Center,Kansas City,KS,100,"198,143"
001949,Washburn University - Topeka,Topeka,KS,"1,380","2,388,548"
005498,WICHITA AREA TECHNICAL COLLEGE,Wichita,KS,528,"778,421"
001950,Wichita State University,Wichita,KS,"2,569","4,651,385"
025909,Wright Business School,Overland Park,KS,"1,096","2,118,827"
001951,Alice Lloyd College,Pippa Passes,KY,274,"530,248"
001952,Asbury College,Wilmore,KY,304,"541,212"
001954,Bellarmine College,Louisville,KY,291,"499,375"
001955,Berea College,Berea,KY,"1,190","2,600,314"
001958,BRESCIA UNIVERSITY,Owensboro,KY,199,"414,809"
001959,Campbellsville University,Campbellsville,KY,681,"1,353,992"
005244,Central Kentucky Technical College,Lexington,KY,"4,457","7,541,031"
001961,Centre College of Kentucky,Danville,KY,169,"342,386"
017044,Clear Creek Baptist Bible College,Pineville,KY,142,"336,824"
001962,Cumberland College,Williamsburg,KY,646,"1,346,337"
001963,Eastern Kentucky University,Richmond,KY,"4,846","9,586,587"
001964,Georgetown College,Georgetown,KY,287,"554,103"
001965,Kentucky Christian College,Grayson,KY,199,"414,528"
030021,Kentucky Mountain Bible College,Vancleve,KY,46,"94,870"
001968,Kentucky State University,Frankfort,KY,"1,080","2,418,806"
001969,Kentucky Wesleyan College,Owensboro,KY,237,"478,214"
001972,Lindsey Wilson College,Columbia,KY,787,"1,602,346"
025762,Mid-Continent College,Mayfield,KY,165,"303,395"
001975,Midway College,Midway,KY,294,"506,343"
001976,Morehead State University,Morehead,KY,"3,339","7,013,922"
001977,Murray State University,Murray,KY,"2,216","4,340,937"
009275,Northern Kentucky University,Highland Heights,KY,"2,099","4,046,996"
001980,Pikeville College,Pikeville,KY,462,"1,041,557"
001983,Saint Catharine College,Saint Catharine,KY,227,"423,148"
001960,Spalding University,Louisville,KY,396,"737,189"
002001,Thomas More College,Crestview Hills,KY,209,"350,183"
001987,Transylvania University,Lexington,KY,190,"352,072"
001988,Union College,Barbourville,KY,323,"660,462"
001989,UNIVERSITY OF KENTUCKY,Lexington,KY,"20,314","38,359,353"
001999,University of Louisville,Louisville,KY,"3,303","5,952,206"
002002,WESTERN KENTUCKY UNIVERSITY,Bowling Green,KY,"4,140","7,733,528"
016560,Baton Rouge General Medical Center,Baton Rouge,LA,59,"87,614"
012033,Bossier Parish Community College,Bossier City,LA,"1,115","2,188,149"
002003,Centenary College Of Louisiana,Shreveport,LA,180,"353,610"
004626,Delgado Community College,New Orleans,LA,"6,062","11,044,081"
002004,Dillard University,New Orleans,LA,"1,325","3,004,832"
015130,Elaine P. Nunez Community College,Chalmette,LA,"1,292","2,206,145"
002006,Grambling State University,Grambling,LA,"3,069","7,313,262"
002007,Louisiana College,Pineville,LA,369,"745,248"
002010,Louisiana State University & Agricultural & Mechanical College,Baton Rouge,LA,"5,174","10,516,343"
002012,Louisiana State University at Eunice,Eunice,LA,"1,604","2,949,633"
002014,Louisiana State University Health Sciences Center,New Orleans,LA,241,"481,633"
002013,Louisiana State University in Shreveport,Shreveport,LA,"1,034","1,853,773"
014675,Louisiana Tech College - Lafayette Campus,Lafayette,LA,341,"713,422"
013900,Louisiana Technical College - Acadian Campus,Crowley,LA,145,"258,243"
005489,Louisiana Technical College - Alexandria Campus,Alexandria,LA,203,"378,424"
015047,Louisiana Technical College - Ascension Campus,Sorrento,LA,15,"25,992"
013919,Louisiana Technical College - Avoyelles Campus,Cottonport,LA,132,"227,823"
014911,Louisiana Technical College - Bastrop Campus,Bastrop,LA,104,"223,704"
005488,Louisiana Technical College - Baton Rouge Campus,Baton Rouge,LA,280,"519,130"
014721,Louisiana Technical College - Coreil Campus,Ville Platte,LA,70,"158,365"
005471,LOUISIANA TECHNICAL COLLEGE - DELTA OUACHITA CAMPUS,West Monroe,LA,225,"402,642"
005484,Louisiana Technical College - Evangeline Campus,St Martinville,LA,102,"195,676"
005483,Louisiana Technical College - Florida Parishes Campus,Greensburg,LA,27,"45,970"
005482,Louisiana Technical College - Gulf Area Campus,Abbeville,LA,136,"250,103"
005481,Louisiana Technical College - Hammond Area Campus,Hammond,LA,74,"120,310"
007333,Louisiana Technical College - Jefferson Campus Metairie,Metairie,LA,64,"115,620"
013580,LOUISIANA TECHNICAL COLLEGE - L.E. FLETCHER CAMPUS,Houma,LA,104,"194,140"
015995,Louisiana Technical College - Lamar Salter Campus,Leesville,LA,119,"192,121"
014682,Louisiana Technical College - Morgan Smith Campus,Jennings,LA,102,"191,636"
015234,Louisiana Technical College - Natchitoches Campus,Natchitoches,LA,97,"200,417"
013793,LOUISIANA TECHNICAL COLLEGE - NORTH CENTRAL CAMPUS,Farmerville,LA,95,"173,061"
005475,Louisiana Technical College - Northeast Campus,Winnsboro,LA,92,"182,143"
015072,LOUISIANA TECHNICAL COLLEGE - NORTHWEST LOUISIANA CAMPUS,Minden,LA,231,"494,295"
015187,Louisiana Technical College - Oakdale Campus,Oakdale,LA,60,"123,297"
016532,Louisiana Technical College - River Parishes Campus,Reserve,LA,42,"109,345"
015207,Louisiana Technical College - Ruston Campus,Ruston,LA,76,"108,073"
005470,Louisiana Technical College - Sabine Valley Campus,Many,LA,94,"177,255"
013951,Louisiana Technical College - Shelby M. Jackson Campus,Ferriday,LA,78,"143,683"
016998,Louisiana Technical College - Shreveport Bossier Campus,Shreveport,LA,239,"455,004"
013933,Louisiana Technical College - Sidney N. Collier Campus,New Orleans,LA,180,"316,949"
012413,Louisiana Technical College - Slidell Campus,Slidell,LA,76,"150,089"
005467,Louisiana Technical College - Sowela Campus,Lake Charles,LA,394,"770,510"
006756,Louisiana Technical College - Sullivan Campus,Bogalusa,LA,130,"291,506"
005466,Louisiana Technical College - T. H.  Harris Campus,Opelousas,LA,322,"664,807"
014595,Louisiana Technical College - Tallulah Campus,Tallulah,LA,136,"263,667"
016999,Louisiana Technical College - Teche Area Campus,New Iberia,LA,171,"300,664"
014113,Louisiana Technical College - West Jefferson Campus,Harvey,LA,59,"118,821"
014149,Louisiana Technical College - Young Memorial Campus,Morgan City,LA,153,"304,327"
030091,Louisiana Technical College Lafourche Campus,Thibodaux,LA,71,"114,659"
013952,"Louisiana Technical College, Huey P. Long Campus",Winnfield,LA,97,"181,926"
002008,Louisiana Technical University,Ruston,LA,"2,380","4,814,651"
002011,Lousiana State University at Alexandria,Alexandria,LA,972,"1,640,698"
002016,Loyola University New Orleans,New Orleans,LA,741,"1,493,822"
002017,McNeese State University,Lake Charles,LA,"2,091","4,192,730"
002005,Nicholls State University,Thibodaux,LA,"2,080","3,709,314"
002021,Northwestern State University,Natchitoches,LA,"3,888","7,778,247"
002023,Our Lady Of Holy Cross College,New Orleans,LA,359,"695,863"
031062,Our Lady of the Lake College,Baton Rouge,LA,356,"541,204"
002027,Saint Joseph Seminary College,Saint Benedict,LA,17,"42,013"
002024,Southeastern Louisiana University,Hammond,LA,"5,818","11,717,418"
002025,Southern University and Agricultural & Mechanical Colg at Baton Rouge,Baton Rouge,LA,"4,798","11,583,983"
002026,Southern University at New Orleans,New Orleans,LA,"2,680","6,055,964"
007686,Southern University at Shreveport - Bossier City,Shreveport,LA,919,"1,978,215"
002029,Tulane University,New Orleans,LA,"1,218","2,297,817"
002031,University of Louisiana at Lafayette,Lafayette,LA,"4,758","9,525,543"
002020,University of Louisiana at Monroe,Monroe,LA,"3,820","8,351,220"
002015,University of New Orleans,New Orleans,LA,"4,285","8,683,745"
002032,Xavier University Of Louisana,New Orleans,LA,"1,610","3,625,767"
002114,American International College,Springfield,MA,475,"948,430"
002115,Amherst College,Amherst,MA,200,"437,960"
002117,Anna Maria College,Paxton,MA,157,"272,259"
014133,Assabet Valley Regional Vocational School,Marlborough,MA,20,"45,769"
002118,Assumption College,Worcester,MA,215,"378,608"
002119,Atlantic Union College,South Lancaster,MA,425,"738,542"
002121,Babson College,Babson Park,MA,174,"342,314"
032483,Baptist Bible College East,Boston,MA,23,"33,169"
002122,Bay Path College,Longmeadow,MA,173,"307,358"
002123,Becker College,Worcester,MA,383,"697,482"
002124,Bentley College,Waltham,MA,604,"1,169,049"
002126,Berklee College of Music,Boston,MA,399,"742,407"
002167,Berkshire Community College,Pittsfield,MA,558,"882,647"
005523,Blue Hills Regional Technical School,Canton,MA,18,"40,951"
003966,Boston Architectural Center,Boston,MA,65,"95,524"
002128,Boston College,Boston,MA,"1,077","2,253,867"
002129,Boston Conservatory,Boston,MA,58,"131,957"
002130,Boston University,Boston,MA,"2,083","3,880,340"
002132,Bradford College,Haverhill,MA,206,"439,377"
002133,Brandeis University,Waltham,MA,471,"967,321"
002183,Bridgewater State College,Bridgewater,MA,"1,243","2,142,144"
002176,Bristol Community College,Fall River,MA,"1,632","2,558,923"
013542,Brockton Hospital School of Nursing,Brockton,MA,126,"215,503"
011210,Bunker Hill Community College,Boston,MA,"1,790","3,005,563"
015637,C. H. McCann Technical School,North Adams,MA,15,"34,734"
021829,Cambridge College,Cambridge,MA,123,"144,471"
002168,Cape Cod Community College,West Barnstable,MA,908,"1,330,446"
002139,Clark University,Worcester,MA,466,"866,468"
002140,College of Our Ladys of the Elms,Chicopee,MA,266,"538,623"
002141,College of the Holy Cross,Worcester,MA,223,"451,000"
002143,Curry College,Milton,MA,350,"668,578"
002144,Dean College,Franklin,MA,277,"536,104"
005519,Diman Regional Vocational Technical Institute,Fall River,MA,20,"46,304"
002145,Eastern Nazarene College,Quincy,MA,353,"652,050"
002146,Emerson College,Boston,MA,433,"730,060"
002147,Emmanuel College,Boston,MA,224,"406,385"
002148,Endicott College,Beverly,MA,236,"439,708"
002150,Fisher College,Boston,MA,785,"1,271,230"
002184,Fitchburg State College,Fitchburg,MA,658,"1,195,959"
003967,Forsyth School for Dental Hygienists,Boston,MA,23,"49,800"
002185,Framingham State College,Framingham,MA,549,"969,659"
