PELLID,Institution,State,Recipients,Awards,
8070,Fayetteville Beauty College                                           ,AR,40,"58,004",
5319,Foothills Technical Institute                                         ,AR,164,"351,990",
14004,Forest Echoes Technical Institute                                     ,AR,86,"118,820",
12105,Garland County Community College                                      ,AR,806,"1,491,106",
14043,Great Rivers Vocational Technical School                              ,AR,96,"173,443",
1097,Harding University                                                    ,AR,"1,230","2,736,438",
1098,Henderson State University                                            ,AR,"1,442","3,125,302",
1099,Hendrix College                                                       ,AR,216,"478,898",
30071,Hot Springs Beauty College                                            ,AR,100,"172,388",
16498,Jefferson School Of Nursing                                           ,AR,49,"76,941",
1100,John Brown University                                                 ,AR,359,"624,189",
16925,Lees School Of Cosmetology                                            ,AR,47,"68,278",
16596,Leon'S Hair Training Academy                                          ,AR,61,"99,592",
1088,Lyon College                                                          ,AR,159,"342,582",
32543,Margaret'S Hair Academy                                               ,AR,24,"38,328",
16123,Marsha Kay Beauty College                                             ,AR,21,"39,030",
10741,Mellies Beauty College                                                ,AR,25,"48,999",
15862,Mid-South Community College                                           ,AR,624,"1,157,595",
12860,Mississippi County Community College                                  ,AR,"1,119","2,167,214",
16053,New Tyler Barber College                                              ,AR,112,"208,745",
12261,North Arkansas College                                                ,AR,857,"1,751,974",
30633,Northwest Arkansas Community College                                  ,AR,580,"962,365",
14044,Northwest Technical Institute                                         ,AR,132,"209,005",
1102,Ouachita Baptist University                                           ,AR,383,"832,788",
9976,Ouachita Technical College                                            ,AR,349,"642,958",
13217,Ozarka College                                                        ,AR,405,"831,751",
1103,Philander Smith College                                               ,AR,652,"1,508,303",
1104,Phillips Community College Of The University Of Arkansas              ,AR,966,"1,965,008",
15585,Professional Cosmetology Education Center                             ,AR,71,"142,788",
14167,Pulaski Technical College                                             ,AR,"1,845","3,744,290",
10848,Quapaw Technical Institute                                            ,AR,151,"294,053",
12435,Rich Mountain Community College                                       ,AR,359,"701,520",
17262,Searcy Beauty College                                                 ,AR,83,"172,299",
13858,South Arkansas Community College                                      ,AR,423,"779,235",
14893,Southeast Arkansas College                                            ,AR,837,"1,695,317",
1107,Southern Arkansas University                                          ,AR,"1,293","2,920,668",
7738,Southern Arkansas University Tech                                     ,AR,304,"611,687",
16595,Southern Institute Of Cosmetology                                     ,AR,156,"340,019",
31863,Thelma'S Beauty Academy                                               ,AR,17,"31,757",
1108,University Of Arkansas                                                ,AR,"3,053","6,692,812",
1110,University Of Arkansas At Fort Smith                                  ,AR,"1,328","2,533,546",
1101,University Of Arkansas At Little Rock                                 ,AR,"3,465","7,321,170",
1085,University Of Arkansas At Monticello                                  ,AR,"1,174","2,702,954",
1086,University Of Arkansas At Pine Bluff                                  ,AR,"1,934","4,783,948",
14042,University Of Arkansas Community College At Batesville                ,AR,602,"1,070,232",
5732,University Of Arkansas Community College At Hope                      ,AR,582,"1,158,592",
5245,University Of Arkansas Community College At Morrilton                 ,AR,679,"1,331,018",
1109,University Of Arkansas For Medical Sciences                           ,AR,207,"471,075",
1092,University Of Central Arkansas                                        ,AR,"2,494","5,323,075",
1094,University Of The Ozarks                                              ,AR,212,"457,168",
32143,Velvatex College Of Beauty Culture                                    ,AR,3,"6,600",
1106,Williams Baptist College                                              ,AR,291,"593,455",
10010,American Samoa Community College                                      ,AS,695,"1,411,002",
