PELLID,Institution,State,Recipients,Awards,
1241,Monterey Institute Of International Studies                           ,CA,4,"8,250",
31057,Monterey Park College                                                 ,CA,303,"615,432",
1242,Monterey Peninsula College                                            ,CA,726,"1,288,291",
34273,Moreno Valley Technical Skills Center                                 ,CA,78,"179,618",
13047,Moro Beauty College                                                   ,CA,60,"139,697",
30624,Mount Diablo Adult Education                                          ,CA,59,"133,746",
1243,Mount Saint Mary'S College                                            ,CA,803,"1,809,257",
1245,Mount San Antonio College                                             ,CA,"3,038","5,955,053",
1246,Mt San Jacinto College                                                ,CA,"2,352","3,964,968",
31287,Mt. Sierra College                                                    ,CA,549,"1,090,737",
17062,Mti Business College                                                  ,CA,177,"366,908",
8680,Mti College Of Business And Technology                                ,CA,567,"1,000,294",
15238,Musicians Institute                                                   ,CA,203,"345,266",
34583,My Le'S Beauty College                                                ,CA,35,"54,669",
1247,Napa Valley College                                                   ,CA,562,"1,092,376",
16968,National Hispanic University                                          ,CA,109,"182,308",
17063,National Holistic Institute                                           ,CA,192,"352,785",
12873,National Institute Of Technology                                      ,CA,"1,592","2,789,485",
11460,National University - La Jolla                                        ,CA,"1,782","3,301,205",
30245,Nationwide Beauty College                                             ,CA,60,"86,645",
10831,New College Of California                                             ,CA,133,"249,684",
7130,Newberry Schools Of Beauty                                            ,CA,49,"78,314",
25842,Newbridge College                                                     ,CA,338,"606,096",
30439,Newschool Of Architecture And Design                                  ,CA,42,"79,059",
7187,North Adrian'S Beauty College                                         ,CA,72,"144,296",
12872,North-West College Of Medical And Dental Assistants                   ,CA,250,"538,503",
25916,North-West College Of Medical And Dental Assistants                   ,CA,109,"235,598",
11707,Northwest College Of Medical And Dental Assistants                    ,CA,369,"821,865",
33993,Northwestern Technical College                                        ,CA,157,"299,012",
1249,Occidental College                                                    ,CA,481,"1,195,966",
4481,Ohlone College                                                        ,CA,576,"1,083,665",
1250,Orange Coast College                                                  ,CA,"2,557","5,551,179",
1251,Otis College Of Art And Design                                        ,CA,324,"762,563",
32993,Pacific College                                                       ,CA,139,"248,656",
30277,Pacific College Of Oriental Medicine                                  ,CA,24,"29,879",
1255,Pacific Oaks College                                                  ,CA,102,"130,100",
7931,Pacific Travel Trade School - Main Campus                             ,CA,445,"336,367",
1258,Pacific Union College                                                 ,CA,470,"967,284",
13077,Page Antelope Valley Beauty School                                    ,CA,39,"86,782",
15135,Palmer College Of Chiropractic West                                   ,CA,6,"12,583",
1259,Palo Verde College                                                    ,CA,236,"465,979",
1260,Palomar College                                                       ,CA,"1,071","1,844,660",
17004,Palomar Institute Of Cosmetology                                      ,CA,62,"97,584",
15919,Paramount School Of Beauty                                            ,CA,77,"170,980",
13571,Paris Beauty College                                                  ,CA,57,"126,764",
1261,Pasadena City College                                                 ,CA,"3,919","7,929,718",
4490,Patten College                                                        ,CA,190,"400,555",
1264,Pepperdine University                                                 ,CA,529,"1,096,145",
1172,Pitzer College                                                        ,CA,228,"514,190",
26203,Platt College                                                         ,CA,151,"290,209",
30399,Platt College                                                         ,CA,220,"458,517",
30627,Platt College - Los Angeles                                           ,CA,583,"1,302,585",
15180,"Platt College, San Diego                                              ",CA,271,"528,105",
1262,Point Loma Nazarene University                                        ,CA,539,"1,092,623",
15017,Pomona Adult School                                                   ,CA,124,"151,427",
1173,Pomona College                                                        ,CA,185,"438,050",
16644,Poway Academy Of Hair Design                                          ,CA,105,"149,720",
11626,Practical Schools                                                     ,CA,35,"63,506",
33933,Precision Technical Institute                                         ,CA,29,"60,342",
31258,Premiere Career College                                               ,CA,113,"181,122",
34793,Professional Career Institute                                         ,CA,11,"14,645",
33254,Professional Education & Training Corporation                         ,CA,6,"10,883",
33673,Professional Golfers Career College                                   ,CA,15,"26,250",
12984,Professional Institute Of Beauty                                      ,CA,81,"185,966",
1308,Reedley College                                                       ,CA,"3,695","6,577,023",
13095,Richard'S Beauty College                                              ,CA,19,"40,820",
7203,Richards Beauty Colleges                                              ,CA,13,"27,576",
31433,Right Way Adult Learning Centers (The)                                ,CA,18,"29,737",
1269,Rio Hondo Community College                                           ,CA,"2,896","5,508,394",
1270,Riverside Community College                                           ,CA,"4,605","7,429,082",
12942,Rosemead Beauty School                                                ,CA,244,"528,497",
33303,Ross Business Institute                                               ,CA,3,"3,872",
30541,Royale College Of Beauty                                              ,CA,115,"170,161",
1233,Sacramento City College                                               ,CA,"3,538","6,964,087",
8918,Saddleback College                                                    ,CA,852,"1,565,958",
33593,Saint Francis Career College                                          ,CA,45,"108,856",
1299,Saint John'S Seminary                                                 ,CA,42,"106,081",
1302,Saint Mary'S College Of California                                    ,CA,643,"1,381,689",
26193,Samra University Of Oriental Medicine                                 ,CA,16,"37,497",
7012,Samuel Merritt College                                                ,CA,117,"247,185",
1272,San Bernardino Valley College                                         ,CA,"4,091","7,808,871",
1273,San Diego City College                                                ,CA,"4,101","7,488,344",
15825,San Diego Community College Centers For Education And Technology      ,CA,110,"133,256",
15609,San Diego Golf Academy                                                ,CA,178,"375,872",
1275,San Diego Mesa College                                                ,CA,"2,912","5,728,680",
14172,San Diego Miramar College                                             ,CA,686,"1,280,850",
1151,San Diego State University                                            ,CA,"8,923","19,665,633",
7229,San Fernando Beauty Academy                                           ,CA,348,"756,613",
3948,San Francisco Art Institute                                           ,CA,218,"460,594",
12874,San Francisco Community College System Office                         ,CA,"3,549","7,046,521",
1278,San Francisco Conservatory Of Music                                   ,CA,27,"63,750",
1154,San Francisco State University                                        ,CA,"7,052","16,154,028",
16902,San Joaquin College Of Law                                            ,CA,18,"23,816",
1280,San Joaquin Delta College                                             ,CA,"5,030","9,118,099",
14741,San Joaquin Valley College                                            ,CA,"1,858","4,145,485",
16370,San Joaquin Valley College - Bakersfield                              ,CA,950,"2,178,606",
1281,San Jose Christian College                                            ,CA,111,"185,116",
1282,San Jose City College                                                 ,CA,946,"1,906,471",
1155,San Jose State University                                             ,CA,"6,322","14,376,940",
1284,Santa Ana College                                                     ,CA,"2,272","4,568,860",
9989,Santa Barbara Business College                                        ,CA,826,"1,343,511",
1285,Santa Barbara City College                                            ,CA,"1,447","2,513,665",
31280,Santa Barbara College Of Oriental Medicine                            ,CA,4,"7,419",
1326,Santa Clara University                                                ,CA,581,"1,382,826",
1286,Santa Monica College                                                  ,CA,"3,018","5,765,115",
1287,Santa Rosa Junior College - Santa Rosa                                ,CA,"1,667","3,343,829",
16451,School Of Communication Electronics                                   ,CA,6,"6,312",
1174,Scripps College                                                       ,CA,111,"256,023",
7190,Sequoia Institute                                                     ,CA,400,"779,675",
16802,Shasta Bible College                                                  ,CA,26,"52,157",
1289,Shasta College                                                        ,CA,"2,425","4,303,175",
17041,Sierra Academy Of Aeronautics-Airline Training Center                 ,CA,350,"721,704",
1290,Sierra College                                                        ,CA,"2,007","3,716,090",
13831,Sierra College Of Beauty                                              ,CA,80,"148,714",
15461,Sierra Valley Business College                                        ,CA,147,"260,642",
30693,Silicon Valley College-Fremont                                        ,CA,"1,328","2,564,583",
13233,Simi Valley Adult School & Career Institute                           ,CA,75,"139,205",
1291,Simpson College                                                       ,CA,559,"1,142,729",
4494,Skadron College                                                       ,CA,805,"1,510,109",
9509,Skills & Business Education Center                                    ,CA,767,"1,079,832",
7713,Skyline College                                                       ,CA,695,"1,297,204",
34814,Software Advanced Technologies Institute                              ,CA,65,"143,547",
1292,Solano Community College                                              ,CA,"1,178","2,049,381",
1156,Sonoma State University                                               ,CA,"1,601","3,398,919",
26089,Sound Master Recording Engineer School Audio/Video Institute          ,CA,32,"84,425",
25973,South Baylo University                                                ,CA,54,"114,132",
16081,South Coast College                                                   ,CA,180,"324,430",
33323,Southern California Bible College And Seminary                        ,CA,48,"61,623",
31136,Southern California Institute Of Technology                           ,CA,366,"841,515",
30144,Southern California International College                             ,CA,177,"217,807",
1294,Southwestern College                                                  ,CA,"3,336","6,985,268",
1305,Stanford University                                                   ,CA,816,"1,790,594",
31081,Summit Career College                                                 ,CA,413,"911,069",
1309,Taft College                                                          ,CA,240,"477,760",
15795,"Thanh Le College, School Of Cosmetology                               ",CA,82,"194,295",
7236,The Art Institute Of California - San Francisco                       ,CA,164,"339,634",
14073,The Southern California Institute Of Architecture                     ,CA,43,"114,044",
31243,Today'S Training Center                                               ,CA,152,"498,597",
7926,Travel & Trade Career Institute                                       ,CA,325,"592,268",
16799,Travel University International                                       ,CA,72,"136,102",
16801,Trinity College - Golden State Business College                       ,CA,555,"1,161,985",
34033,Trinity Life Bible College                                            ,CA,82,"108,330",
12317,Tulare Beauty College                                                 ,CA,46,"103,137",
17169,United Education Institute -                                          ,CA,"4,389","8,453,219",
12446,Universal College Of Beauty                                           ,CA,184,"355,385",
1313,University Of California - Davis                                      ,CA,"5,564","13,351,369",
1317,University Of California - San Diego(Ucsd)                            ,CA,"4,680","11,429,407",
1319,University Of California - San Francisco                              ,CA,9,"27,050",
1321,University Of California - Santa Cruz                                 ,CA,"2,946","6,665,912",
1312,University Of California (The) - Berkeley                             ,CA,"6,569","15,728,222",
1320,University Of California Santa Barbara                                ,CA,"4,074","9,618,959",
1314,"University Of California, Irvine                                      ",CA,"5,255","12,918,850",
1315,"University Of California, Los Angeles                                 ",CA,"8,454","20,105,276",
1316,"University Of California, Riverside                                   ",CA,"4,984","12,050,025",
2741,University Of Judaism                                                 ,CA,26,"53,825",
1216,University Of La Verne                                                ,CA,"1,282","2,411,683",
1322,University Of Redlands                                                ,CA,635,"1,408,082",
10395,University Of San Diego                                               ,CA,793,"1,772,186",
1325,University Of San Francisco                                           ,CA,967,"2,132,696",
1328,University Of Southern California                                     ,CA,"3,951","9,065,840",
1329,University Of The Pacific                                             ,CA,"1,127","2,767,884",
9170,University Of West Los Angeles                                        ,CA,17,"17,924",
34414,Valley Career College                                                 ,CA,171,"208,258",
1293,Vanguard University Of Southern California                            ,CA,426,"821,843",
30847,Ventura Adult And Continuing Education                                ,CA,125,"240,013",
6863,Ventura County Community College District Office                      ,CA,"3,405","7,033,055",
13637,Victor Valley Beauty College'S                                        ,CA,101,"213,760",
1335,Victor Valley Community College                                       ,CA,"2,931","5,230,268",
31505,Virginia Sewing Machines And School Center                            ,CA,109,"235,134",
14311,Vista Community College                                               ,CA,915,"1,399,545",
32903,Waterman Training Institute -                                         ,CA,7,"14,897",
4297,Watterson College                                                     ,CA,74,"129,296",
1176,West Hills Community College                                          ,CA,"1,545","2,629,995",
8596,West Los Angeles College                                              ,CA,"1,332","2,635,848",
1338,West Valley College                                                   ,CA,688,"1,342,017",
30623,Westech College                                                       ,CA,151,"304,595",
9748,Western Career College                                                ,CA,"1,712","2,788,534",
31230,Western Institute Of Science And Health                               ,CA,29,"51,578",
24827,Western University Of Health Sciences                                 ,CA,37,"97,888",
1341,Westmont College                                                      ,CA,189,"403,879",
25964,Westwood College Of Aviation Technology                               ,CA,414,"973,282",
30727,Westwood College Of Technology                                        ,CA,635,"1,174,551",
1342,Whittier College                                                      ,CA,425,"1,007,636",
1343,Woodbury University                                                   ,CA,514,"1,205,669",
15975,Yeshiva Ohr Elchonon Chabad-West Coast Talmudical Seminary            ,CA,40,"121,200",
1344,Yuba College                                                          ,CA,"3,153","5,717,595",
15264,Academy Of Beauty Culture                                             ,CO,59,"118,283",
1345,Adams State College                                                   ,CO,944,"2,102,738",
7582,Aims Community College                                                ,CO,893,"1,533,919",
13576,Americana Beauty College #2                                           ,CO,94,"142,728",
1346,Arapahoe Community College                                            ,CO,782,"1,266,621",
13961,Art Institute Of Colorado (The)                                       ,CO,"1,459","2,531,249",
10709,Artistic Beauty Colleges-Lakewood                                     ,CO,74,"138,627",
12670,Bel-Rea Institute Of Animal Technology                                ,CO,218,"373,712",
4503,Blair College                                                         ,CO,626,"957,001",
30131,Boulder College Of Massage Therapy                                    ,CO,50,"74,078",
34744,Center Of Advanced Therapeutics                                       ,CO,6,"8,409",
25943,College America Denver                                                ,CO,162,"323,829",
9401,Colorado Christian University                                         ,CO,467,"801,142",
1347,Colorado College                                                      ,CO,328,"707,755",
4506,Colorado Mountain College                                             ,CO,387,"692,254",
1359,Colorado Northwestern Community College                               ,CO,213,"435,008",
1348,Colorado School Of Mines                                              ,CO,397,"857,230",
13513,Colorado School Of Trades                                             ,CO,50,"76,002",
1350,Colorado State University                                             ,CO,"3,573","7,072,590",
10148,Colorado Technical University                                         ,CO,527,"717,236",
13974,Columbine Beauty School Ii                                            ,CO,39,"78,805",
15215,Columbine Beauty School-Iii                                           ,CO,33,"65,024",
16058,Community College Of Aurora Centretech Campus                         ,CO,676,"1,116,975",
9542,Community College Of Denver                                           ,CO,"1,964","3,576,622",
8871,Concorde Career Institute                                             ,CO,380,"593,784",
14050,Delta-Montrose Area Vocational Technical Center                       ,CO,149,"256,834",
15460,"Denver Academy Of Court Reporting-Macwil Educational Services,Inc.    ",CO,121,"211,175",
7547,Denver Automotive & Diesel College                                    ,CO,295,"530,995",
14831,Denver Technical College                                              ,CO,362,"677,966",
30121,Education America-Denver Campus                                       ,CO,"2,177","3,717,498",
5596,Emily Griffith Opportunity School                                     ,CO,170,"200,304",
1353,Fort Lewis College                                                    ,CO,"1,193","2,490,812",
7933,Front Range Community College-Westminster Campus                      ,CO,"2,163","3,503,090",
16010,Glenwood Beauty Academy                                               ,CO,19,"33,494",
16893,Hair Dynamics Education Center                                        ,CO,48,"88,814",
26110,Heritage College                                                      ,CO,307,"531,529",
30063,Institute Of Business And Medical Careers                             ,CO,267,"469,506",
15908,Intellitec College                                                    ,CO,179,"286,291",
12850,International Beauty Academy                                          ,CO,101,"124,567",
1355,Lamar Community College                                               ,CO,366,"739,365",
1358,Mesa State College                                                    ,CO,"1,826","3,722,135",
9981,Morgan Community College                                              ,CO,444,"772,903",
14652,Naropa University                                                     ,CO,155,"302,992",
13007,Nazarene Bible College                                                ,CO,261,"406,122",
1361,Northeastern Junior College                                           ,CO,460,"928,040",
1362,Otero Junior College                                                  ,CO,582,"1,145,138",
4507,Parks College                                                         ,CO,"1,130","1,703,932",
8896,Pikes Peak Community College                                          ,CO,"2,670","4,333,276",
30149,Platt College                                                         ,CO,97,"169,206",
8635,Ppi Health Careers School                                             ,CO,231,"349,244",
14829,Pueblo Community College                                              ,CO,"2,133","3,800,923",
9543,Red Rocks Community College                                           ,CO,781,"1,296,017",
1363,Regis University                                                      ,CO,711,"1,211,387",
13991,Rocky Mountain College Of Art & Design                                ,CO,146,"292,554",
33063,Rocky Mountain Montessori Teacher Training Program Dba Mecr           ,CO,8,"18,101",
10732,San Juan Basin Area Vocational Technical School                       ,CO,139,"342,978",
12875,T H Pickens Technical Center Of The Aurora Public Sch                 ,CO,67,"102,091",
30669,Technical Trades Institute                                            ,CO,209,"315,808",
32893,Teikyo Loretto Heights University                                     ,CO,2,"5,650",
1360,The Metropolitan State College Of Denver                              ,CO,"4,248","7,746,579",
1368,Trinidad State Junior College                                         ,CO,"1,107","2,244,917",
15067,Ultima College Of Cosmetology                                         ,CO,88,"146,488",
1370,University Of Colorado At Boulder                                     ,CO,"2,967","6,368,632",
4509,University Of Colorado At Colorado Springs                            ,CO,"1,280","2,507,058",
6740,University Of Colorado At Denver                                      ,CO,"1,519","2,992,385",
4508,University Of Colorado Health Sciences Center                         ,CO,97,"245,702",
1371,University Of Denver                                                  ,CO,508,"952,595",
1349,University Of Northern Colorado                                       ,CO,"1,897","3,737,191",
1365,University Of Southern Colorado                                       ,CO,"1,711","3,704,309",
1372,Western State College Of Colorado                                     ,CO,541,"1,124,263",
7297,Westwood College Of Aviation Technology                               ,CO,572,"1,084,307",
7548,Westwood College Of Technology                                        ,CO,"1,375","2,461,196",
30274,Xenon International School Of Hair Design Iii                         ,CO,42,"76,089",
9822,Albert I Prince Regional Vocational Technical School                  ,CT,34,"51,191",
1374,Albertus Magnus College                                               ,CT,322,"570,163",
13794,American Academy Of Cosmetology                                       ,CT,52,"100,865",
11150,Asnuntuck Community College                                           ,CT,174,"263,081",
14369,Bais Binyomin Academy                                                 ,CT,26,"74,037",
15725,Baran Institute Of Technology                                         ,CT,257,"437,483",
12966,Blaine! The Beauty Career Schools                                     ,CT,2,"2,200",
13954,Branford Hall Career Institute                                        ,CT,"1,069","1,607,164",
9407,Briarwood College                                                     ,CT,162,"295,878",
6181,Bridgeport Hospital School Of Nursing                                 ,CT,53,"83,170",
8874,Brio Academy Of Cosmetology                                           ,CT,58,"81,180",
11496,Bullard - Havens Regional Vocational Technical School                 ,CT,33,"53,407",
14742,Butler Business School                                                ,CT,209,"361,647",
7635,Capital Community College                                             ,CT,967,"1,466,527",
1378,Central Connecticut State University                                  ,CT,"1,350","2,532,447",
32343,Charter Oak State College                                             ,CT,49,"38,902",
23166,Connecticut Center For Massage Therapy                                ,CT,79,"76,590",
1379,Connecticut College                                                   ,CT,203,"417,267",
33163,Connecticut Culinary Institute                                        ,CT,65,"118,426",
14889,Connecticut Institute Of Art                                          ,CT,21,"35,935",
10417,Connecticut Institute Of Hair Design                                  ,CT,214,"310,193",
15059,Connecticut Institute Of Hair Design                                  ,CT,10,"14,328",
7305,Connecticut School Of Electronics                                     ,CT,67,"95,032",
33813,Connecticut Training Center                                           ,CT,708,"1,255,870",
15834,E C Goodwin Regional Vocational Technical School                      ,CT,27,"36,395",
1425,Eastern Connecticut State University                                  ,CT,888,"1,746,460",
13514,Eli Whitney Regional Vocational Technical School                      ,CT,35,"56,710",
15635,Ella T Grasso Southeastern Regional Vocational Technical School       ,CT,2,"1,950",
1385,Fairfield University                                                  ,CT,253,"529,972",
14645,Fox Institute Of Business                                             ,CT,218,"384,497",
14730,Gal Mar Academy Of Hairdressing                                       ,CT,65,"110,639",
6981,Gateway Community College                                             ,CT,947,"1,479,775",
12877,Gibbs College                                                         ,CT,387,"657,708",
15833,Goodwin College                                                       ,CT,792,"1,399,152",
9065,Hartford School Of Music (The)                                        ,CT,14,"24,474",
13265,Harvard H Ellis Regional Vocational Technical School                  ,CT,11,"26,287",
13264,Henry Abbott Regional Vocational Technical School                     ,CT,24,"27,176",
1389,Holy Apostles College & Seminary                                      ,CT,3,"8,450",
4513,Housatonic Community College                                          ,CT,"1,373","1,930,270",
15835,Howell Cheney Regional Vocational-Technical School                    ,CT,23,"21,120",
15068,Huntington Institute                                                  ,CT,38,"76,962",
30948,Industrial Management & Training Institute                            ,CT,13,"18,129",
9291,J. M. Wright Regional Vocational - Technical School                   ,CT,21,"28,652",
12913,Leon Institute Of Hair Design                                         ,CT,25,"41,300",
30794,Lyme Academy Of Fine Arts                                             ,CT,16,"29,563",
1392,Manchester Community College                                          ,CT,914,"1,418,983",
8038,Middlesex Community College                                           ,CT,306,"493,058",
1393,Mitchell College                                                      ,CT,156,"297,242",
6982,Naugatuck Valley Community College                                    ,CT,854,"1,259,290",
15712,New England Technical Institute                                       ,CT,334,"573,235",
22025,New England Tractor Trailer Training School Of Conn                   ,CT,287,"274,240",
1398,Northwestern Connecticut Community College                            ,CT,139,"206,006",
1399,Norwalk Community College                                             ,CT,736,"1,197,762",
11843,Norwich Regional Vocational Technical School                          ,CT,10,"11,176",
7459,Paier College Of Art                                                  ,CT,46,"81,515",
25650,Platt Regional Vocational Technical School                            ,CT,13,"30,700",
10779,Porter And Chester Institute                                          ,CT,512,"699,967",
10530,Quinebaug Valley Community College                                    ,CT,440,"579,679",
1402,Quinnipiac College                                                    ,CT,444,"905,582",
8872,Renasci Academy Of Hair                                               ,CT,31,"53,137",
14703,Ridley-Lowell Business & Technology Institute                         ,CT,78,"140,379",
1403,Sacred Heart University                                               ,CT,512,"1,046,014",
1409,Saint Joseph College                                                  ,CT,261,"530,314",
1406,Southern Connecticut State University                                 ,CT,"1,366","2,685,672",
6191,St Vincent'S College                                                  ,CT,71,"105,533",
12425,Stone Academy                                                         ,CT,166,"297,566",
1401,Teikyo Post University                                                ,CT,325,"667,770",
9765,Three Rivers Community College - Mohegan Campus                       ,CT,656,"853,936",
1414,Trinity College                                                       ,CT,274,"538,951",
9764,Tunxis Community College                                              ,CT,463,"719,364",
1416,University Of Bridgeport                                              ,CT,290,"634,041",
1417,University Of Connecticut - Storrs Campus                             ,CT,"2,462","5,186,977",
1422,University Of Hartford                                                ,CT,733,"1,445,347",
1397,University Of New Haven- University Of New Haven                      ,CT,553,"1,104,573",
11697,Vinal Regional Vocational - Technical School                          ,CT,17,"20,941",
14603,W F Kaynor Regional Vocational Technical School                       ,CT,19,"28,146",
1424,Wesleyan University                                                   ,CT,378,"857,730",
1380,Western Connecticut State University                                  ,CT,682,"1,389,145",
16003,Windham Community Memorial Hospital Program Of Radiologic Technology  ,CT,4,"5,575",
7311,Windham Regional Vocational Technical School                          ,CT,15,"20,758",
1426,Yale University                                                       ,CT,544,"1,207,994",
1434,American University                                                   ,DC,624,"1,318,010",
34096,Bennett Beauty Institute                                              ,DC,142,"248,019",
31043,Career Blazers Learning Center                                        ,DC,211,"335,736",
1437,Catholic University Of America                                        ,DC,348,"730,111",
11950,Corcoran College Of Art And Design                                    ,DC,135,"351,198",
16085,Dudley Beauty College                                                 ,DC,69,"109,974",
1443,Gallaudet University                                                  ,DC,419,"845,754",
1444,George Washington University                                          ,DC,833,"1,787,854",
1445,Georgetown University                                                 ,DC,667,"1,517,820",
12665,Harrison Center For Career Education                                  ,DC,64,"151,279",
1448,Howard University                                                     ,DC,"2,230","5,303,786",
14941,National Conservatory Of Dramatic Arts                                ,DC,10,"26,750",
32183,Potomac College                                                       ,DC,89,"128,451",
25889,Sanz School                                                           ,DC,"1,197","2,451,237",
1456,Southeastern University                                               ,DC,186,"269,298",
1459,Strayer University                                                    ,DC,"3,257","4,936,231",
1460,Trinity College                                                       ,DC,401,"767,174",
7015,University Of The District Of Columbia                                ,DC,"1,505","2,640,439",
21252,Beebe School Of Nursing                                               ,DE,5,"12,200",
30258,Dawn Training Centre                                                  ,DE,116,"140,793",
1428,Delaware State University                                             ,DE,"1,345","2,915,961",
11727,Delaware Technical & Community College                                ,DE,648,"940,365",
7053,Delaware Technical & Community College - Owens Campus                 ,DE,"1,624","1,843,932",
11387,Delaware Technical & Community College - Stanton/Wilmington Campus    ,DE,"1,128","1,612,281",
1429,Goldey Beacom College                                                 ,DE,167,"338,792",
30210,Harrison Career Institute                                             ,DE,587,"788,900",
15477,Schilling-Douglas School Of Hair Design                               ,DE,57,"95,277",
1431,University Of Delaware                                                ,DE,"1,271","2,392,551",
1433,Wesley College                                                        ,DE,439,"836,847",
7948,Wilmington College                                                    ,DE,518,"890,643",
30808,Academy (The)                                                         ,FL,364,"793,281",
33463,Academy For Practical Nursing And Health Occupation                   ,FL,156,"235,647",
31134,"Academy Of Healing Arts, Massage & Facial Skin Care                   ",FL,46,"68,211",
16785,Advanced Basic Hair Design Training Center                            ,FL,96,"104,166",
33903,Americare School Of Nursing                                           ,FL,116,"186,326",
16631,Ami American Motorcycle Institute                                     ,FL,160,"237,320",
15112,Argosy University - Sarasota                                          ,FL,8,"12,250",
10195,Art Institute Of Fort Lauderdale (The)                                ,FL,"1,642","2,977,760",
15646,Ati Career Training Center                                            ,FL,414,"782,716",
16180,Ati Career Training Center                                            ,FL,555,"1,090,198",
14612,Ati Health Education Center                                           ,FL,267,"566,863",
15191,Atlantic Coast Institute                                              ,FL,125,"220,302",
12263,Atlantic Technical Center                                             ,FL,207,"353,124",
16529,Avanti Hair Tech                                                      ,FL,74,"119,197",
17308,Avanti Hair Tech                                                      ,FL,163,"327,119",
30267,Avanti Hair Tech                                                      ,FL,301,"578,493",
30729,Avanti Hair Technical                                                 ,FL,80,"147,348",
13001,Baptist College Of Florida (The)                                      ,FL,316,"708,125",
1466,Barry University                                                      ,FL,"1,821","3,429,935",
33883,Bay Medical Center Surgical Services Training Center                  ,FL,1,"1,650",
16111,Beauty Schools Of America                                             ,FL,"1,385","2,623,923",
1467,Bethune Cookman College                                               ,FL,"2,014","4,843,751",
17151,Boca Raton Institute                                                  ,FL,66,"83,746",
15565,Bradenton Beauty & Barber Academy                                     ,FL,44,"65,898",
33823,Bradford-Union Area Vocational-Technical Center                       ,FL,27,"48,293",
1470,Brevard Community College                                             ,FL,"2,721","4,747,260",
1500,Broward Community College                                             ,FL,"7,818","14,339,568",
34093,Business Etcetera Institute Of Technology                             ,FL,"1,229","2,509,200",
31803,Cape Coral Beauty School                                              ,FL,15,"25,244",
22455,Career Training Institute                                             ,FL,455,"842,580",
1471,Central Florida Community College                                     ,FL,"1,666","3,152,303",
34254,Central Florida Institute                                             ,FL,164,"339,724",
16165,Charlotte Vocational Technical Center                                 ,FL,141,"202,890",
1472,Chipola Junior College                                                ,FL,517,"1,026,810",
16839,City College                                                          ,FL,"1,243","2,217,915",
30799,City College                                                          ,FL,298,"494,183",
15025,Clearwater Christian College                                          ,FL,216,"422,935",
30716,College Of Business & Technology                                      ,FL,150,"324,854",
14016,Concorde Career Institute                                             ,FL,476,"730,036",
15307,Concorde Career Institute                                             ,FL,431,"664,186",
16050,Concorde Career Institute                                             ,FL,794,"1,177,688",
30327,Cooper Career Institute                                               ,FL,365,"573,955",
31784,Coral Ridge Nurse'S Assistant Training School                         ,FL,7,"13,541",
5594,D. G. Erwin Technical Center                                          ,FL,682,"885,219",
26127,Darlyne Mcgee'S Academy Of Cosmetology                                ,FL,57,"107,541",
1475,Daytona Beach Community College                                       ,FL,"3,754","6,580,184",
1487,Eckerd College                                                        ,FL,439,"867,094",
1477,Edison Community College                                              ,FL,"1,770","3,161,299",
25862,Edutech Centers                                                       ,FL,218,"328,767",
1478,Edward Waters College                                                 ,FL,819,"1,854,112",
1479,Embry-Riddle Aeronautical University                                  ,FL,"2,341","4,229,241",
15899,Euro Hair Design Institute                                            ,FL,283,"407,585",
31085,Everglades College                                                    ,FL,65,"102,837",
15111,Fashion Focus Hair Academy                                            ,FL,14,"22,899",
12544,First Coast Technical Institute                                       ,FL,209,"297,121",
7893,Flagler College                                                       ,FL,381,"696,301",
1480,Florida Agricultural & Mechanical Univ                                ,FL,"4,661","11,180,807",
1481,Florida Atlantic University                                           ,FL,"4,342","8,784,889",
30963,Florida Career Institute                                              ,FL,205,"378,132",
15192,Florida Christian College                                             ,FL,99,"190,635",
1482,Florida College                                                       ,FL,100,"204,488",
30086,Florida College Of Natural Health                                     ,FL,546,"1,021,674",
1484,Florida Community College At Jacksonville                             ,FL,"5,411","9,557,592",
16302,Florida Computer & Business School Incorporated                       ,FL,893,"1,364,541",
32553,Florida Gulf Coast University                                         ,FL,779,"1,503,188",
31155,Florida Hospital College Of Health Sciences                           ,FL,185,"386,125",
1469,Florida Institute Of Technology                                       ,FL,447,"953,120",
25863,Florida Institute Of Traditional Chinese Medicine                     ,FL,13,"26,925",
16483,Florida Institute Of Ultrasound                                       ,FL,34,"69,004",
9635,Florida International University                                      ,FL,"7,304","15,269,841",
1485,Florida Keys Community College                                        ,FL,216,"368,099",
1486,Florida Memorial College                                              ,FL,"1,769","4,459,946",
1534,Florida Metropolitan University                                       ,FL,"1,846","2,919,661",
8146,Florida Metropolitan University                                       ,FL,994,"1,660,674",
7735,Florida Metropolitan University - Orlando North                       ,FL,"3,280","5,220,653",
25998,"Florida Metropolitan University - Tampa College, Pineallas            ",FL,"1,963","2,993,240",
17069,Florida National College                                              ,FL,"1,582","2,722,620",
1488,Florida Southern College                                              ,FL,531,"1,122,379",
1489,Florida State University                                              ,FL,"6,646","13,100,381",
15670,Florida Technical College                                             ,FL,554,"935,484",
25982,Florida Technical College Of Jacksonville                             ,FL,140,"186,607",
16573,Ft Pierce Beauty Academy                                              ,FL,184,"219,696",
16812,Full Sail Real World Education                                        ,FL,720,"1,389,875",
16280,George Stone Area Vocational Technical Center                         ,FL,295,"383,561",
30798,George T Baker Aviation School                                        ,FL,176,"234,015",
1490,Gulf Coast Community College                                          ,FL,"2,025","3,332,997",
