OPEID,Institution,State,Recipients,Awards
824600,DINE COLLEGE,AZ,"1,325","3,524,756"
1085800,EARL'S ACADEMY OF BEAUTY,AZ,102,"232,355"
3572300,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,21,"29,642"
107300,EASTERN ARIZONA COLLEGE,AZ,983,"2,312,261"
3156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,"1,376","2,461,267"
2295000,EVEREST COLLEGE,AZ,598,"1,154,669"
830300,GATEWAY COMMUNITY COLLEGE,AZ,"2,348","4,332,988"
107600,GLENDALE COMMUNITY COLLEGE,AZ,"4,204","8,405,820"
107400,GRAND CANYON UNIVERSITY,AZ,501,"1,233,834"
3445300,HDS TRUCK DRIVING INSTITUTE,AZ,97,"190,024"
2263100,HIGH-TECH INSTITUTE - PHOENIX,AZ,"4,112","9,998,078"
1218400,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,91,"215,205"
3347300,INTERNATIONAL BAPTIST COLLEGE,AZ,27,"65,633"
2218800,INTERNATIONAL INSTITUTE OF THE AMERICAS,AZ,"2,214","5,836,138"
2065200,ITT TECHNICAL INSTITUTE -,AZ,724,"1,579,486"
2361100,ITT TECHNICAL INSTITUTE -,AZ,705,"1,568,391"
2521500,LAMSON COLLEGE,AZ,214,"395,121"
2071200,LONG TECHNICAL COLLEGE,AZ,541,"1,258,747"
2181300,LONG TECHNICAL COLLEGE,AZ,70,"174,689"
2192300,MARICOPA BEAUTY COLLEGE,AZ,66,"149,492"
107700,MESA COMMUNITY COLLEGE,AZ,"4,538","9,583,817"
3081200,METROPOLITAN COLLEGE,AZ,79,"208,506"
1186400,MOHAVE COMMUNITY COLLEGE,AZ,713,"1,423,099"
2100500,"MOTORCYCLE MECHANICS INSTITUTE, DIVISION OF CLINTON TECHNICAL INSTITUT",AZ,"2,334","5,209,552"
3004700,MUNDUS INSTITUTE,AZ,35,"76,898"
108200,NORTHERN ARIZONA UNIVERSITY,AZ,"4,560","11,380,833"
1186200,NORTHLAND PIONEER COLLEGE,AZ,888,"1,932,734"
2623600,PARADISE VALLEY COMMUNITY COLLEGE,AZ,"1,151","2,294,131"
107800,PHOENIX COLLEGE,AZ,"3,082","6,653,995"
2623800,PHOENIX THERAPEUTIC MASSAGE COLLEGE,AZ,137,"285,233"
726600,PIMA COUNTY COMMUNITY COLLEGE,AZ,"7,250","16,501,592"
2217100,PIMA MEDICAL INSTITUTE,AZ,"3,598","8,295,989"
2065300,PRESCOTT COLLEGE,AZ,339,"804,994"
1168900,REFRIGERATION SCHOOL (THE),AZ,253,"540,792"
2177500,RIO SALADO COMMUNITY COLLEGE,AZ,"1,292","2,134,295"
2113800,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,13,"24,376"
3005000,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,67,"202,372"
830400,SCOTTSDALE COMMUNITY COLLEGE,AZ,"1,561","3,117,143"
2616700,SCOTTSDALE CULINARY INSTITUTE,AZ,464,"1,171,368"
2146600,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,"1,337","2,793,139"
3593300,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,54,"104,497"
711300,SOUTHWESTERN COLLEGE,AZ,93,"231,974"
2561900,TONI AND GUY HAIRDRESSING ACADEMY,AZ,70,"147,396"
446700,TUCSON COLLEGE,AZ,371,"769,420"
3740500,TUCSON DESIGN COLLEGE,AZ,13,"19,632"
822100,UNIVERSAL TECHNICAL INSTITUTE,AZ,"3,805","8,406,772"
2559000,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,276,"665,155"
108300,UNIVERSITY OF ARIZONA (THE),AZ,"6,861","18,009,257"
2098800,UNIVERSITY OF PHOENIX,AZ,"32,450","60,120,681"
2171500,WESTERN INTERNATIONAL UNIVERSITY,AZ,282,"512,164"
107900,YAVAPAI COLLEGE,AZ,"1,349","2,680,249"
3662400,ACADEMY EDUCATION SERVICES,CA,10,"16,959"
753100,ACADEMY OF ART COLLEGE,CA,"1,440","3,327,562"
3098700,ACADEMY OF COURT REPORTING - ACADEMY OF PROFESSIONAL CAREERS,CA,"1,123","2,815,552"
2342400,ACADEMY OF RADIO & TV BROADCASTING,CA,160,"348,978"
760500,ACADEMY PACIFIC TRAVEL COLLEGE,CA,142,"367,291"
3019900,ADELANTE CAREER INSTITUTE,CA,235,"556,738"
2520400,ADRIANS BEAUTY COLLEGE OF TURLOCK,CA,73,"209,778"
3736300,ADVANCE BEAUTY COLLEGE,CA,37,"77,129"
3405300,ADVANCED CAREER TECHNOLOGIES INSTITUTE,CA,3,0
3532300,ADVANCED COLLEGE OF TECHNOLOGY,CA,20,"62,925"
2258600,ALAMEDA BEAUTY COLLEGE,CA,104,"213,084"
2282300,ALHAMBRA BEAUTY COLLEGE,CA,208,"537,331"
111100,ALLAN HANCOCK COLLEGE,CA,"1,491","3,296,106"
1111700,ALLIANT INTERNATIONAL UNIVERSITY,CA,213,"622,540"
2106900,AMERICAN ACADEMY OF DRAMATIC ARTS-WEST,CA,59,"163,800"
1307400,AMERICAN BEAUTY COLLEGE,CA,41,"114,288"
2241800,AMERICAN CAREER COLLEGE,CA,"2,188","5,377,954"
2589100,AMERICAN COLLEGE OF BUSINESS,CA,11,"21,333"
3144400,AMERICAN COLLEGE OF HEALTH PROFESSIONS,CA,42,"123,954"
3138400,AMERICAN COLLEGE OF MEDICAL TECHNOLOGY,CA,405,"906,779"
2099200,AMERICAN CONSERVATORY THEATRE FOUNDATION,CA,4,"14,400"
3225300,AMERICAN INSTITUTE OF HEALTH SCIENCES,CA,101,"260,935"
123200,AMERICAN RIVER COLLEGE,CA,"4,863","11,351,120"
111300,ANTELOPE VALLEY COLLEGE,CA,"2,904","5,418,439"
3427500,ANTELOPE VALLEY MEDICAL COLLEGE,CA,111,"193,234"
111600,ART CENTER COLLEGE OF DESIGN,CA,723,"2,207,032"
723600,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,284,"566,625"
2327600,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,438,"991,607"
2595600,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,189,"550,850"
902200,ASSOCIATED TECHNICAL COLLEGE,CA,489,"1,441,476"
2553100,ASSOCIATED TECHNICAL COLLEGE,CA,41,"111,915"
2553500,ASSOCIATED TECHNICAL COLLEGE,CA,354,"849,482"
3598300,AVALON BEAUTY COLLEGE,CA,44,"117,608"
2519800,AVANCE BEAUTY COLLEGE,CA,34,"98,151"
111700,AZUSA PACIFIC UNIVERSITY,CA,"1,067","2,484,538"
111800,BAKERSFIELD COLLEGE,CA,"4,514","9,137,918"
3067400,BALDWIN PARK ADULT SCHOOL,CA,184,"280,573"
111900,BARSTOW COMMUNITY COLLEGE,CA,"1,068","2,121,619"
705000,BAY VISTA COLLEGE OF BEAUTY,CA,159,"411,091"
112100,BETHANY COLLEGE OF THE ASSEMBLIES OF GOD,CA,233,"526,440"
3266300,BETHESDA CHRISTIAN UNIVERSITY,CA,51,"136,100"
112200,BIOLA UNIVERSITY,CA,785,"1,935,498"
2065500,BROOKS COLLEGE,CA,"1,434","3,229,772"
112300,BROOKS INSTITUTE OF PHOTOGRAPHY -,CA,498,"1,260,868"
2543400,BROWNSON TECHNICAL SCHOOL,CA,44,"102,091"
716400,BRYAN COLLEGE OF COURT REPORTING,CA,93,"203,703"
449400,BRYMAN COLLEGE,CA,"1,127","2,336,597"
760600,BRYMAN COLLEGE,CA,"1,012","1,941,972"
809000,BRYMAN COLLEGE,CA,"1,093","2,270,373"
1102400,BRYMAN COLLEGE,CA,"1,292","2,488,725"
1110700,BRYMAN COLLEGE,CA,973,"1,682,831"
1110900,BRYMAN COLLEGE,CA,958,"1,929,232"
1112100,BRYMAN COLLEGE,CA,"2,054","3,328,665"
1112300,BRYMAN COLLEGE,CA,"1,280","2,427,723"
1206100,BRYMAN COLLEGE,CA,"1,106","1,950,236"
3072300,BRYMAN COLLEGE,CA,"1,076","2,210,373"
3195400,BRYMAN COLLEGE,CA,308,"609,915"
3128600,BUSINESS & TECHNOLOGY TRAINING INSTITUTE,CA,11,"12,518"
807300,BUTTE COLLEGE,CA,"3,727","8,322,811"
112400,CABRILLO COLLEGE,CA,"1,761","3,792,154"
112500,CALIFORNIA BAPTIST UNIVERSITY,CA,772,"1,749,174"
2065700,CALIFORNIA BEAUTY COLLEGE,CA,44,"130,489"
2520200,CALIFORNIA CAREER SCHOOL,CA,13,"13,362"
884400,CALIFORNIA CHRISTIAN COLLEGE,CA,59,"147,512"
2306300,CALIFORNIA COLLEGE,CA,602,"1,454,633"
2351900,CALIFORNIA COLLEGE,CA,515,"1,114,089"
2565400,CALIFORNIA COLLEGE,CA,697,"1,548,053"
2110800,CALIFORNIA COLLEGE FOR HEALTH SCIENCES- RESIDENT DIVISION,CA,70,"157,833"
112700,CALIFORNIA COLLEGE OF THE ARTS,CA,365,"977,057"
2086400,CALIFORNIA COSMETOLOGY COLLEGE,CA,28,"67,367"
2220200,CALIFORNIA CULINARY ACADEMY,CA,651,"1,594,699"
3125400,CALIFORNIA DESIGN COLLEGE,CA,348,"982,027"
1186500,CALIFORNIA HAIR DESIGN ACADEMY,CA,130,"314,983"
3681300,CALIFORNIA HEALING ARTS COLLEGE,CA,14,"17,865"
3153400,CALIFORNIA INSTITUTE OF CUSTOMER ENGINEERING,CA,8,"9,303"
1215400,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,CA,15,"22,200"
113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,146,"384,108"
113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,261,"769,938"
3633300,CALIFORNIA LEARNING CENTER,CA,37,"82,365"
113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,315,"696,124"
113400,CALIFORNIA MARITIME ACADEMY,CA,127,"365,707"
1256201,CALIFORNIA PARAMEDICAL & TECHNICAL COLLEGE,CA,517,"1,420,224"
1256200,CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,CA,191,"498,787"
114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,"3,479","9,276,802"
3210300,CALIFORNIA SCHOOL OF CULINARY ARTS,CA,860,"2,299,461"
114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,"6,677","18,927,878"
115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO -,CA,"8,168","20,697,083"
799300,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",CA,"2,982","7,591,938"
114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,"5,528","14,868,083"
114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,"4,453","11,537,300"
114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,"7,529","21,859,342"
113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,"7,584","19,769,878"
113800,"CALIFORNIA STATE UNIVERSITY, HAYWARD",CA,"3,113","8,515,402"
113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,"9,276","24,685,412"
114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,"7,502","20,079,040"
3260300,"CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",CA,"1,325","3,697,350"
115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,"11,461","31,072,423"
114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,"6,622","17,750,643"
3011300,"CALIFORNIA STATE UNIVERSITY, SAN MARCOS",CA,"2,190","5,543,856"
115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,"2,713","6,921,596"
697300,CANADA COLLEGE,CA,302,"679,782"
2125000,CAREER ACADEMY OF BEAUTY,CA,162,"280,011"
3427400,CAREER COLLEGES OF AMERICA,CA,774,"1,868,839"
3242300,CAREER NETWORKS INSTITUTE,CA,208,"450,580"
673100,CASA LOMA COLLEGE,CA,295,"719,043"
3044500,CEI COLLEGE -,CA,588,"1,527,605"
2332800,CENTER FOR EMPLOYMENT TRAINING,CA,"1,726","4,025,502"
3097700,CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION,CA,193,"539,513"
2602300,CENTRAL COAST COLLEGE,CA,211,"394,496"
116100,CERRITOS COMMUNITY COLLEGE,CA,"5,678","12,152,009"
1011100,CERRO COSO COMMUNITY COLLEGE,CA,"1,180","2,530,076"
116200,CHABOT COLLEGE,CA,"2,067","4,535,701"
116300,CHAFFEY COMMUNITY COLLEGE,CA,"3,098","5,945,461"
116400,CHAPMAN UNIVERSITY,CA,"1,504","3,206,486"
